CHECK,KEY,Genus,Species,Brain Vol,BV SD,Brain Mass,BM SD,Body,Body SD,Sex,N,Age,Reference,Source,Notes
0,Allenopithecus_nigroviridis,,,59.070213333333335,,61.19674101333334,,,,,3,Adult,48,Isler et al 2008,
0,Alouatta_caraya,Alouatta,caraya,,,55.8,,7070,,M,1,Adult,47,Sherwood,
0,Alouatta_caraya,Alouatta,caraya,,,45,,826,,M,1,Not Adult,47,Spitzka 1903,
0,Alouatta_caraya,Alouatta,caraya,,,45.6,,2955,,NA,1,Adult,47,Warncke 1908,
0,Alouatta_caraya,,,52.08905647483124,,53.96426250792516,,5255.555555555556,,,9,Adult,48,Isler et al 2008,
0,Alouatta_caraya,,,,,50.333333333333336,,5100,,,3,Adult,47,Hartwig et al 2011,
0,Alouatta_guariba,,,52.07292197324011,,53.94754716427675,,5264.285714285715,,,7,Adult,48,Isler et al 2008,
0,Alouatta_palliata,Alouatta,palliata,,,42.3,,3119,,M&F,6,Adult,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,50.34,,6174,,M&F,28,Adult,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,54.05,,6577,,F,2,Adult,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,53.45,,7938,,M,2,Adult,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,37,,429,,NA,2,Infant,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,42.88,,673,,M&F,10,Infant,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,37.6,,1209,,M&F,5,Juvenile,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,48.1,,2683,,M&F,3,Juvenile,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,54.25,,4309,,F,2,Juvenile,47,Crile & Quiring 1940,
0,Alouatta_palliata,Alouatta,palliata,,,63.78,,6917,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,Alouatta,palliata,,,54.9,,7031,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,Alouatta,palliata,,,53.13,,7031,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,Alouatta,palliata,,,60.22,,7257.5,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,Alouatta,palliata,,,56.7,,7257.5,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,Alouatta,palliata,,,56.7,,7484,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,Alouatta,palliata,,,65.53,,7824.5,,M,1,Not Adult,47,Hrdlicka 1925,
0,Alouatta_palliata,,,50.17189645161291,,51.97808472387098,,6256.1,,,31,Adult,48,Isler et al 2008,
0,Alouatta_pigra,,,51.125,,52.9655,,,,,8,Adult,48,Isler et al 2008,
0,Alouatta_seniculus,Alouatta,seniculus,,,48.5,,1170,,F,1,Adult,47,Hrdlicka 1925,emaciated
0,Alouatta_seniculus,Alouatta,seniculus,,,44,,2725,,F,1,Adult,47,Hrdlicka 1925,
0,Alouatta_seniculus,Alouatta,seniculus,,,47,,2930,,M,1,Adult,47,Hrdlicka 1925,
0,Alouatta_seniculus,Alouatta,seniculus,,,38.2,,918,,NA,1,Juvenile,47,Warncke 1908,
0,Alouatta_seniculus,,,55.24901348769959,,57.23797797325678,,5878.774193548387,,,37,Adult,48,Isler et al 2008,
0,Alouatta_seniculus,,,,,54,,3900,,,1,Adult,47,Hartwig et al 2011,
SP.,Alouatta_sp.,Alouatta,sp.,,,19,,1025,,F,1,NA,47,Spitzka 1903,
SP.,Alouatta_sp.,Alouatta,sp.,,,52,,6400,,NA,2,NA,47,Stephan 1981,
0,Aotus_azarai,,,20.668583333333338,,21.412652333333337,,,,,6,Adult,48,Isler et al 2008,
0,Aotus_lemurinus,Aotus,lemurinus,,,118,,8890,,M,6,Adult,47,Crile & Quiring 1940,INCORRECT
0,Aotus_lemurinus,Aotus,lemurinus,,,109,,9163,,F,11,Adult,47,Crile & Quiring 1940,INCORRECT
0,Aotus_lemurinus,Aotus,lemurinus,,,,,212,,NA,1,Infant,47,Crile & Quiring 1940,IGNORE
0,Aotus_lemurinus,Aotus,lemurinus,,,88.6,,1926,,M&F,18,Juvenile,47,Crile & Quiring 1940,INCORRECT
0,Aotus_lemurinus,,,16.198801464713917,,16.781958317443618,,728.66,,,34,Adult,48,Isler et al 2008,
SP.,Aotus_sp.,Aotus,sp.,,,21,,,,NA,1,NA,47,Spitzka 1903,
0,Aotus_trivirgatus,Aotus,trivirgatus,,,17.2,1.5,720,180,M,120,Adult,47,Bronson 1981,
0,Aotus_trivirgatus,Aotus,trivirgatus,,,17.2,1.7,630,153,F,140,Adult,47,Bronson 1981,
0,Aotus_trivirgatus,Aotus,trivirgatus,18.9,,19.5804,,,,NA,1,NA,47,Haug 1987,
0,Aotus_trivirgatus,Aotus,trivirgatus,,,13.2,,848.4,,M,1,Adult,47,Sherwood,
0,Aotus_trivirgatus,Aotus,trivirgatus,,,17.1,,830,,NA,5,Adult,47,Stephan 1981,
0,Aotus_trivirgatus,Aotus,trivirgatus,,,15.5,,480,,NA,1,Adult,47,Warncke 1908,
0,Aotus_trivirgatus,,,16.853606267728086,,17.460336093366298,,988.8833333333333,,,12,Adult,48,Isler et al 2008,
0,Aotus_trivirgatus,,,,,18.0625,,837.5,,,8,Adult,47,Hartwig et al 2011,
0,Arctocebus_calabarensis,,,6.921393272385524,,7.170563430191403,,323,,,21,Adult,48,Isler et al 2008,
SP.,Arctocebus_sp.,Arctocebus,sp.,,,7.2,,323,,NA,1,NA,47,Armstrong 1985,
0,Ateles_belzebuth,Ateles,belzebuth,,,97.5,,1870,,F,1,Not Adult,47,Spitzka 1903,
0,Ateles_belzebuth,,,114.45547657305772,,118.5758737296878,,8343.444444444445,,,10,Adult,48,Isler et al 2008,
0,Ateles_fusciceps,Ateles,fusciceps,,,118.4,,8890,,M,6,Adult,47,Crile & Quiring 1940,
0,Ateles_fusciceps,Ateles,fusciceps,,,108.8,,9163,,F,11,Adult,47,Crile & Quiring 1940,
0,Ateles_fusciceps,Ateles,fusciceps,,,58,,407,,NA,2,Infant,47,Crile & Quiring 1940,
0,Ateles_fusciceps,Ateles,fusciceps,,,88.6,,1926,,M&F,18,Juvenile,47,Crile & Quiring 1940,
0,Ateles_fusciceps,,,112.40594444444444,,116.45255844444443,,,,,9,Adult,48,Isler et al 2008,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,107.6,16.5,4760,1620,M,4,Adult,47,Bronson 1981,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,107.7,10.1,4680,1920,F,10,Adult,47,Bronson 1981,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,107,,7630,,M&F,63,Adult,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,117,,7787,,M,6,Adult,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,102.9,,8912,,F,14,Adult,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,64,,860,,F,5,Infant,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,74.79,,1029,,M&F,19,Juvenile,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,103,,2805,,M&F,11,Juvenile,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,94.7,,4999,,M,3,Juvenile,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,110.6,,5143,,F,5,Juvenile,47,Crile & Quiring 1940,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,91,,1835,,M,1,Adult,47,Hrdlicka 1925,emaciated
0,Ateles_geoffroyi,Ateles,geoffroyi,,,95.5,,1920,,M,1,Adult,47,Hrdlicka 1925,emaciated
0,Ateles_geoffroyi,Ateles,geoffroyi,,,82,,2268,,M,1,Adult,47,Hrdlicka 1925,emaciated
0,Ateles_geoffroyi,Ateles,geoffroyi,,,118.5,,3812,,M,1,Not Adult,47,Hrdlicka 1925,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,95,,2155,,M,1,Adult,47,Hrdlicka 1925,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,94.5,,2268,,F,1,Adult,47,Hrdlicka 1925,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,93,,1709,,M,1,Juvenile,47,Hrdlicka 1925,
0,Ateles_geoffroyi,Ateles,geoffroyi,,,108,,8000,,NA,1,Adult,47,Stephan 1981,
0,Ateles_geoffroyi,,,105.08719811409556,,108.870337246203,,7401.0625,,,20,Adult,48,Isler et al 2008,
0,Ateles_geoffroyi,,,,,108.025,,7775,,,4,Adult,47,Hartwig et al 2011,
0,Ateles_paniscus,Ateles,paniscus,,,106.5,12.4,5040,2730,M,6,Adult,47,Bronson 1981,
0,Ateles_paniscus,Ateles,paniscus,,,101.2,11.5,5220,2210,F,17,Adult,47,Bronson 1981,
0,Ateles_paniscus,Ateles,paniscus,106,,109.816,,,,NA,1,NA,47,Haug 1987,
0,Ateles_paniscus,Ateles,paniscus,,,120,,2550,,NA,1,Adult,47,Warncke 1908,
0,Ateles_paniscus,Ateles,paniscus,,,108.3,,2035,,NA,1,Adult,47,Warncke 1908,
0,Ateles_paniscus,Ateles,paniscus,,,108.8,,2305,,NA,1,Adult,47,Warncke 1908,
0,Ateles_paniscus,,,115,,119.14,,,,,1,Adult,48,Isler et al 2008,
0,Ateles_paniscus,,,,,113.75,,7100,,,2,Adult,47,Hartwig et al 2011,
SP.,Ateles_sp.,Ateles,sp.,,,110,,2800,,NA,1,Adult,47,Warncke 1908,
0,Avahi_laniger,Avahi,laniger,,,10.49,,1285,,NA,2,Adult,47,Stephan 1981,
0,Avahi_laniger,,,9.862223214285715,,10.21726325,,,,,14,Adult,48,Isler et al 2008,
0,Avahi_occidentalis,Avahi,occidentalis,,,9.67,,860,,NA,2,Not Adult,47,Stephan 1981,
0,Avahi_occidentalis,,,7.95,,8.2362,,,,,2,Adult,48,Isler et al 2008,
0,Hoolock_hoolock,,,110.68035709844575,,114.6648499539898,,6998.428571428572,,,8,Adult,48,Isler et al 2008,
0,Callicebus_moloch,Callicebus,moloch,,,19,,900,,NA,2,Adult,47,Stephan 1981,
0,Callicebus_moloch,,,,,16.45,,840,,,2,Adult,47,Hartwig et al 2011,
0,Callicebus_torquatus,,,19.84486,,20.55927496,,,,,1,Adult,48,Isler et al 2008,
0,Callimico_goeldii,Callimico,goeldii,,,11,,480,,NA,1,Not Adult,47,Stephan 1981,
0,Callimico_goeldii,,,11.243125,,11.647877500000002,,486.5,,,12,Adult,48,Isler et al 2008,
0,Callimico_goeldii,,,,,13,,480,,,1,Adult,47,Hartwig et al 2011,
0,Callithrix_argentata,,,7.9139241818181825,,8.198825452363637,,,,,11,Adult,48,Isler et al 2008,
0,Callithrix_argentata,,,,,7.625,,292.5,,,4,Adult,47,Hartwig et al 2011,
0,Callithrix_geoffroyi,,,,,8.642857142857142,,361.1428571428572,,,7,Adult,47,Hartwig et al 2011,
0,Callithrix_humeralifera,,,8.2,,8.495199999999999,,,,,1,Adult,48,Isler et al 2008,
0,Callithrix_jacchus,Callithrix,jacchus,,,9,,204,,NA,1,Not Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,9.4,,9.7384,,,,NA,1,NA,47,Haug 1987,
0,Callithrix_jacchus,Callithrix,jacchus,,,6.95,,95,,M,1,Adult,47,Hrdlicka 1925,
0,Callithrix_jacchus,Callithrix,jacchus,,,8.5,,298,,F,1,Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,8,,320,,M,1,Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,7,,105,,NA,1,Not Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,7,,150,,NA,1,Not Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,7,,204,,M,1,Not Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,7,,207,,NA,1,Not Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,9,,270,,F,1,Not Adult,47,Spitzka 1903,
0,Callithrix_jacchus,Callithrix,jacchus,,,7.6,,280,,NA,4,Adult,47,Stephan 1981,
0,Callithrix_jacchus,Callithrix,jacchus,,,9,,242,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,Callithrix,jacchus,,,7.2,,169,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,Callithrix,jacchus,,,6.7,,225,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,Callithrix,jacchus,,,9,,221,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,Callithrix,jacchus,,,7.3,,1550,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,Callithrix,jacchus,,,7.6,,187,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,Callithrix,jacchus,,,7.2,,235,,NA,1,Adult,47,Warncke 1908,
0,Callithrix_jacchus,,,7.213843714285714,,7.473542088,,,,,7,Adult,48,Isler et al 2008,
0,Callithrix_jacchus,,,,,7.6875,,266.25,,,8,Adult,47,Hartwig et al 2011,
0,Callithrix_penicillata,Callithrix,penicillata,,,8,,206,,F,1,Not Adult,47,Spitzka 1903,
0,Callithrix_penicillata,,,7.3089875691075346,,7.5721111215954044,,328.8,,,32,Adult,48,Isler et al 2008,
0,Callithrix_penicillata,,,,,7,,260,,,1,Adult,47,Hartwig et al 2011,
0,Callithrix_pygmaea,Callithrix,pygmaea,,,4.8,,129.5,,F,1,Adult,47,Sherwood,
0,Callithrix_pygmaea,Callithrix,pygmaea,,,4.5,,140,,NA,2,Adult,47,Stephan 1981,
0,Callithrix_pygmaea,,,4.244556,,4.397360016,,99.5,,,11,Adult,48,Isler et al 2008,
0,Callithrix_pygmaea,,,,,4.460000000000001,,97.05,,,20,Adult,47,Hartwig et al 2011,
0,Cebus_albifrons,Cebus,albifrons,,,60.7,5.9,1470,300,F,21,Adult,47,Bronson 1981,
0,Cebus_albifrons,Cebus,albifrons,,,65.2,8.9,1770,640,M,45,Adult,47,Bronson 1981,
0,Cebus_albifrons,Cebus,albifrons,57,,59.052,,,,NA,1,NA,47,Haug 1987,
0,Cebus_albifrons,Cebus,albifrons,,,58,,675,,M,1,Not Adult,47,Spitzka 1903,
0,Cebus_albifrons,,,65.72953386696022,,68.09579708617079,,2451.9375,,,32,Adult,48,Isler et al 2008,
