ref_number,article_ref_number,source_label,citation
47,48,Boddy et al. 2012,"Boddy, A. M. et al. Comparative analysis of encephalization in mammals reveals relaxed constraints on anthropoid primate and cetacean brain scaling. J. Evol. Biol. 25, 981-994 (2012)."
48,49,Isler et al. 2008,"Isler, K. et al. Endocranial volumes of primate species: scaling analyses using a comprehensive and reliable data set. J. Hum. Evol. 55, 967-978 (2008)."
