Specimen,Species,Group,sapiens_grade,Seymour_flow__BGU,Seymour_flow__ratio_MH,Boyer_ACA_scaled__BGU,Boyer_ACA_scaled__ratio_MH,s4_volume__BGU,s4_volume__ratio_MH,n_teams,teams,consensus_ratio_MH,consensus_ratio_sd,consensus_BGU_umol_min
Kabwe (Broken Hill),H. heidelbergensis,early Homo,NA,327.0,0.763,385.8,0.91,,,2,Seymour_flow; Boyer_ACA_scaled,0.837,0.104,358.5
Forbes' Quarry 1,H. neanderthalensis,Neanderthal,NA,355.0,0.828,366.7,0.865,267.7,0.815,3,Seymour_flow; Boyer_ACA_scaled; s4_volume,0.836,0.026,358.3
Sambungmacan 3,H. erectus,early Homo,NA,293.7,0.685,296.0,0.698,,,2,Seymour_flow; Boyer_ACA_scaled,0.692,0.009,296.3
Ngandong 14 (Solo XI),H. erectus (soloensis),early Homo,NA,261.0,0.609,317.6,0.749,,,2,Seymour_flow; Boyer_ACA_scaled,0.679,0.099,291.0
Sangiran 12,H. erectus,early Homo,NA,228.3,0.533,297.0,0.701,,,2,Seymour_flow; Boyer_ACA_scaled,0.617,0.119,264.4
OH 9,H. erectus,early Homo,NA,222.4,0.519,291.9,0.689,,,2,Seymour_flow; Boyer_ACA_scaled,0.604,0.12,258.8
Ndutu,H. heidelbergensis,early Homo,NA,187.4,0.437,293.5,0.692,,,2,Seymour_flow; Boyer_ACA_scaled,0.565,0.18,241.9
KNM-ER 42700 (IIIeret),H. erectus,early Homo,NA,178.1,0.416,216.5,0.511,,,2,Seymour_flow; Boyer_ACA_scaled,0.464,0.067,198.6
OH 24,H. habilis,early Homo,NA,138.4,0.323,176.9,0.417,,,2,Seymour_flow; Boyer_ACA_scaled,0.37,0.066,158.6
AL 166-9,A. afarensis,Australopithecus,NA,138.4,0.323,163.4,0.386,,,2,Seymour_flow; Boyer_ACA_scaled,0.355,0.045,151.9
KNM-ER 1470,H. rudolfensis,early Homo,NA,102.8,0.24,190.0,0.448,,,2,Seymour_flow; Boyer_ACA_scaled,0.344,0.147,147.4
STW 98h,A. africanus,Australopithecus,NA,91.7,0.214,136.9,0.323,,,2,Seymour_flow; Boyer_ACA_scaled,0.269,0.077,115.1
STW 329h,A. africanus,Australopithecus,NA,88.7,0.207,135.5,0.32,,,2,Seymour_flow; Boyer_ACA_scaled,0.264,0.08,112.9
DH3 (Rising Star),H. naledi,early Homo,NA,82.9,0.193,136.6,0.322,,,2,Seymour_flow; Boyer_ACA_scaled,0.258,0.091,110.4
STW 255h,A. africanus,Australopithecus,NA,77.1,0.18,129.9,0.306,,,2,Seymour_flow; Boyer_ACA_scaled,0.243,0.089,104.1
Dmanisi D2700,H. georgicus,early Homo,NA,61.3,0.143,144.7,0.341,,,2,Seymour_flow; Boyer_ACA_scaled,0.242,0.14,103.7
AL 333-105,A. afarensis,Australopithecus,NA,80.6,0.188,122.1,0.288,,,2,Seymour_flow; Boyer_ACA_scaled,0.238,0.071,102.0
STS 25h,A. africanus,Australopithecus,NA,70.1,0.163,126.3,0.298,,,2,Seymour_flow; Boyer_ACA_scaled,0.23,0.095,98.8
Sts 5,A. africanus,Australopithecus,NA,60.1,0.14,124.6,0.294,,,2,Seymour_flow; Boyer_ACA_scaled,0.217,0.109,93.0
Sts 19,A. africanus,Australopithecus,NA,63.6,0.149,119.0,0.281,,,2,Seymour_flow; Boyer_ACA_scaled,0.215,0.093,92.1
MLD 37 / 38,A. africanus,Australopithecus,NA,60.7,0.142,117.5,0.277,,,2,Seymour_flow; Boyer_ACA_scaled,0.21,0.095,89.8
STW 53g,A. africanus,Australopithecus,NA,49.6,0.116,114.2,0.269,,,2,Seymour_flow; Boyer_ACA_scaled,0.193,0.108,82.5
LB1,H. floresiensis,early Homo,NA,46.1,0.108,104.7,0.247,,,2,Seymour_flow; Boyer_ACA_scaled,0.177,0.098,76.1
