"script","associated_data_file","associated_data_filename","match_type","exact_filename_match","stem_match","matched_line_numbers","context"
"Sherwood_etal_2004/Sherwood_etal_2004_unpublishedviaDeCasien.R","Sherwood_etal_2004/Sherwood_etal_2004_unpublishedviaDeCasien.csv","Sherwood_etal_2004_unpublishedviaDeCasien.csv","mentions exact filename",TRUE,TRUE,"28;33;61","27: ## Input | 28: ##   Sherwood_etal_2004_unpublishedviaDeCasien_snapshot.xlsx | 29: ##     (the two unpublished per-specimen rows extracted from DeCasien & Higham 2019 || 32: ## Output | 33: ##   Sherwood_etal_2004_unpublishedviaDeCasien.csv | 34: ##   plus a DOI/PMID-coded TSV in __Public/comparative-data/ when run inside the full || 60: folder    <- dirname(.sp) | 61: item_name <- tools::file_path_sans_ext(basename(.sp))    # Sherwood_etal_2004_unpublishedviaDeCasien | 62: base      <- local({"
"Smaers_etal_2010/comparison/Smaers_etal_2010_Table1_compare_to_frontalSmaers.R","Smaers_etal_2010/comparison/Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv","Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv","mentions exact filename",TRUE,TRUE,"23;52","22: #   Smaers_etal_2010_Table1_comparison_report_from_R.csv | 23: #   Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv | 24:  || 51: output_detail     <- ""Smaers_etal_2010_Table1_comparison_report_from_R.csv"" | 52: output_mismatches <- ""Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv"" | 53: "
"Smaers_etal_2010/comparison/Smaers_etal_2010_Table1_compare_to_frontalSmaers.R","Smaers_etal_2010/comparison/Smaers_etal_2010_Table1_comparison_report_from_R.csv","Smaers_etal_2010_Table1_comparison_report_from_R.csv","mentions exact filename",TRUE,TRUE,"22;51","21: # Outputs: | 22: #   Smaers_etal_2010_Table1_comparison_report_from_R.csv | 23: #   Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv || 50: comparison_file   <- ""frontalSmaers.xls"" | 51: output_detail     <- ""Smaers_etal_2010_Table1_comparison_report_from_R.csv"" | 52: output_mismatches <- ""Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv"""
"Smaers_etal_2010/comparison/Smaers_etal_2010_Table1_compare_to_frontalSmaers.R","Smaers_etal_2010/Smaers_etal_2010_Table1.csv","Smaers_etal_2010_Table1.csv","mentions exact filename",TRUE,TRUE,"1;4;18;22;23;49;51;52","1: # Smaers_etal_2010_Table1_compare_to_frontalSmaers.R | 2: # || 3: # Checking step (self-contained in comparison/). Audit the cleaned Table 1 data | 4: # produced by ../Smaers_etal_2010_Table1.R against frontalSmaers.xls. | 5: # || 17: # Inputs: | 18: #   ../Smaers_etal_2010_Table1.csv | 19: #   frontalSmaers.xls || 21: # Outputs: | 22: #   Smaers_etal_2010_Table1_comparison_report_from_R.csv | 23: #   Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv || 22: #   Smaers_etal_2010_Table1_comparison_report_from_R.csv | 23: #   Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv | 24:  || 48:  | 49: table_file        <- ""../Smaers_etal_2010_Table1.csv"" | 50: comparison_file   <- ""frontalSmaers.xls"" || 50: comparison_file   <- ""frontalSmaers.xls"" | 51: output_detail     <- ""Smaers_etal_2010_Table1_comparison_report_from_R.csv"" | 52: output_mismatches <- ""Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv"" || 51: output_detail     <- ""Smaers_etal_2010_Table1_comparison_report_from_R.csv"" | 52: output_mismatches <- ""Smaers_etal_2010_Table1_comparison_mismatches_from_R.csv"" | 53: "
"Smaers_etal_2010/Smaers_etal_2010_Table1.R","Smaers_etal_2010/Smaers_etal_2010_Table1_snapshot.csv","Smaers_etal_2010_Table1_snapshot.csv","mentions exact filename",TRUE,TRUE,"10","9: ## Outputs beside this script: | 10: ##   Smaers_etal_2010_Table1_snapshot.csv  raw values as printed in Table 1 | 11: ##   Smaers_etal_2010_Table1.csv           analysis-ready data"
"Smaers_etal_2010/Smaers_etal_2010_Table1.R","Smaers_etal_2010/Smaers_etal_2010_Table1.csv","Smaers_etal_2010_Table1.csv","mentions exact filename",TRUE,TRUE,"10;11","9: ## Outputs beside this script: | 10: ##   Smaers_etal_2010_Table1_snapshot.csv  raw values as printed in Table 1 | 11: ##   Smaers_etal_2010_Table1.csv           analysis-ready data || 10: ##   Smaers_etal_2010_Table1_snapshot.csv  raw values as printed in Table 1 | 11: ##   Smaers_etal_2010_Table1.csv           analysis-ready data | 12: ## and, when run inside the full Evo-M1-Trait-Data repo, the DOI-coded TSV in"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","__Public/comparative-data/10.1159%2F000323671_SupplementaryTable1.tsv","10.1159%2F000323671_SupplementaryTable1.tsv","mentions exact filename",TRUE,TRUE,"9;44","8: # | 9: # Inputs : ../Smaers_etal_2011_SupplementaryTable1_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable1.tsv | 10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv || 43: } | 44: audit(""../Smaers_etal_2011_SupplementaryTable1_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable1.tsv"", 5, ""Smaers_etal_2011_SupplementaryTable1"") | 45: audit(""../Smaers_etal_2011_SupplementaryTable2_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable2.tsv"", 4, ""Smaers_etal_2011_SupplementaryTable2"")"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","Smaers_etal_2011/comparison/10.1159%2F000323671_SupplementaryTable1.tsv","10.1159%2F000323671_SupplementaryTable1.tsv","mentions exact filename",TRUE,TRUE,"9;44","8: # | 9: # Inputs : ../Smaers_etal_2011_SupplementaryTable1_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable1.tsv | 10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv || 43: } | 44: audit(""../Smaers_etal_2011_SupplementaryTable1_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable1.tsv"", 5, ""Smaers_etal_2011_SupplementaryTable1"") | 45: audit(""../Smaers_etal_2011_SupplementaryTable2_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable2.tsv"", 4, ""Smaers_etal_2011_SupplementaryTable2"")"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","__Public/comparative-data/10.1159%2F000323671_SupplementaryTable2.tsv","10.1159%2F000323671_SupplementaryTable2.tsv","mentions exact filename",TRUE,TRUE,"10;45","9: # Inputs : ../Smaers_etal_2011_SupplementaryTable1_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable1.tsv | 10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv | 11: # Outputs: Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv (+ _mismatches) || 44: audit(""../Smaers_etal_2011_SupplementaryTable1_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable1.tsv"", 5, ""Smaers_etal_2011_SupplementaryTable1"") | 45: audit(""../Smaers_etal_2011_SupplementaryTable2_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable2.tsv"", 4, ""Smaers_etal_2011_SupplementaryTable2"")"
"Smaers_etal_2011/comparison/Smaers_etal_2011_compare_to_public_tsv.R","Smaers_etal_2011/comparison/10.1159%2F000323671_SupplementaryTable2.tsv","10.1159%2F000323671_SupplementaryTable2.tsv","mentions exact filename",TRUE,TRUE,"10;45","9: # Inputs : ../Smaers_etal_2011_SupplementaryTable1_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable1.tsv | 10: #          ../Smaers_etal_2011_SupplementaryTable2_snapshot.csv ; 10.1159%2F000323671_SupplementaryTable2.tsv | 11: # Outputs: Smaers_etal_2011_SupplementaryTable1_comparison_report_from_R.csv (+ _mismatches) || 44: audit(""../Smaers_etal_2011_SupplementaryTable1_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable1.tsv"", 5, ""Smaers_etal_2011_SupplementaryTable1"") | 45: audit(""../Smaers_etal_2011_SupplementaryTable2_snapshot.csv"", ""10.1159%2F000323671_SupplementaryTable2.tsv"", 4, ""Smaers_etal_2011_SupplementaryTable2"")"
