"script","has_data_writer_call","has_data_reader_call","mentions_csv_or_tsv_literal"
"_tools/__edit_all_directories.R",FALSE,FALSE,FALSE
"Jung_etal_2022/Jung_etal_2022_Reportedresults.R",TRUE,TRUE,TRUE
