pass,value,marker,note,n_files,files
B_number,Alouatta_palliata19,19,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata25,25,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata26,26,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata3,3,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata40,40,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata59,59,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata6,6,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata7,7,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata8,8,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_palliata9,9,trailing number; base 'Alouatta palliata' seen in 131 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_pigra7,7,trailing number; base 'Alouatta pigra' seen in 49 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_seniculus6,6,trailing number; base 'Alouatta seniculus' seen in 215 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Alouatta_seniculus9,9,trailing number; base 'Alouatta seniculus' seen in 215 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
A_letter,Anoura caudifera,a,glued letter; base 'Anoura caudifer' in 30 files vs 3,3,Genoud_etal_2018/Genoud_etal_2018_TableS2.csv; Genoud_etal_2018/brv12350-sup-0003-tables2.xlsx; __Public/comparative-data/10.1111%2Fbrv.12350_TableS2.tsv
C_symbol,Aotus trivirgatus (1535) ‡,‡,symbol/superscript marker,1,MacLeod_etal_2003/MacLeod_etal_2003_Table2_snapshot.csv
C_symbol,Aotus trivirgatus (1536) ‡,‡,symbol/superscript marker,1,MacLeod_etal_2003/MacLeod_etal_2003_Table2_snapshot.csv
C_symbol,Aotus trivirgatus (888) ‡,‡,symbol/superscript marker,1,MacLeod_etal_2003/MacLeod_etal_2003_Table2_snapshot.csv
B_number,Aotus_azarai3,3,trailing number; base 'Aotus azarai' seen in 22 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
B_number,Aotus_trivirgatus2,2,trailing number; base 'Aotus trivirgatus' seen in 335 files,4,DeCasien_Higham_2019/41559_2019_969_MOESM3_ESM.xlsx; ____Brain_structure_volumes/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien Higham 2019/41559_2019_969_MOESM3_ESM.xlsx; ____Sensory_audiovisual/_incoming_Bath_archive_20260814/EXAMPLE ORGANIZATION/DeCasien etal 2017/41559_2017_BFs415590170112_MOESM250_ESM.xls
