repo,path,line,found,canonical,kind,severity,action,context,in_scope
PUB,SOURCE_DISPOSITION_REGISTER.md,42,Weaver_2005,Weaver__2005,doc,P4,prose/README - text fix,"| Weaver 2005, *Reciprocal evolution of the cerebellum and neocortex in fossil humans* | `DOCUMENTED SKIP` | No new raw table; quantitative ",yes
PUB,SOURCE_DISPOSITION_REGISTER.md,42,Weaver_2005,Weaver__2005,doc,P4,prose/README - text fix,"| Weaver 2005, *Reciprocal evolution of the cerebellum and neocortex in fossil humans* | `DOCUMENTED SKIP` | No new raw table; quantitative ",yes
PUB,SOURCE_DISPOSITION_REGISTER.md,42,Weaver_2005,Weaver__2005,doc,P4,prose/README - text fix,"| Weaver 2005, *Reciprocal evolution of the cerebellum and neocortex in fossil humans* | `DOCUMENTED SKIP` | No new raw table; quantitative ",yes
PUB,SOURCE_DISPOSITION_REGISTER.md,48,MedinaGonzalez_2026,MedinaGonzalez__2026,doc,P4,prose/README - text fix,"| Medina-González 2026, terrestrial-mammal joint excursion | `HOLD` | Zenodo record `10.5281/zenodo.15425733` is published but restricted an",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,2,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,LGB,volume,mm3,17.8,4.8,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,3,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,MGBp,volume,mm3,7.1,1.9,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,4,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Hylo.-s,Hylobates sp.,VB,volume,mm3,41.2,11.2,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,5,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,LGB,volume,mm3,21,5.6,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,6,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,MGBp,volume,mm3,8.3,2.2,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,7,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Hylo.-h,Hylobates sp.,VB,volume,mm3,37.5,10.2,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,8,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,H. lar-t,Hylobates lar,LGB,volume,mm3,27.1,4.7,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,9,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,H. lar-t,Hylobates lar,MGBp,volume,mm3,11.8,2.1,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,10,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,H. lar-t,Hylobates lar,VB,volume,mm3,62.4,10.8,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,11,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,LGB,volume,mm3,51,3.2,,,,,,,,Percent of total thalamus.",yes
PUB,Armstrong__1979/Armstrong__1979_Tables1-9_snapshot.csv,12,Armstrong_1979,Armstrong__1979,frozen_snapshot,P2,frozen file: value is coupled to a script filter - decide before touching,"Table1,Armstrong_1979,primary,Gorilla g.,Gorilla gorilla,MGBp,volume,mm3,29,1.8,,,,,,,,Percent of total thalamus.",yes
