"Species","n","motor_pyramid_soma_um3_mean","motor_pyramid_soma_um3_sd","motor_pyramid_cv_pct","betz_soma_um3_mean","betz_soma_um3_sd","betz_cv_pct","visual_pyramid_soma_um3_mean","visual_pyramid_soma_um3_sd","visual_pyramid_cv_pct","meynert_soma_um3_mean","meynert_soma_um3_sd","meynert_cv_pct","neocortex_vol_mm3","neocortex_vol_ref","brain_weight_g","brain_weight_ref","body_weight_g","body_weight_ref","EQ","diet_category","diet_ref","habitat_category","habitat_ref","group_size","group_size_ref","dexterity_index","note","source"
"Pteropus poliocephalus",1,1170,567,48,3704,882,24,1186,379,32,2507,938,37,2710,"Baron et al. [1996]",7.2,"Baron et al. [1996]",695,"Baron et al. [1996]",0.87,NA,NA,NA,NA,NA,NA,NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Tupaia glis",2,1906,70,4,3008,120,4,1050,45,4,2024,68,3,1036,"Stephan et al. [1981]",3.2,"Stephan et al. [1981]",170,"Stephan et al. [1981]",1.11,NA,NA,NA,NA,NA,NA,3,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Loris tardigradus",1,851,246,29,1756,608,35,654,266,41,1409,511,36,3524,"Stephan et al. [1981]",6.6,"Stephan et al. [1981]",322,"Stephan et al. [1981]",1.42,"IN","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",4,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Perodicticus potto",2,3492,155,4,13033,837,6,1802,65,4,4356,199,5,6683,"Stephan et al. [1981]",14.3,"Harvey et al. [1987]",833,"Fleagle [1999]",1.5,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",2,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Galago senegalensis",1,1488,58,4,3052,267,9,NA,NA,NA,NA,NA,NA,2139,"Stephan et al. [1981]",4.8,"Stephan et al. [1981]",213,"Fleagle [1999]",1.41,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",NA,NA,5,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Otolemur crassicaudatus",3,1998,103,5,3156,208,7,933,37,4,2267,208,9,4723,"Stephan et al. [1981]",11.8,"Harvey et al. [1987]",1150,"Fleagle [1999]",0.97,"FR","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",6,"Rowe [1996]",5,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Lemur catta",2,2584,159,6,9457,680,7,1590,53,3,2713,89,3,NA,NA,25.6,"Harvey et al. [1987]",2210,"Fleagle [1999]",1.29,"FR","Clutton-Brock and Harvey [1980]","TER","Clutton-Brock and Harvey [1980]",17,"Rowe [1996]",5,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Hapalemur griseus",1,1748,720,41,3440,1656,48,784,292,37,1890,1032,55,NA,NA,14.7,"Harvey et al. [1987]",916,"Rowe [1996]",1.44,"FO","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",6,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Propithecus verreauxi",1,2524,1062,42,6348,3393,53,1286,463,36,2872,1378,48,13170,"Stephan et al. [1981]",26.7,"Stephan et al. [1981]",3480,"Groves [2001]",0.95,"FO","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",12,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
"Daubentonia madagascariensis",1,1979,1187,60,6127,2082,34,1143,232,20,3602,1601,44,22127,"Stephan et al. [1981]",45.2,"Stephan et al. [1981]",2800,"Stephan et al. [1981]",1.9,"IN","Clutton-Brock and Harvey [1980]","ARB","Clutton-Brock and Harvey [1980]",2,"Rowe [1996]",NA,"soma volumes = this study (primary); neocortex/brain/body/EQ/ecology columns are literature-compiled (secondary) - refs resolved from header defaults + per-cell superscripts (see definitions); dexterity index after Heffner & Masterton 1983","Sherwood_etal_2003_Table1"
