Ailurus fulgens
Alouatta caraya
Alouatta palliata
Alouatta seniculus
Amblysomus hottentotus
Antidorcas marsupialis
Aotus trivirgatus
Aplodontia rufa
Atelerix algirus
Ateles geoffroyi
Avahi laniger
Avahi occidentalis
Balaenoptera acutorostrata
Bathyergus suillus
Blarina brevicauda
Callicebus moloch
Callimico goeldii
Callithrix jacchus
Canis latrans
Canis lupus
Cardioderma cor
Casinycteris argynnis
Cavia porcellus
Cebuella pygmaea
Cebus albifrons
Cercocebus agilis
Cercocebus torquatus
Cercopithecus ascanius
Cercopithecus mitis
Cercopithecus nictitans
Chaerephon pumilus
Cheirogaleus major
Cheirogaleus medius
Chinchilla lanigera
Choloepus didactylus
Chrysochloris asiatica
Chrysochloris stuhlmanni
Coleura afra
Colobus angolensis
Condylura cristata
Crocidura flavescens
Crocidura hildegardeae
Crocidura russula
Crocuta crocuta
Cryptomys hottentotus
Cynictis penicillata
Damaliscus pygargus
Daubentonia madagascariensis
Dendrohyrax dorsalis
Dendrolagus goodfellowi
Desmana moschata
Didelphis aurita
Didelphis marsupialis
Echinops telfairi
Echinosorex gymnura
Elephantulus myurus
Epomophorus wahlbergi
Epomops franqueti
Equus quagga
Erinaceus europaeus
Erythrocebus patas
Eulemur fulvus
Eulemur mongoz
Felis catus
Fukomys damarensis
Fukomys darlingi
Fukomys mechowi
Galago senegalensis
Galagoides demidovii
Galemys pyrenaicus
Galictis vittata
Georychus capensis
Giraffa camelopardalis
Glis glis
Gorilla gorilla
Heliophobius argenteocinereus
Hemicentetes semispinosus
Hemiechinus auritus
Heterocephalus glaber
Hipposideros commersoni
Homo sapiens
Hyaena hyaena
Hydrochoerus hydrochaeris
Hylobates lar
Hylobates muelleri
Hylomys suillus
Hypsignathus monstrosus
Indri indri
Lagothrix lagotricha
Lama glama
Lemur catta
Leontopithecus rosalia
Lepilemur ruficaudatus
Limnogale mergulus
Lophocebus albigena
Loris tardigradus
Loxodonta africana
Macaca fascicularis
Macaca maura
Macaca mulatta
Macaca nemestrina
Macaca radiata
Macropus fuliginosus
Macropus parma
Macropus rufogriseus
Macropus rufus
Mandrillus sphinx
Marmosops incanus
Megaloglossus woermanni
Mesocricetus auratus
Metachirus nudicaudatus
Microcebus murinus
Microgale cowani
Microgale talazaci
Micropotamogale lamottei
Miniopterus schreibersii
Miopithecus talapoin
Mungos mungo
Mus musculus
Mustela erminea
Mustela putorius
Myosorex babaulti
Myrmecophaga tridactyla
Nasalis larvatus
Nasua narica
Neomys fodiens
Neovison vison
Nycticebus coucang
Odocoileus virginianus
Oryctolagus cuniculus
Oryzorictes hova
Otolemur crassicaudatus
Otolemur garnettii
Pan paniscus
Pan troglodytes
Panthera leo
Papio anubis
Papio cynocephalus
Papio hamadryas
Parascalops breweri
Pecari tajacu
Perodicticus potto
Petrodromus tetradactylus
Pithecia monachus
Pithecia pithecia
Pongo pygmaeus
Potamogale velox
Potos flavus
Procavia capensis
Procolobus badius
Procyon lotor
Proechimys guyannensis
Propithecus verreauxi
Pygathrix nemaeus
Rattus norvegicus
Rhynchocyon cirnei
Rousettus aegyptiacus
Ruwenzorisorex suncoides
Saguinus geoffroyi
Saguinus midas
Saguinus oedipus
Saimiri sciureus
Sapajus apella
Sarcophilus harrisii
Scalopus aquaticus
Sciurus carolinensis
Scotonycteris zenkeri
Scutisorex somereni
Semnopithecus entellus
Setifer setosus
Solenodon paradoxus
Sorex araneus
Sorex cinereus
Sorex fumeus
Sorex hoyi
Sorex minutus
Spalax ehrenbergi
Suncus etruscus
Suncus megalura
Suncus murinus
Sus scrofa
Sylvisorex granti
Symphalangus syndactylus
Talpa europaea
Tamandua tetradactyla
Tarsius syrichta
Tenrec ecaudatus
Trachypithecus francoisi
Tragelaphus strepsiceros
Triaenops persicus
Tupaia glis
Tupaia minor
Urogale everetti
Ursus arctos
Ursus maritimus
Varecia variegata
Vulpes zerda
Wallabia bicolor
Zalophus californianus
