"accepted_name","status","matched_tip","matched_via","candidate_source","family_expected","order_expected","n_auto_candidates","n_review_candidates","note"
"Epomophorus wahlbergi","matched_direct","Epomophorus_wahlbergi","Epomophorus wahlbergi","accepted_name","Pteropodidae","Chiroptera",1,0,""
"Epomops franqueti","matched_direct","Epomops_franqueti","Epomops franqueti","accepted_name","Pteropodidae","Chiroptera",1,0,""
"Equus burchelli","matched_synonym","Equus_quagga","Equus quagga","verified_bridge","Equidae","Perissodactyla",2,0,"E. quagga is the senior synonym; bridge already documented in Wilman_etal_2014 README"
"Erinaceus europaeus","matched_direct","Erinaceus_europaeus","Erinaceus europaeus","accepted_name","Erinaceidae","Eulipotyphla",1,0,""
"Erythrocebus patas","matched_direct","Erythrocebus_patas","Erythrocebus patas","accepted_name","Cercopithecidae","Primates",1,0,""
"Eulemur fulvus","matched_direct","Eulemur_fulvus","Eulemur fulvus","accepted_name","Lemuridae","Primates",2,1,""
"Eulemur mongoz","matched_direct","Eulemur_mongoz","Eulemur mongoz","accepted_name","Lemuridae","Primates",1,0,""
"Felis catus","matched_direct","Felis_catus","Felis catus","accepted_name","Felidae","Carnivora",1,1,""
"Fukomys anselli","matched_direct","Fukomys_anselli","Fukomys anselli","accepted_name","Bathyergidae","Rodentia",2,0,""
"Fukomys damarensis","matched_direct","Fukomys_damarensis","Fukomys damarensis","accepted_name","Bathyergidae","Rodentia",2,0,""
"Fukomys darlingi","matched_direct","Fukomys_darlingi","Fukomys darlingi","accepted_name","Bathyergidae","Rodentia",2,0,""
"Fukomys mechowii","matched_synonym","Fukomys_mechowi","Fukomys mechowi","verified_bridge","Bathyergidae","Rodentia",3,0,"orthographic variant of the epithet; cf. Wilman_etal_2014 README (mechowii/mechowi)"
"Galago senegalensis","matched_direct","Galago_senegalensis","Galago senegalensis","accepted_name","Galagidae","Primates",1,0,""
"Galagoides demidoff","matched_synonym","Galagoides_demidovii","Galagoides demidovii","verified_bridge","Galagidae","Primates",3,1,"orthographic variant of the epithet"
"Galemys pyrenaicus","matched_direct","Galemys_pyrenaicus","Galemys pyrenaicus","accepted_name","Talpidae","Eulipotyphla",1,0,""
"Galictis vittatus","matched_synonym","Galictis_vittata","Galictis vittata","verified_bridge","Mustelidae","Carnivora",2,0,"gender agreement of the epithet; bridge already documented in Wilman_etal_2014 README"
"Georychus capensis","matched_direct","Georychus_capensis","Georychus capensis","accepted_name","Bathyergidae","Rodentia",1,0,""
"Giraffa camelopardalis","matched_direct","Giraffa_camelopardalis","Giraffa camelopardalis","accepted_name","Giraffidae","Artiodactyla",1,0,""
"Gorilla gorilla","matched_direct","Gorilla_gorilla","Gorilla gorilla","accepted_name","Hominidae","Primates",1,0,""
"Gorilla sp.","unresolvable_placeholder","","","","Hominidae","Primates",0,0,"genus-level name: no single tip can represent it"
"Heliophobius argenteocinereus","matched_direct","Heliophobius_argenteocinereus","Heliophobius argenteocinereus","accepted_name","Bathyergidae","Rodentia",1,0,""
"Hemicentetes semispinosus","matched_direct","Hemicentetes_semispinosus","Hemicentetes semispinosus","accepted_name","Tenrecidae","Afrosoricida",1,0,""
"Hemiechinus auritus","matched_direct","Hemiechinus_auritus","Hemiechinus auritus","accepted_name","Erinaceidae","Eulipotyphla",1,0,""
"Heterocephalus glaber","matched_direct","Heterocephalus_glaber","Heterocephalus glaber","accepted_name","Bathyergidae","Rodentia",1,0,""
"Homo sapiens","matched_direct","Homo_sapiens","Homo sapiens","accepted_name","Hominidae","Primates",1,0,""
"Hyaena hyaena","matched_direct","Hyaena_hyaena","Hyaena hyaena","accepted_name","Hyaenidae","Carnivora",1,0,""
"Hydrochoerus hydrochaeris","matched_direct","Hydrochoerus_hydrochaeris","Hydrochoerus hydrochaeris","accepted_name","Hydrochaeridae","Rodentia",1,0,""
"Hylobates lar","matched_direct","Hylobates_lar","Hylobates lar","accepted_name","Hylobatidae","Primates",1,0,""
"Hylobates muelleri","matched_direct","Hylobates_muelleri","Hylobates muelleri","accepted_name","Hylobatidae","Primates",1,0,""
"Hylomys suillus","matched_direct","Hylomys_suillus","Hylomys suillus","accepted_name","Erinaceidae","Eulipotyphla",1,0,""
"Hypsignathus monstrosus","matched_direct","Hypsignathus_monstrosus","Hypsignathus monstrosus","accepted_name","Pteropodidae","Chiroptera",1,0,""
"Indri indri","matched_direct","Indri_indri","Indri indri","accepted_name","Indriidae","Primates",1,0,""
"Lagothrix lagothricha","matched_synonym","Lagothrix_lagotricha","Lagothrix lagotricha","species_key_variant","Atelidae","Primates",3,0,"orthographic variant"
"Lama glama","matched_direct","Lama_glama","Lama glama","accepted_name","Camelidae","Artiodactyla",1,0,""
"Lemur catta","matched_direct","Lemur_catta","Lemur catta","accepted_name","Lemuridae","Primates",1,0,""
"Leontopithecus rosalia","matched_direct","Leontopithecus_rosalia","Leontopithecus rosalia","accepted_name","Cebidae","Primates",1,0,""
"Lepilemur ruficaudatus","matched_direct","Lepilemur_ruficaudatus","Lepilemur ruficaudatus","accepted_name","Lepilemuridae","Primates",1,0,""
"Lophocebus albigena","matched_direct","Lophocebus_albigena","Lophocebus albigena","accepted_name","Cercopithecidae","Primates",2,0,""
