species_as_published,specimen_number,neocortex_mean_neurons_per_sample,caudate_mean_neurons_per_sample,neocortex_neuronal_density_per_mm3,caudate_neuronal_density_per_mm3,neocortex_total_neuron_number,caudate_total_neuron_number,source
Hydrochoerus hydrochoerus,59-490,10.3,9.169,63582,56600,252992778,23375800,Campos_Welker_1976
Cavia porcellus,60-1,38.53,29.32,237846,180992,40481389,6823398,Campos_Welker_1976
