species_as_published,specimen_number,total_prosencephalon_volume_mm3,neocortex_volume_mm3,forebrain_white_matter_volume_mm3,thalamus_volume_mm3,caudate_putamen_accumbens_volume_mm3,globus_pallidus_volume_mm3,basal_forebrain_volume_mm3,hippocampus_volume_mm3,hypothalamus_volume_mm3,corticothalamic_ratio,source
Hydrochoerus hydrochoerus,59-490,7365,3979,1451,434.1,413,41,551.2,278.6,74.6,9.17,Campos_Welker_1976
Cavia porcellus,60-1,443.1,170.2,96.26,36.6,37.7,4.5,61.5,45.5,13.1,5.15,Campos_Welker_1976
