species_as_published,specimen_number,product,code,source_label,value,unit,printed_multiplication_factor,factor_direction,recomputed_multiplication_factor,factor_absolute_difference,note,source
Hydrochoerus hydrochoerus,59-490,volume,total_prosencephalon_volume_mm3,total pros.,7365,mm3,16.62,capybara_divided_by_guinea_pig,16.621530128639133,0.0015301286391320446,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,neocortex_volume_mm3,neo-cortex,3979,mm3,23.38,capybara_divided_by_guinea_pig,23.37837837837838,0.0016216216216200507,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,forebrain_white_matter_volume_mm3,white,1451,mm3,15.07,capybara_divided_by_guinea_pig,15.073758570538125,0.0037585705381246726,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,thalamus_volume_mm3,thal,434.1,mm3,11.86,capybara_divided_by_guinea_pig,11.860655737704919,6.557377049194457e-4,"Dorsal thalamus, epithalamus and ventral thalamus including fiber tracts; pretectal nuclei excluded.",Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,caudate_putamen_accumbens_volume_mm3,cau,413,mm3,10.95,capybara_divided_by_guinea_pig,10.954907161803712,0.004907161803712867,Caudate-putamen-accumbens complex.,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,globus_pallidus_volume_mm3,gp,41,mm3,9.11,capybara_divided_by_guinea_pig,9.11111111111111,0.0011111111111112848,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,basal_forebrain_volume_mm3,bf,551.2,mm3,8.96,capybara_divided_by_guinea_pig,8.96260162601626,0.002601626016259573,Includes the source-defined basal forebrain structures listed in Figure 11.,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,hippocampus_volume_mm3,hip,278.6,mm3,6.12,capybara_divided_by_guinea_pig,6.1230769230769235,0.0030769230769234213,"Includes Ammon's horn, subiculum, dentate gyrus and anterior continuation of hippocampus.",Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,hypothalamus_volume_mm3,hy,74.6,mm3,5.69,capybara_divided_by_guinea_pig,5.694656488549618,0.004656488549617421,Includes hypothalamic nuclei and inclusive fiber bundles.,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,volume,corticothalamic_ratio,cortico-thalamic ratio,9.17,ratio,1.78,capybara_divided_by_guinea_pig,1.7805825242718445,5.825242718444645e-4,Printed values retained. The guinea-pig ratio is not reproduced by 170.2 / 36.6 (= 4.65).,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cortical_morphometry,cortical_surface_area_mm2,total cortex surface,2501,mm2,11.46,capybara_divided_by_guinea_pig,11.461961503208066,0.0019615032080650963,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cortical_morphometry,cortical_fissure_area_mm2,cortex in fissures,760.3,mm2,108.61,capybara_divided_by_guinea_pig,108.61428571428571,0.004285714285714448,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cortical_morphometry,cortical_surface_in_fissures_pct,percent cortex in fissures,30.4,percent,9.5,capybara_divided_by_guinea_pig,9.499999999999998,1.7763568394002505e-15,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cortical_morphometry,cortical_thickness_mm,cortical thickness,1.59,mm,2.04,capybara_divided_by_guinea_pig,2.0384615384615383,0.0015384615384617106,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cell_count,neocortex_mean_neurons_per_sample,mean number of cells/sample - cortex,10.3,neurons_per_162000_um3_sample,3.74,guinea_pig_divided_by_capybara,3.740776699029126,7.766990291258047e-4,All neurons containing nucleoli were counted.,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cell_count,caudate_mean_neurons_per_sample,mean number of cells/sample - cau,9.169,neurons_per_162000_um3_sample,3,guinea_pig_divided_by_capybara,3.197731486530701,0.19773148653070116,Printed factor 3.0 retained; values imply 3.20.,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cell_count,neocortex_neuronal_density_per_mm3,cell densities - cortex,63582,neurons_per_mm3,3.74,guinea_pig_divided_by_capybara,3.740775691233368,7.756912333678478e-4,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cell_count,caudate_neuronal_density_per_mm3,cell densities - cau,56600,neurons_per_mm3,3,guinea_pig_divided_by_capybara,3.1977385159010603,0.19773851590106029,Printed factor 3.0 retained; values imply 3.20.,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cell_count,neocortex_total_neuron_number,total cell numbers - cortex,252992778,neurons,6.25,capybara_divided_by_guinea_pig,6.249607146632246,3.9285336775396473e-4,,Campos_Welker_1976
Hydrochoerus hydrochoerus,59-490,cell_count,caudate_total_neuron_number,total cell numbers - cau,23375800,neurons,3.43,capybara_divided_by_guinea_pig,3.4258297698595332,0.004170230140466913,,Campos_Welker_1976
Cavia porcellus,60-1,volume,total_prosencephalon_volume_mm3,total pros.,443.1,mm3,16.62,capybara_divided_by_guinea_pig,16.621530128639133,0.0015301286391320446,,Campos_Welker_1976
Cavia porcellus,60-1,volume,neocortex_volume_mm3,neo-cortex,170.2,mm3,23.38,capybara_divided_by_guinea_pig,23.37837837837838,0.0016216216216200507,,Campos_Welker_1976
