species_as_published,specimen_number,cortical_surface_area_mm2,cortical_fissure_area_mm2,cortical_surface_in_fissures_pct,cortical_thickness_mm,source
Hydrochoerus hydrochoerus,59-490,2501,760.3,30.4,1.59,Campos_Welker_1976
Cavia porcellus,60-1,218.2,7,3.2,0.78,Campos_Welker_1976
