genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Raja_binoculata,Raja_binoculata_389361,497,497,0,N,N
Centrophorus_squamosus,Centrophorus_squamosus_449785,482,482,0,N,N
Deania_calcea,Deania_calcea_449777,484,484,0,N,N
Centroswcymnus_coelolepis,Centroscymnus_coelolepis_304656,472,472,0,N,N
Merluccius_merluccius,Merluccius_merluccius_62642,496,496,0,N,N
Diaphus_lucidus,Diaphus_lucidus_884779,490,490,0,N,N
Melanostigma_pammelas,Melanostigma_pammelas_584428,485,485,0,N,N
Melanphaes_canthomus,Melamphaes_acanthomus_3631059,485,485,0,N,N
Lampanyctus_regalis,Nannobrachium_regale_169226,489,489,0,N,N
Leuroglosus_stilbius,Bathylagus_stilbius_669293,491,491,0,N,N
Chauliodus_macouni,Chauliodus_macouni_76509,488,488,0,N,N
Holtbyrnia_spinithara,,480,480,0,N,N
Stenobrachius_leucopsarus,Stenobrachius_leucopsarus_169233,492,492,0,N,N
Aristostomias_tittmanni,Aristostomias_tittmanni_988979,518,551,33,N,N
Porichthys_notatus,Porichthys_notatus_720409,493,493,0,N,N
Zaniolepis_frenata,Zaniolepis_frenata_305858,487,487,0,N,N
Sebastolobus_alascanus,Sebastolobus_alascanus_309989,484,484,0,N,N
Borostomias_panamensis,Borostomias_panamensis_224130,483,483,0,N,N
Hemigraspus_edwardsi,,513,513,0,Y,N
Leptograspus_variegatus,Leptograpsus_variegatus_43264,513,513,0,Y,N
Zalophus_californianus,Zalophus_californianus_95364,501.3,501.3,0,N,N
Mirounga_angustirostris,Mirounga_angustirostris_175268,491.7,491.7,0,N,N
Hemisquilla_ensigera,Hemisquilla_ensigera_159028,414,535,121,Y,N
Odontodactylus_scyllarus,Odontodactylus_scyllarus_122980,400,528,128,Y,N
Odontodactylus_brevirostris,Odontodactylus_brevirostris_5090872,402,535,133,Y,N
Libinia_emarginata,Libinia_emarginata_428458,493,493,0,Y,N
Gecarcinus_lateralis,Gecarcinus_lateralis_182897,485.2,487,1.8,Y,N
Notostomus_gibbosus,Notostomus_gibbosus_475269,490,490,0,Y,N
Notostomus_elegans,Notostomus_elegans_2974275,490,490,0,Y,N
Acanthephyra_smithi,Acanthephyra_smithi_2974246,510,510,0,Y,N
Acanthephyra_curtirostris,Acanthephyra_curtirostris_563063,510,510,0,Y,N
Systellaspis_debilis,Systellaspis_debilis_512575,400,500,100,Y,N
Janicella_spinacauda,Janicella_spinicauda_1051663,500,500,0,Y,N
Oplophorus_,,405,405,0,Y,N
Pleuroncodes_planipes,Pleuroncodes_planipes_2976704,503,523,20,Y,N
Pandalus_borealis,Pandalus_borealis_28236,475,500,25,Y,N
Callinectes_sapidus,Callinectes_sapidus_182906,477,508,31,Y,N
Balanus_amphitrite,Amphibalanus_amphitrite_186242,495,570,75,Y,N
Balanus_eburneus,Amphibalanus_eburneus_1042705,495,570,75,Y,N
Trigla_cuculus,,493,493,0,N,N
Rana_temporaria,Rana_temporaria_14718,502,502,0,N,N
Coregonus_clupeoides,Coregonus_clupeoides_3642553,520,536,16,N,N
Cyprinus_carpio,Cyprinus_carpio_429083,523,523,0,N,N
Clibanarius_vittatus,Clibanarius_vittatus_706438,509.6,509.6,0,Y,N
Coenobita_clypeatus,Coenobita_clypeatus_2974729,506.2,506.2,0,Y,N
Coenobita_rugosa,Coenobita_rugosus_1026340,489.5,489.5,0,Y,N
Pagurus_annulipes,Pagurus_annulipes_2974970,492.7,492.7,0,Y,N
Pagurus_longicarpus,Pagurus_longicarpus_155682,513.9,513.9,0,Y,N
Calappa_flammea,Calappa_flammea_2977757,485.2,485.2,0,Y,N
Hepatus_epheliticus,Hepatus_epheliticus_808066,486.6,486.6,0,Y,N
Libinia_dubia,Libinia_dubia_13379,488.7,488.7,0,Y,N
Callinectes_ornatus,Callinectes_ornatus_454973,498.5,498.5,0,Y,N
Eurypanopeus_depressus,Eurypanopeus_depressus_662086,490.1,490.1,0,Y,N
Panopeus_herbstii,Panopeus_herbstii_454962,493,493,0,Y,N
Panopeus_obesus,Panopeus_obesus_139776,493.5,493.5,0,Y,N
Pilumnus_sayi,Pilumnus_sayi_182435,489.1,489.1,0,Y,N
Rhithropanopeus_harrisii,Rhithropanopeus_harrisii_190395,495.2,495.2,0,Y,N
Geryon_quinquedens,Chaceon_quinquedens_450599,472.9,472.9,0,Y,N
Sesarma_cinereum,Armases_cinereum_624071,491.1,491.1,0,Y,N
Sesarma_reticulatum,Sesarma_reticulatum_548096,492.4,508,15.6,Y,N
Uca_pugnax,Minuca_pugnax_509873,508,508,0,Y,N
Uca_pugilator,Leptuca_pugilator_757104,508,508,0,Y,N
