genus_species,tip_name,o_min,o_max,o_range,invertebrate,terrestrial
Scardinius_erythrophthalmus,Scardinius_erythrophthalmus_221709,533.3,537.2,3.9,N,N
Rutilus_rutilus,Rutilus_rutilus_421037,523.8,536,12.2,N,N
Alburnus_alburnus,Alburnus_alburnus_957577,514.6,514.6,0,N,N
Carassius_carassius,Carassius_carassius_1010092,523,525.5,2.5,N,N
Abramis_brama,Abramis_brama_103921,537.2,537.2,0,N,N
Stizostedion_lucioperca,Sander_lucioperca_557682,524.1,524.1,0,N,N
Acerina_cernua,Gymnocephalus_cernua_104323,531.8,533.2,1.4,N,N
Perca_fluviatilis,Perca_fluviatilis_186488,538.6,538.7,0.1,N,N
Atherinops_affinis,Atherinops_affinis_396631,510,510,0,N,N
Mugil_cephalus,Mugil_cephalus_418648,518,520,2,N,N
Seriphus_politus,Seriphus_politus_827210,503,504,1,N,N
Embiotoca_jacksoni,,476.9,533,56.1,N,N
Hyperprosopon_argenteum,,507,507,0,N,N
Cottus_,Cottus_942688,511,511,0,N,N
Leptocottus_armatus,Leptocottus_armatus_520272,498,503,5,N,N
Clevelandia_ios,Clevelandia_ios_1014036,512,512,0,N,N
Eucyclogobius_newberryi,Eucyclogobius_newberryi_282688,512,512,0,N,N
Sphoeroides_annulatus,Sphoeroides_annulatus_6406,508,508,0,N,N
Tarsipes_rostratus,Tarsipes_rostratus_901943,350,557,207,N,Y
Sminthopsis_crassicaudata,Sminthopsis_crassicaudata_948481,350,535,185,N,Y
Mustelus_henlei,Mustelus_henlei_1035182,496,499,3,N,N
Triakis_semifasciata,Triakis_semifasciata_32029,497,502,5,N,N
Hariotta_raleighana,Harriotta_raleighana_776006,481,481,0,N,N
Conocara_macroptera,Conocara_macropterum_260639,476,476,0,N,N
Rouleina_aderensis,Rouleina_maderensis_3642739,477,477,0,N,N
Talismania_antillarum,Talismania_antillarum_3642726,476,476,0,N,N
Searsia_koefoedi,Searsia_koefoedi_882984,476,478,2,N,N
Barbantus_curvifrons,Barbantus_curvifrons_3642695,478,478,0,N,N
Platytroctes_apus,Platytroctes_apus_621126,476,476,0,N,N
Gonostoma_bathyphilum,Sigmops_bathyphilus_1024454,481,481,0,N,N
Valenciennellus_tripunctulatus,Valenciennellus_tripunctulatus_13172,480,480,0,N,N
