species_ottid,o_max,o_min,o_range,d_min,d_max,d_avg,d_range,biome,lotic,limnetic,neritic,estuarine,coastal,open_marine,deepwater_aphotic,aquatic,forest,intermediate,open,lake.river,habitat
Strix_aluco_ott116522,555,502,53,NA,NA,NA,NA,forest,0,0,0,0,0,0,0,FALSE,1,0,0,0,closed.intermediate
Fejervarya_cancrivora_ott787583,502,433,69,NA,NA,NA,NA,water surface,0,0,0,0,0,0,0,FALSE,0,0,1,0,open.specialist
Gekko_gecko_ott953907,521,364,157,NA,NA,NA,NA,forest,0,0,0,0,0,0,0,FALSE,1,0,0,0,closed.intermediate
Xenos_peckii_ott587370,538.7,345.9,192.8,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,FALSE,NA,NA,NA,0,NA
Myrmecia_vindex_ott3261447,550,370,180,NA,NA,NA,NA,,0,0,0,0,0,0,0,FALSE,NA,NA,NA,0,NA
Myrmecia_croslandi_ott962573,510,370,140,NA,NA,NA,NA,,0,0,0,0,0,0,0,FALSE,NA,NA,NA,0,NA
Meleagris_gallopavo_ott446482,564.1,417.8,146.3,NA,NA,NA,NA,"forest, scrub, grassland",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Tarsipes_rostratus_ott901943,557,350,207,NA,NA,NA,NA,"woodland, scrub",0,0,0,0,0,0,0,FALSE,0,1,1,0,terrestrial.generalist
Sminthopsis_crassicaudata_ott948481,535,350,185,NA,NA,NA,NA,"woodland, scrub, grassland, desert",0,0,0,0,0,0,0,FALSE,0,1,1,0,terrestrial.generalist
Phasianus_versicolor_ott102722,550,380,170,NA,NA,NA,NA,"forest, woodland, grassland",0,0,0,0,0,0,0,FALSE,1,1,1,0,terrestrial.generalist
Pieris_rapae_ott634345,640,340,300,NA,NA,NA,NA,"grassland, desert, coast",0,0,0,0,0,0,0,FALSE,0,0,1,0,open.specialist
Danaus_plexippus_ott190091,554,340,214,NA,NA,NA,NA,"forest, grassland, coast",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Asterocampa_leilia_ott1089970,555,555,0,NA,NA,NA,NA,"forest, desert",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Heliconius_charithonia_ott259142,549,549,0,NA,NA,NA,NA,"forest, scrub",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Heliconius_hecale_ott984234,550,396,154,NA,NA,NA,NA,forest,0,0,0,0,0,0,0,FALSE,1,0,0,0,closed.intermediate
Agraulis_vanillae_ott81495,551,370,181,NA,NA,NA,NA,"forest, scrub, grassland",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Hermeuptychia_hermes_ott414389,515,515,0,NA,NA,NA,NA,forest,0,0,0,0,0,0,0,FALSE,1,0,0,0,closed.intermediate
Neominois_ridingsii_ott841513,531,531,0,NA,NA,NA,NA,"woodland, scrub, grassland",0,0,0,0,0,0,0,FALSE,0,1,1,0,terrestrial.generalist
Oeneis_chryxus_ott785400,531,531,0,NA,NA,NA,NA,"woodland, grassland",0,0,0,0,0,0,0,FALSE,0,1,1,0,terrestrial.generalist
Apodemia_mormo_ott7720254,600,556,44,NA,NA,NA,NA,"grassland, scrub, desert",0,0,0,0,0,0,0,FALSE,0,0,1,0,open.specialist
Siproeta_stelenes_ott634339,522,522,0,NA,NA,NA,NA,,0,0,0,0,0,0,0,FALSE,NA,NA,NA,0,NA
Inachis_io_ott1020541,530,530,0,NA,NA,NA,NA,"forest, grassland",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Nymphalis_antiopa_ott444085,534,382,152,NA,NA,NA,NA,"forest, woodland, clearing",0,0,0,0,0,0,0,FALSE,1,1,1,0,terrestrial.generalist
Junonia_coenia_ott770737,510,510,0,NA,NA,NA,NA,"coastal dune, coastal, dune, city, chaparral, pasture, desert, meadow",0,0,0,0,0,0,0,FALSE,0,0,1,0,open.specialist
Limenitis_archippus_ott581024,545,514,31,NA,NA,NA,NA,"forest, woodland, montane, meadow, river, scrub",0,0,0,0,0,0,0,FALSE,1,1,1,0,terrestrial.generalist
Limenitis_lorquini_ott44256,530,530,0,NA,NA,NA,NA,"forest, scrub",0,0,0,0,0,0,0,FALSE,1,0,1,0,terrestrial.generalist
Limenitis_weidemeyerii_ott44258,530,530,0,NA,NA,NA,NA,woodland,0,0,0,0,0,0,0,FALSE,0,1,0,0,closed.intermediate
Papilio_xuthus_ott613073,575,360,215,NA,NA,NA,NA,woodland,0,0,0,0,0,0,0,FALSE,0,1,0,0,closed.intermediate
Hemicordulia_tau_ott269223,525,220,305,NA,NA,NA,NA,water surface,0,0,0,0,0,0,0,FALSE,0,0,1,0,open.specialist
