species_ottid,o_max,o_min,o_range,d_min,d_max,d_avg,d_range,biome,lotic,limnetic,neritic,estuarine,coastal,open_marine,deepwater_aphotic,aquatic,forest,intermediate,open,lake.river,habitat
Pseudotropheus_ater_ott3636149,351,239,112,NA,NA,NA,NA,Lake,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Melanochromis_vermivorus_ott747272,387,239,148,NA,NA,NA,NA,Lake,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Tramitichromis_intermedius_ott876087,420,246,174,NA,NA,NA,NA,Lake,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Leocottus_kesslerii_ott942680,322,270,52,50,170,110,120,"Lake, river",1,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Paracottus_knerii_ott77105,312,265,47,NA,100,NA,NA,"Lake, river; benthopelagic",1,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Batrachocottus_baicalensis_ott106283,308,257,51,70,130,100,60,Lake river; demersal,1,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Batrachocottus_multiradiatus_ott77068,294,294,0,50,800,425,750,Lake; demersal,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Batrachocottus_nikolskii_ott927233,273,269,4,4,1300,652,1296,Lake; demersal,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Cottocomephorus_grewingki_ott525311,313,209,104,20,300,160,280,"Lake, river; freshwater, brackish; benthopelagic",1,1,0,0,1,0,0,TRUE,0,0,0,1,NA
Cottocomephorus_inermis_ott77111,305,301,4,50,500,275,450,Lake; benthopelagic; potamodromous,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Procottus_jettelesii_ott651000,306,219,87,0,140,70,140,Lake; benthopelagic,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Asprocottus_intermedius_ott3632260,276,276,0,200,800,500,600,,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,NA,NA
Cyphocottus_eurystomus_ott346623,292,279,13,50,600,325,550,Lake; bathydemersal; deep water,0,1,0,0,0,0,1,TRUE,0,0,0,1,freshwater
Limnocottus_pallidus_ott650997,214,212,2,150,1000,575,850,Lake; bathydemersal; deep water,0,1,0,0,0,0,1,TRUE,0,0,0,1,freshwater
Limnocottus_griseus_ott624058,232,232,0,250,1300,775,1050,Lake; bathydemersal; deep water,0,1,0,0,0,0,1,TRUE,0,0,0,1,freshwater
Limnocottus_bergianus_ott650998,228,228,0,100,1000,550,900,Lake; bathydemersal; deep water,0,1,0,0,0,0,1,TRUE,0,0,0,1,freshwater
Comephorus_dybowskii_ott231447,205,204,1,NA,NA,NA,NA,Lake; pelagic; potamodromous,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Comephorus_baicalensis_ott1019835,219,211,8,0,1600,800,1600,Lake; pelagic; potamodromous,0,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Potamotrygon_motoro_ott151418,209,209,0,NA,NA,NA,NA,River; benthopelagic; potamodromous,1,0,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Mysis_relicta_ott373483,430,303,127,NA,NA,NA,NA,"marine, brackish, fresh; Lake; shallow water",0,1,0,0,1,0,0,TRUE,0,0,0,1,NA
Mysis_salemaai_ott657420,372,307,65,NA,NA,NA,NA,"marine, freshwater; Lake",0,1,0,0,1,0,0,TRUE,0,0,0,1,NA
Mysis_diluviana_ott31479,262,262,0,NA,NA,NA,NA,marine; freshwater; Lake,0,1,0,0,1,0,0,TRUE,0,0,0,1,NA
Coregonus_lavaretus_ott872355,364,337,27,3,45,24,42,"Lake; freshwater, brackish; demersal",0,1,0,0,1,0,0,TRUE,0,0,0,1,NA
Salvelinus_alpinus_ott688324,280,271,9,0,75,37.5,75,"Marine, freshwater, brackish; benthopelagic; anadromous; shallow",1,0,0,0,1,0,0,TRUE,0,0,0,1,NA
Sepia_plangon_ott378950,214,202,12,10,98,54,88,marine; benthic,0,0,0,0,0,1,0,TRUE,0,0,0,0,NA
Euprymna_tasmanica_ott916326,202,202,0,1,370,185.5,369,,NA,NA,NA,NA,0,NA,NA,TRUE,0,0,0,NA,NA
Sepioteuthis_lessoniana_ott616360,242,223,19,0,100,50,100,coastal; demersal; brackish,0,0,0,0,1,0,0,TRUE,0,0,0,0,coastal
Devario_aequipinnatus_ott1083064,395,395,0,NA,NA,NA,NA,Stream; freshwater; pelagic,1,0,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Danio_rerio_ott1005914,388,214,174,NA,NA,NA,NA,"stream, pond; freshwater; benthopelagic",1,1,0,0,0,0,0,TRUE,0,0,0,1,freshwater
Oncorhynchus_mykiss_-species_in_domain_Eukaryota-_ott165368,432,277,155,0,200,100,200,"marine, freshwater, brackish; benthopelagic; anadromous; river",1,0,0,0,1,1,0,TRUE,0,0,0,1,NA
Caranx_hippos_ott78208,209,209,0,1,350,175.5,349,"marine; brackish, estuary (juv), river",1,0,1,0,1,0,0,TRUE,0,0,0,1,NA
Scomberomorus_sierra_ott266396,333,333,0,10,60,35,50,marine; pelagic-neritic; oceanodromous; coastal,0,0,1,0,1,0,0,TRUE,0,0,0,0,coastal
Paralabrax_clathratus_ott805781,303,214,89,1,61,31,60,marine; benthopelagic; coastal,0,0,1,0,1,0,0,TRUE,0,0,0,0,coastal
Enneanectes_carminalis_ott453028,214,214,0,NA,NA,NA,NA,marine; reef; coastal (larvae),0,0,1,0,1,0,0,TRUE,0,0,0,0,coastal
Acipenser_fulvescens_ott698270,438,356,82,NA,NA,NA,NA,"Lake, bay (coastal?); freshwater, brackish; demersal; potamodromous",0,1,1,0,1,0,0,TRUE,0,0,0,1,NA
