Species,Audible_freq_high_60dB.kHz,Audible_freq_low_60dB.kHz,Binocular_field.deg,Field_of_best_vision.deg,Hearing_range.octaves,Sound_localization_threshold.deg,Visual_acuity.cdeg
Acinonyx jubatus,,,,,,,23.02
Acomys cahirinus,70.679546,,75.0,,,19.0,
Alouatta caraya,,,,,,,59.61
Aotus azarae,,,,,,,8.3
Aotus trivirgatus,50.507649,,,,,,10.0
Artibeus cinereus,,,,,,,1.4
Artibeus jamaicensis,,,,,,,0.167
Bos taurus,35.153984,,20.0,132.0,,30.0,11.355
Callithrix jacchus,,,,,,,30.0
Camelus bactrianus,,,,,,,10.0
Camelus dromedarius,,,,,,,10.4
Canis lupus,,,,,,,14.57
Canis lupus familiaris,43.981052,,75.0,5.1,,8.0,8.3
Capra hircus,37.301652,,23.0,,,18.0,10.465
Carollia perspicillata,,,,,,,0.94
Cavia porcellus,49.193888,,,,,,
Cebus apella,,,,,,,54.75
Cercopithecus mitis,47.914299,,,,,,
Cercopithecus neglectus,42.276265,,,,,,
Cheirogaleus medius,,,,,,,2.84
Chinchilla lanigera,33.12997,,,,,,
Chlorocebus aethiops,45.155601,,,,,,55.23
Choloepus didactylus,,,,,,,1.54
Crocuta crocuta,,,,,,,8.4
Cuniculus paca,,,,,,,2.8
Cynomys leucurus,26.134065,,,,,,
Cynomys ludovicianus,26.134065,,,,,,
Dama dama,,,,,,,18.48
Dasyprocta leporina,,,,,,,6.21
Dasyurus hallucatus,,,,,,,2.8
Desmodus rotundus,,,,,,,0.625
Diceros bicornis,,,,,,,6.0
Didelphis marsupialis,,,,,,,1.25
Didelphis virginiana,68.841091,,77.0,15.8,,4.6,2.145
Dipodomys merriami,51.856496,,20.0,,,27.0,
Elephas maximus,10.458231,,80.0,,,1.2,
Ellobius lutescens,,,,,,,0.4
Ellobius talpinus,,,,,,,0.9
Enhydra lutris,,,,,,,4.2
Eptesicus fuscus,106.3425,,,,,,0.5
Equus caballus,33.348979,,28.0,,,25.0,23.3
Eulemur fulvus,43.405285,,,,,,
Eulemur macaco,,,,,,,5.14
Felis catus,79.579423,,105.0,4.9,,5.7,9.0
Galago senegalensis,65.738113,,,,,,6.7
Geomys bursarius,8.753821,,4.0,166.0,,90.0,1.7
Giraffa camelopardalis,,,,,,,25.46
Hemiechinus auritus,59.551774,,,,,,
Heterocephalus glaber,11.468833,,,,,,0.44
Homo sapiens,17.716518,,105.0,0.7,,1.3,65.5
Hydrochoerus hydrochaeris,,,,,,,5.8
Inia geoffrensis,,,,,,,
Lemmus lemmus,,,,,,,0.83
Lemur catta,,,,,,,6.7
Loxodonta africana,,,,,,,13.16
Lynx lynx,,,,,,,8.0
Macaca fascicularis,,,,,,,46.0
Macaca fuscata,34.465934,,,,,,
Macaca mulatta,40.906196,,,,,,53.6
Macaca nemestrina,34.465934,,,,,,46.0
Macroderma gigas,,,,,,,1.9
Macropus eugenii,,,,,,,2.7
Macropus fuliginosus,,,,,,,11.23
Marmota monax,27.548565,,,,,,
Megaderma lyra,,,,,,,1.5
Meriones unguiculatus,58.386198,,48.0,200.0,,27.0,2.0
Mesocricetus auratus,46.361516,,,,,,0.5
Microcebus murinus,,,,,,,4.2
Monodelphis domestica,76.494775,,,,,,
Mus musculus,85.524804,,,,,,0.5
Mustela nivalis,60.341723,,69.0,23.0,,12.0,2.2
Mustela putorius,42.555736,,,,,8.5,3.57
Myotis daubentonii,,,,,,,0.1
Myotis lucifugus,115.852762,,,,,,
Myotis mystacinus,,,,,,,0.1
Myrmecobius fasciatus,,,,,,,5.2
Nannospalax ehrenbergi,5.856607,,,,,,
Neotoma floridana,56.494047,,85.0,156.2,,19.0,2.3
Noctilio leporinus,111.362092,,,,,,
Nycticebus coucang,44.271794,,,,,,
Nyctophilus gouldi,,,,,,,0.6
Odobenus rosmarus,,,,,,,3.8
Onychomys leucogaster,67.939875,,52.0,68.5,,19.3,2.3
Orcinus orca,,,,,,,
Oryctolagus cuniculus,49.193888,,,,,,3.0
Otolemur crassicaudatus,,,,,,,4.8
Ovis aries,42.555736,,,,,,5.61
Pagophilus groenlandicus,,,,,,,
Pan troglodytes,23.058892,,,,,,64.28
Papio cynocephalus,40.370683,,,,,,
Paraechinus hypomelas,,,35.0,,,19.0,
Perodicticus potto,42.276265,,,,,,
Peromyscus maniculatus,,,,,,,0.56
Phascolarctos cinereus,,,,,,,2.4
Phoca vitulina,23.211325,,,,,3.2,3.6
Phyllostomus hastatus,,,,,,,0.167
Phyllotis darwini,74.015771,,,,,,
Plecotus auritus,,,,,,,1.0
Pteropus giganteus,,,,,,,1.7
Pteropus poliocephalus,,,,,,,5.5
Pteropus scapulatus,,,,,,,4.0
Pusa hispida,,,,,,,
Rattus norvegicus,70.704095,,55.5,52.8,,11.95,1.55
Rhinolophus ferrumequinum,102.896205,,,,,,
Rhinolophus rouxii,,,,,,,0.4
Rousettus aegyptiacus,64.02819,,,,,,
Rousettus madagascariensis,,,,,,,3.0
Saguinus midas,,,,,,,24.87
Saimiri sciureus,43.120234,,,,,,40.5
Sarcophilus harrisii,,,,,,,4.75
Sciurus carolinensis,,,,,,,3.9
Sciurus niger,48.870822,,,,,,3.9
Setonix brachyurus,,,,,,,4.0
Sigmodon hispidus,72.090537,,,,,,
Sminthopsis crassicaudata,,,,,,,2.36
Spermophilus beecheyi,,,,,,,4.0
Suricata suricatta,,,,,,,6.3
Sus scrofa,40.906196,,47.0,11.6,,4.6,8.96
Sylvilagus floridanus,56.0,0.3,,,7.544321,27.6,
Tachyglossus aculeatus,,,,,,,1.69
Tamias striatus,52.544367,,,,,,
Taphozous georgianus,,,,,,,1.3
Tarsipes rostratus,,,,,,,0.63
Tarsius syrichta,,,,,,,8.89
Thylamys elegans,78.021856,,,,,,
Trichosurus vulpecula,,,,,,,4.8
Tupaia belangeri,,,,,,,2.4
Tupaia glis,61.142151,,,,,,4.7
Tursiops truncatus,,,,,,1.1,
Zalophus californianus,32.696257,,,,,8.8,4.3
