"check_value_id","Species","Measure","check_value","merged_value","status","check_qc_status","check_value_origin"
"SensoryData_r002_visual_acuity_max","Acinonyx jubatus","Visual_acuity.cdeg","23.02","23.02","agree","quarantined_va_offset","published"
"SensoryData_r003_audible_freq_high_60dBSPL","Acomys cahirinus","Audible_freq_high_60dB.kHz","70.5","70.6795","agree","ok","published"
"SensoryData_r003_sound_localization_threshold","Acomys cahirinus","Sound_localization_threshold.deg","18.9","19.0","agree","ok","published"
"SensoryData_r003_binocular_field","Acomys cahirinus","Binocular_field.deg","75","75.0","agree","ok","published"
"SensoryData_r004_visual_acuity_max","Alouatta caraya","Visual_acuity.cdeg","2.8","59.61","differs","quarantined_va_offset","published"
"SensoryData_r008_visual_acuity_max","Aotus azarae","Visual_acuity.cdeg","2","8.3","differs","quarantined_va_offset","published"
"SensoryData_r009_visual_acuity_max","Aotus trivirgatus","Visual_acuity.cdeg","8.3","10.0","differs","quarantined_va_offset","published"
"SensoryData_r009_audible_freq_high_60dBSPL","Aotus trivirgatus","Audible_freq_high_60dB.kHz","49.5","50.5076","agree","ok","published"
"SensoryData_r010_visual_acuity_max","Artibeus cinereus","Visual_acuity.cdeg","10","1.4","differs","quarantined_va_offset","published"
"SensoryData_r011_visual_acuity_max","Artibeus jamaicensis","Visual_acuity.cdeg","1.4","0.167","differs","quarantined_va_offset","published"
"SensoryData_r013_visual_acuity_max","Bos taurus","Visual_acuity.cdeg","4.2","11.355","differs","quarantined_va_offset","published"
"SensoryData_r013_audible_freq_high_60dBSPL","Bos taurus","Audible_freq_high_60dB.kHz","37","35.154","differs","ok","published"
"SensoryData_r013_sound_localization_threshold","Bos taurus","Sound_localization_threshold.deg","30","30.0","agree","ok","published"
"SensoryData_r013_field_of_best_vision_width","Bos taurus","Field_of_best_vision.deg","132","132.0","agree","ok","published"
"SensoryData_r013_binocular_field","Bos taurus","Binocular_field.deg","20","20.0","agree","ok","published"
"SensoryData_r014_visual_acuity_max","Callithrix jacchus","Visual_acuity.cdeg","10.31","30.0","differs","quarantined_va_offset","published"
"SensoryData_r016_visual_acuity_max","Camelus bactrianus","Visual_acuity.cdeg","7.1","10.0","differs","quarantined_va_offset","published"
"SensoryData_r017_visual_acuity_max","Camelus dromedarius","Visual_acuity.cdeg","10","10.4","agree","quarantined_va_offset","published"
"SensoryData_r018_visual_acuity_max","Canis lupus familiaris","Visual_acuity.cdeg","10.4","8.3","differs","quarantined_va_offset","published"
"SensoryData_r018_audible_freq_high_60dBSPL","Canis lupus familiaris","Audible_freq_high_60dB.kHz","44","43.9811","agree","ok","published"
"SensoryData_r018_sound_localization_threshold","Canis lupus familiaris","Sound_localization_threshold.deg","8","8.0","agree","ok","published"
"SensoryData_r018_field_of_best_vision_width","Canis lupus familiaris","Field_of_best_vision.deg","5.1","5.1","agree","ok","published"
"SensoryData_r018_binocular_field","Canis lupus familiaris","Binocular_field.deg","75","75.0","agree","ok","published"
"SensoryData_r019_visual_acuity_max","Canis lupus","Visual_acuity.cdeg","8.3","14.57","differs","quarantined_va_offset","published"
"SensoryData_r020_visual_acuity_max","Capra hircus","Visual_acuity.cdeg","14.57","10.465","differs","quarantined_va_offset","published"
"SensoryData_r020_audible_freq_high_60dBSPL","Capra hircus","Audible_freq_high_60dB.kHz","37","37.3017","agree","ok","published"
"SensoryData_r020_sound_localization_threshold","Capra hircus","Sound_localization_threshold.deg","18","18.0","agree","ok","published"
"SensoryData_r020_binocular_field","Capra hircus","Binocular_field.deg","23","23.0","agree","ok","published"
"SensoryData_r021_visual_acuity_max","Carollia perspicillata","Visual_acuity.cdeg","8.43","0.94","differs","quarantined_va_offset","published"
"SensoryData_r022_audible_freq_high_60dBSPL","Cavia porcellus","Audible_freq_high_60dB.kHz","49","49.1939","agree","ok","published"
"SensoryData_r023_visual_acuity_max","Cebus apella","Visual_acuity.cdeg","0.94","54.75","differs","quarantined_va_offset","published"
"SensoryData_r025_audible_freq_high_60dBSPL","Cercopithecus mitis","Audible_freq_high_60dB.kHz","48","47.9143","agree","ok","published"
"SensoryData_r026_audible_freq_high_60dBSPL","Cercopithecus neglectus","Audible_freq_high_60dB.kHz","43","42.2763","agree","ok","published"
"SensoryData_r027_visual_acuity_max","Cheirogaleus medius","Visual_acuity.cdeg","54.75","2.84","differs","quarantined_va_offset","published"
"SensoryData_r029_visual_acuity_max","Chlorocebus aethiops","Visual_acuity.cdeg","2.84","55.23","differs","quarantined_va_offset","published"
"SensoryData_r030_visual_acuity_max","Choloepus didactylus","Visual_acuity.cdeg","55.23","1.54","differs","quarantined_va_offset","published"
"SensoryData_r032_visual_acuity_max","Crocuta crocuta","Visual_acuity.cdeg","1.54","8.4","differs","quarantined_va_offset","published"
"SensoryData_r033_visual_acuity_max","Cuniculus paca","Visual_acuity.cdeg","8.4","2.8","differs","quarantined_va_offset","published"
"SensoryData_r034_audible_freq_high_60dBSPL","Cynomys leucurus","Audible_freq_high_60dB.kHz","26","26.1341","agree","ok","published"
"SensoryData_r035_audible_freq_high_60dBSPL","Cynomys ludovicianus","Audible_freq_high_60dB.kHz","26","26.1341","agree","ok","published"
"SensoryData_r037_visual_acuity_max","Dama dama","Visual_acuity.cdeg","18.48","18.48","agree","quarantined_va_offset","published"
"SensoryData_r038_visual_acuity_max","Dasyprocta leporina","Visual_acuity.cdeg","6.21","6.21","agree","quarantined_va_offset","published"
"SensoryData_r039_visual_acuity_max","Dasyurus hallucatus","Visual_acuity.cdeg","2.8","2.8","agree","quarantined_va_offset","published"
"SensoryData_r042_visual_acuity_max","Desmodus rotundus","Visual_acuity.cdeg","0.625","0.625","agree","quarantined_va_offset","published"
"SensoryData_r043_visual_acuity_max","Diceros bicornis","Visual_acuity.cdeg","6","6.0","agree","quarantined_va_offset","published"
"SensoryData_r044_visual_acuity_max","Didelphis marsupialis","Visual_acuity.cdeg","1.25","1.25","agree","quarantined_va_offset","published"
"SensoryData_r045_visual_acuity_max","Didelphis virginiana","Visual_acuity.cdeg","2.49","2.145","differs","quarantined_va_offset","published"
"SensoryData_r045_audible_freq_high_60dBSPL","Didelphis virginiana","Audible_freq_high_60dB.kHz","68","68.8411","agree","ok","published"
"SensoryData_r045_sound_localization_threshold","Didelphis virginiana","Sound_localization_threshold.deg","4.6","4.6","agree","ok","published"
"SensoryData_r045_field_of_best_vision_width","Didelphis virginiana","Field_of_best_vision.deg","15.8","15.8","agree","ok","published"
"SensoryData_r045_binocular_field","Didelphis virginiana","Binocular_field.deg","77","77.0","agree","ok","published"
"SensoryData_r046_audible_freq_high_60dBSPL","Dipodomys merriami","Audible_freq_high_60dB.kHz","52","51.8565","agree","ok","published"
"SensoryData_r046_sound_localization_threshold","Dipodomys merriami","Sound_localization_threshold.deg","27","27.0","agree","ok","published"
"SensoryData_r046_binocular_field","Dipodomys merriami","Binocular_field.deg","20","20.0","agree","ok","published"
"SensoryData_r048_audible_freq_high_60dBSPL","Elephas maximus","Audible_freq_high_60dB.kHz","10.5","10.4582","agree","ok","published"
"SensoryData_r048_sound_localization_threshold","Elephas maximus","Sound_localization_threshold.deg","1.2","1.2","agree","ok","published"
"SensoryData_r048_binocular_field","Elephas maximus","Binocular_field.deg","80","80.0","agree","ok","published"
"SensoryData_r049_visual_acuity_max","Ellobius lutescens","Visual_acuity.cdeg","0.4","0.4","agree","quarantined_va_offset","published"
"SensoryData_r050_visual_acuity_max","Ellobius talpinus","Visual_acuity.cdeg","0.9","0.9","agree","quarantined_va_offset","published"
"SensoryData_r051_visual_acuity_max","Enhydra lutris","Visual_acuity.cdeg","4.2","4.2","agree","quarantined_va_offset","published"
