Original_Term,Reference,Standardized_Term
audible_freq_high_60dBSPL,Heffner_etal_2020_Figure3,Audible_freq_high_60dB.kHz
audible_freq_low_60dBSPL,Heffner_etal_2020_Figure3,Audible_freq_low_60dB.kHz
sound_localization_threshold,Heffner_etal_2020_Figure3,Sound_localization_threshold.deg
hearing_range,Heffner_etal_2020_Figure3,NOT_MERGED_derived_recomputed_from_limits
high_freq_hearing_limit_60dB_kHz,Heffner_etal_2020_Figure3,NOT_MERGED_figure3_points_unattributed_in_paper
functional_interaural_distance_us,Heffner_etal_2020_Figure3,NOT_MERGED_figure3_points_unattributed_in_paper
binomial,Heffner_Heffner_1992_a_Table1,Species
sound_localization_threshold_deg,Heffner_Heffner_1992_a_Table1,Sound_localization_threshold.deg
visual_acuity_cdeg,Heffner_Heffner_1992_a_Table1,Visual_acuity.cdeg
field_of_best_vision_deg,Heffner_Heffner_1992_a_Table1,Field_of_best_vision.deg
binocular_field_deg,Heffner_Heffner_1992_a_Table1,Binocular_field.deg
delta_t_us,Heffner_Heffner_1992_a_Table1,NOT_MERGED_functional_interaural_distance.us
trophic_level,Heffner_Heffner_1992_a_Table1,NOT_MERGED_ecology_belongs_in_body_ecology
corrected_binomial,Koay_etal_1998_Figure6,Species
high_freq_hearing_limit_60dB_kHz,Koay_etal_1998_Figure6,Audible_freq_high_60dB.kHz
functional_interaural_distance_us,Koay_etal_1998_Figure6,NOT_MERGED_functional_interaural_distance.us
Species_VK2014,Veilleux_Kirk_2014_SupplementalTable1,Species
visual_acuity_cdeg,Veilleux_Kirk_2014_SupplementalTable1,Visual_acuity.cdeg
eye_axial_diameter_mm,Veilleux_Kirk_2014_SupplementalTable1,NOT_MERGED_eye_morphology_not_a_percept
Body_mass.g,Veilleux_Kirk_2014_SupplementalTable1,NOT_MERGED_body_mass_belongs_in_body_ecology
max_running_speed_kph,Veilleux_Kirk_2014_SupplementalTable1,NOT_MERGED_ecology_belongs_in_body_ecology
activity_pattern,Veilleux_Kirk_2014_SupplementalTable1,NOT_MERGED_ecology_belongs_in_body_ecology
diet,Veilleux_Kirk_2014_SupplementalTable1,NOT_MERGED_ecology_belongs_in_body_ecology
