"species","species_as_published","specimen_as_published","specimen","hemisphere","ven_n_FI","ven_ce_gundersen","ven_ce_schmitzhof","neuron_n_FI","neuron_ce_gundersen","neuron_ce_schmitzhof","ven_pct_FI","n_individuals","source"
"Loxodonta africana","African elephant","Elephant 1 right hemisphere","Elephant 1","R",10200,0.05,0.05,1300000,0.05,0.04,0.78,1,"Hakeem_etal_2009"
"Loxodonta africana","African elephant","Elephant 1 left hemisphere","Elephant 1","L",9110,0.08,0.08,348000,0.06,0.09,2.6,1,"Hakeem_etal_2009"
