table,source_group,role,specimen_code,individual_id,species_as_published,interpreted_taxon,sex,age_years,body_mass_kg,brain_mass_g,collection,section_plane,structure,measure,unit,value,percent_value,n,mean,sd,se,minimum,maximum,median,note,source
Table2,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,MGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,13,532.1,108.9,30.2,354.2,777.8,503.5,NA,Armstrong__1979
Table2,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,MGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,14,479,142.5,38.1,222.2,676.2,518,NA,Armstrong__1979
Table2,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,MGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,16,345.1,89,22.1,193.3,608.3,330.8,NA,Armstrong__1979
Table2,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,MGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,24,243.9,82.9,16.9,64.7,418.7,245.1,NA,Armstrong__1979
Table2,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,MGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,14,325.9,91.3,24.4,224.4,495.6,287,NA,Armstrong__1979
Table2,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,MGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,30,147.7,42.6,7.8,80,305,142,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,20,784.7,172.5,38.6,458.3,1083.3,781.3,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,30,755.5,174.2,31.8,291.7,1000,809,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,28,385.3,82.6,15.6,217.6,629.4,370.6,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,21,397.7,73.6,16.1,264,540,405.5,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBp,neuronal_density,neurons_per_0.01_mm3,NA,NA,31,303.9,62.3,11.1,175,415,313.8,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGBm,neuronal_density,neurons_per_0.01_mm3,NA,NA,7,368,119,45,243.1,579.2,366.3,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGBm,neuronal_density,neurons_per_0.01_mm3,NA,NA,19,382.7,119.9,27.5,250,652.8,343.8,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGBm,neuronal_density,neurons_per_0.01_mm3,NA,NA,10,288.8,121.5,38.4,170.6,506.9,253.4,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGBm,neuronal_density,neurons_per_0.01_mm3,NA,NA,11,350.2,80.7,24.3,236,516,346,NA,Armstrong__1979
Table3,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBm,neuronal_density,neurons_per_0.01_mm3,NA,NA,14,181.8,51.4,13.7,120,295,170,NA,Armstrong__1979
Table4,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,VB,neuronal_density,neurons_per_0.01_mm3,NA,NA,43,142.5,57,8.7,55.6,263.9,138.9,NA,Armstrong__1979
Table4,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,VB,neuronal_density,neurons_per_0.01_mm3,NA,NA,30,122.1,34.8,6.4,69.4,222.2,116.3,NA,Armstrong__1979
Table4,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,VB,neuronal_density,neurons_per_0.01_mm3,NA,NA,40,123.4,32.9,5.2,61.7,213.3,124.6,NA,Armstrong__1979
Table4,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,VB,neuronal_density,neurons_per_0.01_mm3,NA,NA,61,60,26,3.3,24.4,129.4,53.8,NA,Armstrong__1979
Table4,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,VB,neuronal_density,neurons_per_0.01_mm3,NA,NA,33,84.7,29.1,5.1,36,144,76.3,NA,Armstrong__1979
Table4,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,VB,neuronal_density,neurons_per_0.01_mm3,NA,NA,48,58.8,22,3.4,25,115,57.7,NA,Armstrong__1979
Table6,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGB,estimated_neuron_number,neurons,1131000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,MGBp,estimated_neuron_number,neurons,378000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,VB,estimated_neuron_number,neurons,587100,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGB,estimated_neuron_number,neurons,1333000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,MGBp,estimated_neuron_number,neurons,413000,NA,NA,NA,NA,NA,NA,NA,NA,"Printed value retained; Table 1 volume x Table 2 density implies 397,570.",Armstrong__1979
Table6,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,VB,estimated_neuron_number,neurons,458000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,LGB,estimated_neuron_number,neurons,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not reported.,Armstrong__1979
Table6,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,MGBp,estimated_neuron_number,neurons,407000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,VB,estimated_neuron_number,neurons,770000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGB,estimated_neuron_number,neurons,1884000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,MGBp,estimated_neuron_number,neurons,707000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,VB,estimated_neuron_number,neurons,1070000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGB,estimated_neuron_number,neurons,2172000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,MGBp,estimated_neuron_number,neurons,913000,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,VB,estimated_neuron_number,neurons,1226300,NA,NA,NA,NA,NA,NA,NA,NA,Derived from volume and neuronal density.,Armstrong__1979
Table6,Armstrong_1979,primary,Homo s.,Homo_combined,Homo sapiens,Homo sapiens,mixed,derived,NA,NA,Yakovlev Collection + cell-count specimen,derived,LGB,estimated_neuron_number,neurons,2065000,NA,NA,NA,NA,NA,NA,NA,NA,Combines mean nuclear volume from Homo s.-s and Homo s.-t with density from Homo s.-c.,Armstrong__1979
Table6,Armstrong_1979,primary,Homo s.,Homo_combined,Homo sapiens,Homo sapiens,mixed,derived,NA,NA,Yakovlev Collection + cell-count specimen,derived,MGBp,estimated_neuron_number,neurons,870000,NA,NA,NA,NA,NA,NA,NA,NA,Combines mean nuclear volume from Homo s.-s and Homo s.-t with density from Homo s.-c.,Armstrong__1979
Table6,Armstrong_1979,primary,Homo s.,Homo_combined,Homo sapiens,Homo sapiens,mixed,derived,NA,NA,Yakovlev Collection + cell-count specimen,derived,VB,estimated_neuron_number,neurons,1690000,NA,NA,NA,NA,NA,NA,NA,NA,Combines mean nuclear volume from Homo s.-s and Homo s.-t with density from Homo s.-c.,Armstrong__1979
