table,source_group,role,specimen_code,individual_id,species_as_published,interpreted_taxon,sex,age_years,body_mass_kg,brain_mass_g,collection,section_plane,structure,measure,unit,value,percent_value,n,mean,sd,se,minimum,maximum,median,note,source
Table1,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGB,volume,mm3,17.8,4.8,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,MGBp,volume,mm3,7.1,1.9,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,VB,volume,mm3,41.2,11.2,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGB,volume,mm3,21,5.6,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,MGBp,volume,mm3,8.3,2.2,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,VB,volume,mm3,37.5,10.2,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,LGB,volume,mm3,27.1,4.7,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,MGBp,volume,mm3,11.8,2.1,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,VB,volume,mm3,62.4,10.8,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
Table1,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGB,volume,mm3,51,3.2,NA,NA,NA,NA,NA,NA,NA,Percent of total thalamus.,Armstrong__1979
