table,source_group,role,specimen_code,individual_id,species_as_published,interpreted_taxon,sex,age_years,body_mass_kg,brain_mass_g,collection,section_plane,structure,measure,unit,value,percent_value,n,mean,sd,se,minimum,maximum,median,note,source
Table7,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,MGBp,perikaryal_volume,um3,NA,NA,65,1203.6,757,93.9,179.1,4747.3,1050.4,NA,Armstrong__1979
Table7,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,MGBp,perikaryal_volume,um3,NA,NA,70,1217,570.1,68.1,333.1,3095.7,1095,NA,Armstrong__1979
Table7,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,transverse,MGBp,perikaryal_volume,um3,NA,NA,18,2022.5,1390.2,327.7,49.7,3807.3,1983,NA,Armstrong__1979
Table7,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,MGBp,perikaryal_volume,um3,NA,NA,124,2145.3,1760,158.1,150.1,12679.2,1749.3,NA,Armstrong__1979
Table7,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,MGBp,perikaryal_volume,um3,NA,NA,47,2063.2,1117.4,163,207.4,5752.3,1880.5,NA,Armstrong__1979
Table7,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,MGBp,perikaryal_volume,um3,NA,NA,150,2770.7,2087.2,170.4,97.5,10990.1,2569.3,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,sagittal,LGBp,perikaryal_volume,um3,NA,NA,102,1296.3,698.8,69.2,97.5,4747.3,1168.7,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College,horizontal,LGBp,perikaryal_volume,um3,NA,NA,150,1405.9,625.4,51.1,238.4,3503.4,1368.9,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,LGBp,perikaryal_volume,um3,NA,NA,140,1792.2,845.3,71.4,275.8,7654.2,1682.2,NA,Armstrong__1979
Table8,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain collection,coronal,LGBp,perikaryal_volume,um3,NA,NA,19,1649,620.6,142.4,650.7,2776.9,1603.5,NA,Armstrong__1979
