structure_as_published,measure,unit_as_published,sex,n,value_mean,value_se,cv_pct,cv_se_pct
Brain,mass,g,male,162,76.918,0.58,14.24,0.54
Olfactory bulbs,mass,g,male,162,1.542,0.017,21.41,0.84
Hemispheres and dien.,mass,g,male,162,61.975,0.48,14.61,0.56
Prosencephalon,mass,g,male,162,63.517,0.492,14.62,0.56
Mesencephalon,mass,g,male,162,2.045,0.018,16.31,0.63
Cerebellum,mass,g,male,162,7.369,0.061,15.59,0.6
Medulla,mass,g,male,162,3.986,0.036,16.94,0.65
Rhombencephalon,mass,g,male,162,11.355,0.091,15.12,0.58
Cord weight,mass,g,male,162,14.437,0.181,23.63,0.94
Cord length,length,cm,male,162,51.09,0.37,13.41,0.52
Body weight,mass,kg,male,162,11.0,0.26,44.75,1.98
Body length,length,cm,male,162,81.9,0.58,13.4,0.51
Brain,mass,g,female,159,73.0,0.57,14.6,0.56
Olfactory bulbs,mass,g,female,159,1.473,0.018,23.31,0.93
Hemispheres and dien.,mass,g,female,159,58.967,0.477,15.13,0.59
Prosencephalon,mass,g,female,159,60.438,0.491,15.18,0.59
Mesencephalon,mass,g,female,159,1.915,0.014,13.52,0.52
Cerebellum,mass,g,female,159,6.954,0.053,14.2,0.55
Medulla,mass,g,female,159,3.691,0.035,17.65,0.69
Rhombencephalon,mass,g,female,159,10.645,0.083,14.51,0.56
Cord weight,mass,g,female,159,12.955,0.18,25.95,1.05
Cord length,length,cm,female,159,48.02,0.4,15.33,0.61
Body weight,mass,kg,female,159,8.93,0.22,46.13,2.08
Body length,length,cm,female,159,76.8,0.61,14.77,0.57
