species_as_published,sex,n,spinal_cord_weight_mean_g,spinal_cord_weight_se_g,spinal_cord_weight_cv_pct,spinal_cord_length_mean_cm,spinal_cord_length_se_cm,spinal_cord_length_cv_pct,body_weight_mean_kg,body_length_mean_cm,source_location,data_role
dog,male,162,14.437,0.181,23.63,51.00,0.37,13.41,11.00,81.9,"Table I panel A, p. 43",primary
dog,female,159,12.955,0.180,25.95,48.02,0.40,15.33,8.93,76.8,"Table I panel A, p. 43",primary
