Species,n,Layer II,Layer II SEM,Layer III,Layer III SEM,Layer V,Layer V SEM,Layer VI,Layer VI SEM,Cortical mean,Cortical mean SEM,source
Macaca fascicularis,3,14.06,0.78000000000000003,16.079999999999998,0.76000000000000001,16.129999999999999,0.63,14.26,0.46999999999999997,15.58,0.68999999999999995,Sherwood_etal_2004_I
Papio anubis,1,14.109999999999999,NA,14.279999999999999,NA,15.76,NA,14.34,NA,14.85,NA,Sherwood_etal_2004_I
Pongo pygmaeus,2,10.34,1.76,11.09,1.52,10.960000000000001,1.8899999999999999,9.5600000000000005,1.51,10.609999999999999,1.5800000000000001,Sherwood_etal_2004_I
Gorilla gorilla,2,9.8000000000000007,0.60999999999999999,9.3499999999999996,0.46000000000000002,8.8699999999999992,0.60999999999999999,7.7199999999999998,0.62,8.7599999999999998,0.63,Sherwood_etal_2004_I
Pan troglodytes,2,13.44,1.1699999999999999,13.69,1.21,13.58,1.1399999999999999,11.92,1.0900000000000001,13.19,1.1499999999999999,Sherwood_etal_2004_I
Homo sapiens,2,10.289999999999999,1.0900000000000001,11.83,0.85999999999999999,12.210000000000001,1.21,11.130000000000001,1.03,11.65,1.02,Sherwood_etal_2004_I
