Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species_Ebinger1974,taxon wording used by Ebinger 1974,,,,info,Ovis,Ebinger__1974_Tables3-4,preserved as printed; taxonomy applied later,
individual,individual code,,,,info,Ovis,Ebinger__1974_Tables3-4,M1-M4 wild; Sk1-Sk3 Blackhead; H1-H3 Moorland,
source_table,printed table containing the individual,,,,info,Ovis,Ebinger__1974_Tables3-4,Table 3 wild or Table 4 domestic,
status_printed,wild/domestic status printed by the source,,,,info,Ovis,Ebinger__1974_Tables3-4,,
breed_printed,wild form or domestic breed label,,,,info,Ovis,Ebinger__1974_Tables3-4,,
brain_mass_mg,fresh brain mass converted from printed g to mg,Brain_weight,Mass.mg,point,primary,Ovis,Ebinger__1974_Tables3-4,x1000,
total_brain_volume_mm3,total fresh brain volume,Total_brain_volume,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
remaining_parts_mm3,remaining-parts volume,Remaining_brain_parts,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
ventricle_mm3,ventricular volume,Ventricle,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
pure_brain_volume_mm3,pure brain volume after remaining parts and ventricle,Total_brain_net_volume,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
medulla_oblongata_mm3,medulla oblongata volume,Medulla_oblongata,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
cerebellum_mm3,cerebellum volume,Cerebellum,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
mesencephalon_mm3,mesencephalon volume,Mesencephalon,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
diencephalon_mm3,diencephalon volume,Diencephalon,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
telencephalon_mm3,telencephalon volume,Telencephalon,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
neocortex_mm3,neocortex volume,Neocortex,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
corpus_striatum_mm3,corpus striatum volume,Striatum,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
allocortex_mm3,allocortex volume,Allocortex,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
olfactory_allocortex_mm3,olfactory allocortex volume,Olfactory_allocortex,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
olfactory_bulbs_mm3,bulbus olfactorius plus accessory bulb volume,Olfactory_bulbs,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
regio_retrobulbaris_mm3,regio retrobulbaris volume,Regio_retrobulbaris,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
regio_praepiriformis_mm3,regio praepiriformis volume,Regio_praepiriformis,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
regio_periamygdalaris_amygdala_mm3,regio periamygdalaris plus nucleus amygdalae volume,Amygdala,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
tuberculum_olfactorium_mm3,tuberculum olfactorium volume,Tuberculum_olfactorium,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
basal_nuclei_commissura_anterior_mm3,basal nuclei plus part of anterior commissure,Basal_nuclei,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
limbic_structures_mm3,limbic structures volume,Limbic_structures,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
septum_mm3,septum volume,Septum,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
septal_nuclei_mm3,septal nuclei volume,Septal_nuclei,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
diagonal_band_mm3,diagonal band volume,Diagonal_band_of_Broca,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
hippocampus_mm3,hippocampus volume,Hippocampus,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
schizocortex_mm3,schizocortex volume,Schizocortex,Vol.mm3,point,primary,Ovis,Ebinger__1974_Tables3-4,,
Method:volume,serial-section volumes corrected to fresh-brain volumes using total fresh volume,,,,method,Ovis,Ebinger__1974_Tables3-4,printed volumes already mm3,brain specific gravity 1.036 g/cm3
