"source","doi","source_table","taxon_level","species_printed","Species","specimen_id","observation_level","n_specimens","age_class","age_detail","sex","hemisphere","region_printed","region","m1_compatible","layer_printed","layer","layer_status","measure","statistic","value","unit","uncertainty_type","uncertainty_value","n_sampling_locations","sampling_detail","value_basis","source_location","curation_note"
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Thickness of the cortex","total cortex","not applicable","absolute thickness","point",1729,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","absolute thickness","point",289,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer II","II","present","absolute thickness","point",136,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer III","III","present","absolute thickness","point",508,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer V","V","present","absolute thickness","point",347,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer VI","VI","present","absolute thickness","point",449,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed value","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer 4","IV","absent","absolute thickness","point",,"um",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","text-supported absence; Table 2 omits layer 4","Results and Table 2, PDF pages 5-6","Four observers identified five layers; layer IV is virtually absent in the sampled M1 region."
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer I","I","present","proportional thickness","point",0.174,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer II","II","present","proportional thickness","point",0.081,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",
"Peruffo_etal_2019_Table2","10.1007/s00429-019-01885-x","Table 2","species","sheep","Ovis aries","Peruffo2019_sheep_1","individual",1,"adult",,,,"motor cortex controlling distal forelimb movements","primary motor cortex",TRUE,"Layer III","III","present","proportional thickness","point",0.288,"proportion",,,,"Ten stained sections were scanned per subject; Fig. 3 states that three measures from two sections per sheep entered the layer analysis.","printed percent divided by 100","Table 2, PDF page 6 (journal page 1938)",
