Species,Individual,Age_years,Sex,Rearing_history,frontal_cortex_cm3,dorsal_cortex_cm3,mesial_cortex_cm3,orbital_cortex_cm3,dorsal_GWM_cm3,mesial_GWM_cm3,orbital_GWM_cm3,frontal_core_cm3,temporal_cortex_cm3,temporal_GWM_cm3,temporal_core_cm3
Homo sapiens,human1,48,F,N/A,254.1,144.6,68.2,41.3,48.5,21.1,8.9,107.9,147.1,33.3,29.4
Homo sapiens,human2,22,F,N/A,304.3,179.9,83,41.3,54,23.5,8.9,75.7,172.2,33.4,23.4
Homo sapiens,human3,36,F,N/A,250,149.1,67.3,33.6,50.3,18.1,6.9,69,163,33.6,19.4
Homo sapiens,human4,39,F,N/A,235.8,137.7,66.9,31.2,59.6,21.7,6.8,76.5,145.8,38,27.7
Homo sapiens,human5,31,M,N/A,306.4,174.8,86,45.6,66.3,26.6,10.3,91,186.9,41.8,24
Homo sapiens,human6,40,M,N/A,293.1,166.7,81.7,44.7,51.9,22.2,8.8,85.2,171.4,38.3,22.8
Homo sapiens,human7,23,M,N/A,325.3,191.5,90.5,43.4,71.6,31,11.4,111.4,190,45.6,25.5
Homo sapiens,human8,24,M,N/A,290,185.4,74.6,30,62.8,23.7,7,78,173.9,39,22
Homo sapiens,human9,27,M,N/A,265.5,161.1,68.9,35.5,51.5,18,8.2,80.1,134.6,24.6,17.3
Homo sapiens,human10,34,F,N/A,260.3,151.3,67.4,41.6,60.1,18.9,8.4,96.2,147.8,32.1,26.4
Pan troglodytes,jcarter,19,M,HR,49.9,30.3,12.7,6.9,8.1,2.8,0.9,12.4,28.4,4.2,2.5
Pan troglodytes,laz,20,M,HR,54.9,29.6,15.7,9.6,12.8,3.8,1.3,16.9,41.5,5.6,3.9
Pan troglodytes,lulu,39,F,MR,57.9,32.6,15.8,9.5,13.4,4.2,2.2,22,32.9,7,7.1
Pan troglodytes,mary,36,F,HR,66.9,40.5,17.7,8.7,12,3.6,1.6,17.1,38.9,6.9,6
Pan troglodytes,merv,20,M,HR,84.4,48.4,22.5,13.5,16,5.7,1.8,25.5,50.8,7.7,5.7
Pan paniscus,bo,25,M,MR,63.2,35.1,19.1,9,13.7,5.8,1.8,21.1,36.2,5.4,3.2
Pan paniscus,brian,8,M,MR,70.3,38.7,18.2,13.4,11.1,3.7,1.8,18.1,43.5,5.7,3.8
Pan paniscus,jill,11,F,MR,60.6,33.3,17.9,9.3,10.9,4.9,1.6,15.8,37.6,5,3.8
Gorilla gorilla,kekla,8,M,MR,93.9,52.9,26.3,14.7,14.6,6,2.3,27.4,47.9,5.7,3.4
Gorilla gorilla,kinyani,13,F,HR,74.2,43.1,19.7,11.4,10.8,4,1.7,16.7,33.7,5.1,3.4
Pongo pygmaeus,hati,18,F,HR,75.7,46,22.7,7.1,13.3,5.4,0.8,19.7,40.2,6.8,5.2
Pongo pygmaeus,mentubar,8,M,HR,104.3,65.2,28.3,10.8,13.5,5,1.2,18.8,60,7.6,4.4
Pongo pygmaeus,minyak,15,M,HR,92.8,53.7,30.1,9,16,6.6,1.4,25.2,51.5,6.3,5.1
Pongo pygmaeus,molek,18,M,MR,111.6,66.5,33.1,12,18.6,7.8,1.9,29.4,58.2,9.6,6.9
Hylobates lar,736_il,26,F,N/A,13.3,7.2,3.7,2.4,2.2,0.6,0.3,2.2,11.4,1.1,0.5
Hylobates lar,buddy,23,M,N/A,13.4,7.7,3.6,2.1,2.5,0.6,0.2,2.6,10.8,1.6,1.2
Hylobates lar,gibbon4,5,M,N/A,15,8.3,4.2,2.4,1.6,0.7,0.2,2.4,10.8,1,0.6
