Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species (harmonised binomial; resolved through the species key with token Kazu2014),,,,info,Artiodactyla,Kazu_etal_2014_Table1,,
Species_Kazu2014,species name exactly as printed in the table header,,,,info,Artiodactyla,Kazu_etal_2014_Table1,"printed ""Tragelaphus stripceros"" is a misspelling of Tragelaphus strepsiceros (spelled correctly in the paper's Methods); printed ""Damaliscus dorcas phillipsi"" is now Damaliscus pygargus phillipsi",
n,number of specimens,,,,info,Artiodactyla,Kazu_etal_2014_Table1,"Methods/Animals: one specimen per species; one hemisphere counted and multiplied by 2",
Body_Mass.g,body mass,Body,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,"printed M_BD in kg; converted to g (x1000) for project units. Pig printed as ~100 kg (approximate) - see body_mass_approximate",isotropic fractionator (HH lab)
WholeBrain_Mass.g,whole-brain mass excluding the olfactory bulb,WholeBrain,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_BR; equals M_CXT + M_CB + M_RoB in all five species,
CerebralCortex_Mass.g,cerebral cortex mass (grey matter + white matter + hippocampus),CerebralCortex,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,"printed M_CXT; same scope as HH 2015 'Cerebral Cortex'",
Hippocampus_Mass.g,hippocampus mass,Hippocampus,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_HP; a subset of CerebralCortex - never add to it,
Cerebellum_Mass.g,cerebellum mass,Cerebellum,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_CB,
RoB_Mass.g,rest-of-brain mass,RoB,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_RoB = diencephalon+basal ganglia + mesencephalon + pons+medulla,
DiencephalonStriatum_Mass.g,diencephalon + basal ganglia mass,DiencephalonStriatum,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_D+BG; a component of RoB - never add to it,
Mesencephalon_Mass.g,mesencephalon mass,Mesencephalon,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_MES; a component of RoB,
PonsMedulla_Mass.g,pons + medulla mass,PonsMedulla,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_P+M; a component of RoB,
OlfactoryBulb_Mass.g,olfactory bulb mass,OlfactoryBulb,Mass.g,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed M_OB; excluded from WholeBrain,
WholeBrain_N.n,whole-brain neuron number (olfactory bulb excluded),WholeBrain,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,"printed N_BR; INTERNALLY INCONSISTENT in the 2014 printing for 4/5 species (see consistency_flags and the README)",isotropic fractionator
CerebralCortex_N.n,cerebral cortex neuron number (grey + white + hippocampus),CerebralCortex,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_CXT,
CerebralCortexGrey_N.n,cortical grey-matter neuron number,CerebralCortexGrey,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_GM; a subset of CerebralCortex_N.n - never add to it,
Hippocampus_N.n,hippocampus neuron number,Hippocampus,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_HP,
Cerebellum_N.n,cerebellum neuron number,Cerebellum,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_CB,
RoB_N.n,rest-of-brain neuron number,RoB,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_RoB,
DiencephalonStriatum_N.n,diencephalon + basal ganglia neuron number,DiencephalonStriatum,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_D+BG,
Mesencephalon_N.n,mesencephalon neuron number,Mesencephalon,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_MES,
PonsMedulla_N.n,pons + medulla neuron number,PonsMedulla,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed N_P+M,
OlfactoryBulb_N.n,olfactory bulb neuron number,OlfactoryBulb,N.n,,primary,Artiodactyla,Kazu_etal_2014_Table1,"printed N_OB; the Damaliscus value (58.71 x 10^6) duplicates the Sus N_RoB value and has no printed M_OB or DN_OB - treat as suspect",
CerebralCortex_N.p.mg,cerebral cortex neuronal density,CerebralCortex,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,"printed DN_CXT in neurons/mg; the Sus value (8,118) disagrees with N_CXT/M_CXT (8,188) by 0.9%",
CerebralCortexGrey_N.p.mg,cortical grey-matter neuronal density,CerebralCortexGrey,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_GM in neurons/mg; grey-matter mass is not tabulated so this cannot be re-derived,
Hippocampus_N.p.mg,hippocampus neuronal density,Hippocampus,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_HP in neurons/mg,
Cerebellum_N.p.mg,cerebellum neuronal density,Cerebellum,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_CB in neurons/mg,
RoB_N.p.mg,rest-of-brain neuronal density,RoB,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_RoB in neurons/mg,
DiencephalonStriatum_N.p.mg,diencephalon + basal ganglia neuronal density,DiencephalonStriatum,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_D+BG in neurons/mg,
Mesencephalon_N.p.mg,mesencephalon neuronal density,Mesencephalon,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_MES in neurons/mg,
PonsMedulla_N.p.mg,pons + medulla neuronal density,PonsMedulla,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_P+M in neurons/mg,
OlfactoryBulb_N.p.mg,olfactory bulb neuronal density,OlfactoryBulb,N.p.mg,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed DN_OB in neurons/mg,
WholeBrain_O.p.N,whole-brain other-cell / neuron ratio,WholeBrain,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_BR; the paper's approximation of the glia/neuron ratio,
CerebralCortex_O.p.N,cerebral cortex other-cell / neuron ratio,CerebralCortex,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_CXT,
CerebralCortexGrey_O.p.N,cortical grey-matter other-cell / neuron ratio,CerebralCortexGrey,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_GM,
Hippocampus_O.p.N,hippocampus other-cell / neuron ratio,Hippocampus,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_HP,
Cerebellum_O.p.N,cerebellum other-cell / neuron ratio,Cerebellum,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_CB,
RoB_O.p.N,rest-of-brain other-cell / neuron ratio,RoB,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_RoB,
DiencephalonStriatum_O.p.N,diencephalon + basal ganglia other-cell / neuron ratio,DiencephalonStriatum,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_D+BG,
Mesencephalon_O.p.N,mesencephalon other-cell / neuron ratio,Mesencephalon,O.p.N,,primary,Artiodactyla,Kazu_etal_2014_Table1,printed O/N_MES,
