footnote_number,species_in_table,former_name_stephan1981,applies_to_tables,printed_footnote_text
1,Lemur albifrons,Lemur fulvus,Tables 1-3,"Classification and species names are adapted to the list given by Corbet and Hill (1980). Different names used in former papers and in Stephan et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinus tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethechinus algirus; and 8) Crocidura occidentalis (for Table 4)."
2,Varecia variegata,Lemur variegatus,Tables 1-3,"Classification and species names are adapted to the list given by Corbet and Hill (1980). Different names used in former papers and in Stephan et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinus tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethechinus algirus; and 8) Crocidura occidentalis (for Table 4)."
3,Otolemur crassicaudatus,Galago crassicaudatus,Tables 1-3,"Classification and species names are adapted to the list given by Corbet and Hill (1980). Different names used in former papers and in Stephan et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinus tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethechinus algirus; and 8) Crocidura occidentalis (for Table 4)."
4,Galagoides demidoff,Galago demidovii,Tables 1-3,"Classification and species names are adapted to the list given by Corbet and Hill (1980). Different names used in former papers and in Stephan et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinus tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethechinus algirus; and 8) Crocidura occidentalis (for Table 4)."
5,Saguinus midas,Saguinus tamarin,Tables 1-3,"Classification and species names are adapted to the list given by Corbet and Hill (1980). Different names used in former papers and in Stephan et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinus tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethechinus algirus; and 8) Crocidura occidentalis (for Table 4)."
6,Miopithecus talapoin,Cercopithecus talapoin,Tables 1-3,"Classification and species names are adapted to the list given by Corbet and Hill (1980). Different names used in former papers and in Stephan et al. (1981) are: 1) Lemur fulvus; 2) Lemur variegatus; 3) Galago crassicaudatus; 4) Galago demidovii; 5) Saguinus tamarin; 6) Cercopithecus talapoin (for Tables 1-3) and 7) Aethechinus algirus; and 8) Crocidura occidentalis (for Table 4)."
