Species,measure_class,Measure,Team,role,Value
Callicebus olallae,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callicebus olallae,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callicebus olallae,research_effort,Zoological_record_article_count,Reader,primary,0
Callicebus personatus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callicebus personatus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callicebus personatus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callicebus personatus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callicebus personatus,research_effort,Journal_search_article_count,Reader,primary,6
Callicebus personatus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callicebus personatus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callicebus personatus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callicebus personatus,research_effort,Zoological_record_article_count,Reader,primary,19
Callicebus torquatus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callicebus torquatus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callicebus torquatus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callicebus torquatus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callicebus torquatus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callicebus torquatus,locomotion,Intermembral_index,Granatosky,primary,79
Callicebus torquatus,research_effort,Journal_search_article_count,Reader,primary,3
Callicebus torquatus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.29137383119401
Callicebus torquatus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callicebus torquatus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callicebus torquatus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callicebus torquatus,research_effort,Zoological_record_article_count,Reader,primary,4
Callimico goeldii,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callimico goeldii,manipulation,Extractive_foraging,Heldstab,primary,0
Callimico goeldii,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callimico goeldii,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,1
Callimico goeldii,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callimico goeldii,behavioural_flexibility,Innovation_report_count,Reader,primary,1
Callimico goeldii,locomotion,Intermembral_index,Granatosky,primary,69
Callimico goeldii,research_effort,Journal_search_article_count,Reader,primary,19
Callimico goeldii,locomotion,Locomotor_diversity_index,Granatosky,primary,1.56568356541191
Callimico goeldii,manipulation,Manipulation_complexity,Heldstab,primary,1.43
Callimico goeldii,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callimico goeldii,manipulation,Tool_use,Heldstab,primary,0
Callimico goeldii,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callimico goeldii,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callimico goeldii,vocalization,VocalRepertoire,Schniter,primary,28
Callimico goeldii,research_effort,Zoological_record_article_count,Reader,primary,43
Callithrix argentata,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix argentata,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix argentata,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix argentata,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix argentata,research_effort,Journal_search_article_count,Reader,primary,3
Callithrix argentata,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix argentata,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix argentata,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix argentata,research_effort,Zoological_record_article_count,Reader,primary,16
Callithrix aurita,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix aurita,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix aurita,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix aurita,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix aurita,research_effort,Journal_search_article_count,Reader,primary,4
Callithrix aurita,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix aurita,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix aurita,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix flaviceps,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix flaviceps,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix flaviceps,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix flaviceps,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix flaviceps,research_effort,Journal_search_article_count,Reader,primary,1
Callithrix flaviceps,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix flaviceps,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix flaviceps,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix geoffroyi,manipulation,Extractive_foraging,Heldstab,primary,1
Callithrix geoffroyi,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix geoffroyi,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix geoffroyi,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix geoffroyi,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix geoffroyi,research_effort,Journal_search_article_count,Reader,primary,8
Callithrix geoffroyi,manipulation,Manipulation_complexity,Heldstab,primary,1.32
Callithrix geoffroyi,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix geoffroyi,manipulation,Tool_use,Heldstab,primary,0
Callithrix geoffroyi,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix geoffroyi,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix humeralifer,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix humeralifer,research_effort,Zoological_record_article_count,Reader,primary,4
Callithrix jacchus,manipulation,Extractive_foraging,Heldstab,primary,1
Callithrix jacchus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,1
Callithrix jacchus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,2
Callithrix jacchus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix jacchus,behavioural_flexibility,Innovation_report_count,Reader,primary,1
Callithrix jacchus,research_effort,Journal_search_article_count,Reader,primary,99
Callithrix jacchus,manipulation,Manipulation_complexity,Heldstab,primary,1.33
Callithrix jacchus,behavioural_flexibility,Social_learning_report_count,Reader,primary,2
Callithrix jacchus,manipulation,Tool_use,Baker,secondary,0
Callithrix jacchus,manipulation,Tool_use,Heldstab,primary,0
Callithrix jacchus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix jacchus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix jacchus,vocalization,VocalRepertoire,ManyPrimates,secondary,13
Callithrix jacchus,vocalization,VocalRepertoire,Schniter,primary,8
Callithrix jacchus,research_effort,Zoological_record_article_count,Reader,primary,161
Callithrix jacchus,hand_morphology,log10_ip2_mm,Baker,primary,0.741123175292047
Callithrix jacchus,hand_morphology,log10_ip3_mm,Baker,primary,0.798650645445269
Callithrix jacchus,hand_morphology,log10_ip4_mm,Baker,primary,0.799071066929591
Callithrix jacchus,hand_morphology,log10_mc1_mm,Baker,primary,0.900587052762018
Callithrix jacchus,hand_morphology,log10_mc2_mm,Baker,primary,1.02291085316815
Callithrix jacchus,hand_morphology,log10_mc3_mm,Baker,primary,1.06818586174616
Callithrix jacchus,hand_morphology,log10_mc4_mm,Baker,primary,1.06207709114227
Callithrix jacchus,hand_morphology,log10_mc5_mm,Baker,primary,0.965828909342021
Callithrix jacchus,hand_morphology,log10_pp1_mm,Baker,primary,0.814966061847481
Callithrix jacchus,hand_morphology,log10_pp2_mm,Baker,primary,0.913330709432246
Callithrix jacchus,hand_morphology,log10_pp3_mm,Baker,primary,0.979092900638326
Callithrix jacchus,hand_morphology,log10_pp4_mm,Baker,primary,0.936078856284892
Callithrix kuhli,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix kuhli,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix kuhli,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix kuhli,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix kuhli,research_effort,Journal_search_article_count,Reader,primary,21
Callithrix kuhli,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix kuhli,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix kuhli,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix mauesi,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix mauesi,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix mauesi,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix mauesi,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix mauesi,research_effort,Journal_search_article_count,Reader,primary,1
Callithrix mauesi,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix mauesi,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix mauesi,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix penicillata,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix penicillata,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix penicillata,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Callithrix penicillata,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Callithrix penicillata,research_effort,Journal_search_article_count,Reader,primary,1
Callithrix penicillata,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix penicillata,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix penicillata,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix pygmaea,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callithrix pygmaea,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Callithrix pygmaea,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Callithrix pygmaea,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,1
Callithrix pygmaea,behavioural_flexibility,Innovation_report_count,Reader,primary,1
Callithrix pygmaea,locomotion,Intermembral_index,Granatosky,primary,69
Callithrix pygmaea,research_effort,Journal_search_article_count,Reader,primary,5
Callithrix pygmaea,locomotion,Locomotor_diversity_index,Granatosky,primary,1.32325697190067
Callithrix pygmaea,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Callithrix pygmaea,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Callithrix pygmaea,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Callithrix pygmaea,vocalization,VocalRepertoire,Schniter,primary,16
Callithrix pygmaea,research_effort,Zoological_record_article_count,Reader,primary,36
Callorhinus ursinus,dexterity,Dexterity,Heffner,primary,1
Caluromys philander,gait,Duty_Factor,Wimberly,primary,67.03085345
Caluromys philander,gait,Foot_Posture,Wimberly,primary,plantigrade
Caluromys philander,gait,Gait,Wimberly,primary,DSDC
Caluromys philander,locomotion,Locomotor_diversity_index,Granatosky,primary,1.15402168831365
Caluromys philander,gait,Phase,Wimberly,primary,58
Camelus,dexterity,Dexterity,Heffner,primary,1
Camelus bactrianus,gait,Duty_Factor,Wimberly,primary,72
Camelus bactrianus,gait,Foot_Posture,Wimberly,primary,digitigrade
Camelus bactrianus,gait,Gait,Wimberly,primary,LSLC
Camelus bactrianus,gait,Phase,Wimberly,primary,21
Camelus dromedarius,gait,Duty_Factor,Wimberly,primary,75.01622322999999
Camelus dromedarius,gait,Foot_Posture,Wimberly,primary,digitigrade
Camelus dromedarius,gait,Gait,Wimberly,primary,LSLC
Camelus dromedarius,gait,Phase,Wimberly,primary,22.78823
Canis aureus,gait,Duty_Factor,Wimberly,primary,73.28703704
Canis aureus,gait,Foot_Posture,Wimberly,primary,digitigrade
Canis aureus,gait,Gait,Wimberly,primary,LSLC
Canis aureus,gait,Phase,Wimberly,primary,24.25926
Canis latrans,dexterity,Dexterity,Heffner,primary,2
Canis latrans,dexterity,Dexterity,Iwaniuk,secondary,2
Canis lupus,gait,Duty_Factor,Wimberly,primary,60.34
Canis lupus,gait,Foot_Posture,Wimberly,primary,digitigrade
Canis lupus,gait,Gait,Wimberly,primary,LSLC
Canis lupus,gait,Phase,Wimberly,primary,18.965
Capra aegagrus,gait,Duty_Factor,Wimberly,primary,72
Capra aegagrus,gait,Foot_Posture,Wimberly,primary,unguligrade
Capra aegagrus,gait,Gait,Wimberly,primary,LSLC
Capra aegagrus,gait,Phase,Wimberly,primary,23
Capra hircus,dexterity,Dexterity,Heffner,primary,1
Capra hircus,dexterity,Dexterity,Iwaniuk,secondary,1
Caracal caracal,gait,Duty_Factor,Wimberly,primary,65.76364335
Caracal caracal,gait,Foot_Posture,Wimberly,primary,digitigrade
Caracal caracal,gait,Gait,Wimberly,primary,LSLC
Caracal caracal,gait,Phase,Wimberly,primary,20.07495141
Carlito syrichta,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Carlito syrichta,locomotion,Intermembral_index,Granatosky,primary,58
Carlito syrichta,locomotion,Locomotor_diversity_index,Granatosky,primary,1.05168775175858
Carlito syrichta,manipulation,Tool_use,Baker,secondary,0
Carlito syrichta,hand_morphology,log10_ip2_mm,Baker,primary,0.849419413796899
Carlito syrichta,hand_morphology,log10_ip3_mm,Baker,primary,0.927883410330707
Carlito syrichta,hand_morphology,log10_ip4_mm,Baker,primary,0.893484346218486
Carlito syrichta,hand_morphology,log10_mc1_mm,Baker,primary,0.876217840591642
Carlito syrichta,hand_morphology,log10_mc2_mm,Baker,primary,0.997604787460454
Carlito syrichta,hand_morphology,log10_mc3_mm,Baker,primary,1.04139268515823
Carlito syrichta,hand_morphology,log10_mc4_mm,Baker,primary,0.961658348637715
Carlito syrichta,hand_morphology,log10_mc5_mm,Baker,primary,0.836324115706752
Carlito syrichta,hand_morphology,log10_pp1_mm,Baker,primary,0.845718017966659
Carlito syrichta,hand_morphology,log10_pp2_mm,Baker,primary,1.02796085978545
Carlito syrichta,hand_morphology,log10_pp3_mm,Baker,primary,1.07918124604762
Carlito syrichta,hand_morphology,log10_pp4_mm,Baker,primary,1.03120641982746
Carlito syrichta,hand_morphology,peak_workspace,Baker,primary,-1.58502665202918
Carlito syrichta,hand_morphology,real_size,Baker,primary,0.633468455579587
Carlito syrichta,hand_morphology,relative_size,Baker,primary,-1.04575749056068
Carpolestes simpsoni,manipulation,Tool_use,Baker,secondary,0
Carpolestes simpsoni,hand_morphology,log10_dp3_mm,Baker,primary,0.361727836017593
Carpolestes simpsoni,hand_morphology,log10_ip3_mm,Baker,primary,0.662757831681574
Carpolestes simpsoni,hand_morphology,log10_mc3_mm,Baker,primary,0.8561244442423001
Carpolestes simpsoni,hand_morphology,log10_pp3_mm,Baker,primary,0.82020145948564
Castor canadensis,dexterity,Dexterity,Heffner,primary,3
Castor canadensis,gait,Duty_Factor,Wimberly,primary,74.15624348999999
Castor canadensis,gait,Foot_Posture,Wimberly,primary,plantigrade
Castor canadensis,gait,Gait,Wimberly,primary,LSDC
Castor canadensis,gait,Phase,Wimberly,primary,36.6823
Cavia aperea,dexterity,Dexterity,Heffner,primary,2
Cebus albifrons,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Cebus albifrons,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,3
Cebus albifrons,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Cebus albifrons,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Cebus albifrons,research_effort,Journal_search_article_count,Reader,primary,5
Cebus albifrons,behavioural_flexibility,Social_learning_report_count,Reader,primary,1
Cebus albifrons,manipulation,Tool_Manufacture,Baker,primary,1
Cebus albifrons,manipulation,Tool_use,Baker,secondary,1
Cebus albifrons,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Cebus albifrons,behavioural_flexibility,Tool_use_report_count,Reader,primary,3
Cebus albifrons,manipulation,True_Tool_Use,Baker,primary,1
Cebus albifrons,research_effort,Zoological_record_article_count,Reader,primary,13
Cebus albifrons,hand_morphology,log10_dp1_mm,Baker,primary,1.01130125676674
Cebus albifrons,hand_morphology,log10_dp2_mm,Baker,primary,0.9832753825780221
Cebus albifrons,hand_morphology,log10_ip2_mm,Baker,primary,1.1074267799764
Cebus albifrons,hand_morphology,log10_ip3_mm,Baker,primary,1.1343126816325
Cebus albifrons,hand_morphology,log10_ip4_mm,Baker,primary,1.15706809537785
Cebus albifrons,hand_morphology,log10_mc1_mm,Baker,primary,1.24781497037766
Cebus albifrons,hand_morphology,log10_mc2_mm,Baker,primary,1.38367344764488
Cebus albifrons,hand_morphology,log10_mc3_mm,Baker,primary,1.41236847253225
Cebus albifrons,hand_morphology,log10_mc4_mm,Baker,primary,1.38860708016625
Cebus albifrons,hand_morphology,log10_mc5_mm,Baker,primary,1.32844029389074
Cebus albifrons,hand_morphology,log10_pp1_mm,Baker,primary,1.16181815341197
Cebus albifrons,hand_morphology,log10_pp2_mm,Baker,primary,1.28505015505419
Cebus albifrons,hand_morphology,log10_pp3_mm,Baker,primary,1.30656840491628
Cebus albifrons,hand_morphology,log10_pp4_mm,Baker,primary,1.30937047351314
Cebus albifrons,hand_morphology,peak_workspace,Baker,primary,-1.53760200210104
Cebus albifrons,hand_morphology,real_size,Baker,primary,0.939519252618618
Cebus albifrons,hand_morphology,relative_size,Baker,primary,-1.09691001300806
Cebus capucinus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cebus capucinus,gait,Duty_Factor,Wimberly,primary,59.37513743
Cebus capucinus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,1
Cebus capucinus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,3
Cebus capucinus,gait,Foot_Posture,Wimberly,primary,plantigrade
Cebus capucinus,gait,Gait,Wimberly,primary,DSDC
Cebus capucinus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,2
Cebus capucinus,behavioural_flexibility,Innovation_report_count,Reader,primary,4
Cebus capucinus,locomotion,Intermembral_index,Granatosky,primary,81
Cebus capucinus,research_effort,Journal_search_article_count,Reader,primary,37
Cebus capucinus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.17177927393802
Cebus capucinus,gait,Phase,Wimberly,primary,62.83883438
Cebus capucinus,behavioural_flexibility,Social_learning_report_count,Reader,primary,5
Cebus capucinus,manipulation,Tool_Manufacture,Baker,primary,1
Cebus capucinus,manipulation,Tool_use,Baker,secondary,1
Cebus capucinus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,4
Cebus capucinus,behavioural_flexibility,Tool_use_report_count,Reader,primary,7
Cebus capucinus,manipulation,True_Tool_Use,Baker,primary,1
Cebus capucinus,vocalization,VocalRepertoire,ManyPrimates,secondary,27
Cebus capucinus,research_effort,Zoological_record_article_count,Reader,primary,60
Cebus capucinus,hand_morphology,log10_ip3_mm,Baker,primary,1.19395897801919
Cebus capucinus,hand_morphology,log10_mc1_mm,Baker,primary,1.28420506770179
Cebus capucinus,hand_morphology,log10_mc4_mm,Baker,primary,1.41813549842523
Cebus capucinus,hand_morphology,log10_mc5_mm,Baker,primary,1.36097188372594
Cebus capucinus,hand_morphology,log10_pp3_mm,Baker,primary,1.34537373055909
Cebus olivaceus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cebus olivaceus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Cebus olivaceus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,2
Cebus olivaceus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,1
Cebus olivaceus,behavioural_flexibility,Innovation_report_count,Reader,primary,4
Cebus olivaceus,locomotion,Intermembral_index,Granatosky,primary,83
Cebus olivaceus,research_effort,Journal_search_article_count,Reader,primary,11
Cebus olivaceus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.7365976046442
Cebus olivaceus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Cebus olivaceus,manipulation,Tool_Manufacture,Baker,primary,0
Cebus olivaceus,manipulation,Tool_use,Baker,secondary,1
Cebus olivaceus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Cebus olivaceus,behavioural_flexibility,Tool_use_report_count,Reader,primary,3
Cebus olivaceus,manipulation,True_Tool_Use,Baker,primary,1
Cebus olivaceus,vocalization,VocalRepertoire,Schniter,primary,11
Cebus olivaceus,research_effort,Zoological_record_article_count,Reader,primary,18
Cebus olivaceus,hand_morphology,log10_ip2_mm,Baker,primary,1.02577982007179
Cebus olivaceus,hand_morphology,log10_ip3_mm,Baker,primary,1.15908416076727
Cebus olivaceus,hand_morphology,log10_ip4_mm,Baker,primary,1.04654715364706
Cebus olivaceus,hand_morphology,log10_mc1_mm,Baker,primary,1.25651263009643
Cebus olivaceus,hand_morphology,log10_mc2_mm,Baker,primary,1.29984525899482
Cebus olivaceus,hand_morphology,log10_mc3_mm,Baker,primary,1.30176187815597
Cebus olivaceus,hand_morphology,log10_mc4_mm,Baker,primary,1.39116652807101
Cebus olivaceus,hand_morphology,log10_mc5_mm,Baker,primary,1.32193071474978
Cebus olivaceus,hand_morphology,log10_pp1_mm,Baker,primary,1.01262312632137
Cebus olivaceus,hand_morphology,log10_pp2_mm,Baker,primary,1.16224220749618
Cebus olivaceus,hand_morphology,log10_pp3_mm,Baker,primary,1.32512224772685
Cebus olivaceus,hand_morphology,log10_pp4_mm,Baker,primary,1.18180892500461
Cephalopachus bancanus,manipulation,Tool_use,Baker,secondary,0
Cephalopachus bancanus,hand_morphology,log10_ip2_mm,Baker,primary,0.94571471405986
Cephalopachus bancanus,hand_morphology,log10_ip3_mm,Baker,primary,1.01703333929878
Cephalopachus bancanus,hand_morphology,log10_ip4_mm,Baker,primary,0.995525510424242
Cephalopachus bancanus,hand_morphology,log10_mc1_mm,Baker,primary,0.904309725767542
Cephalopachus bancanus,hand_morphology,log10_mc2_mm,Baker,primary,1.05757102027904
Cephalopachus bancanus,hand_morphology,log10_mc3_mm,Baker,primary,1.07188200730613
Cephalopachus bancanus,hand_morphology,log10_mc4_mm,Baker,primary,1.01230984822033
Cephalopachus bancanus,hand_morphology,log10_mc5_mm,Baker,primary,0.874336835397368
Cephalopachus bancanus,hand_morphology,log10_pp1_mm,Baker,primary,0.846646328577118
Cephalopachus bancanus,hand_morphology,log10_pp2_mm,Baker,primary,1.09803771328509
Cephalopachus bancanus,hand_morphology,log10_pp3_mm,Baker,primary,1.15533603746506
Cephalopachus bancanus,hand_morphology,log10_pp4_mm,Baker,primary,1.11693964655076
Cephalopachus bancanus,hand_morphology,peak_workspace,Baker,primary,-1.63827216398241
Cephalopachus bancanus,hand_morphology,real_size,Baker,primary,0.763427993562937
Cephalopachus bancanus,hand_morphology,relative_size,Baker,primary,-0.958607314841775
Cephalophus natalensis,gait,Duty_Factor,Wimberly,primary,60
Cephalophus natalensis,gait,Foot_Posture,Wimberly,primary,unguligrade
Cephalophus natalensis,gait,Gait,Wimberly,primary,LSLC
Cephalophus natalensis,gait,Phase,Wimberly,primary,22.5
Cephalophus silvicultor,gait,Duty_Factor,Wimberly,primary,67.2
Cephalophus silvicultor,gait,Foot_Posture,Wimberly,primary,unguligrade
Cephalophus silvicultor,gait,Gait,Wimberly,primary,LSLC
Cephalophus silvicultor,gait,Phase,Wimberly,primary,23.12
Ceratotherium simum,gait,Duty_Factor,Wimberly,primary,68
Ceratotherium simum,gait,Foot_Posture,Wimberly,primary,digitigrade
Ceratotherium simum,gait,Gait,Wimberly,primary,LSLC
Ceratotherium simum,gait,Phase,Wimberly,primary,21
Cercocebus agilis,manipulation,Tool_use,Baker,secondary,0
Cercocebus agilis,hand_morphology,log10_ip3_mm,Baker,primary,1.25623653320592
Cercocebus agilis,hand_morphology,log10_mc1_mm,Baker,primary,1.38066339634058
Cercocebus agilis,hand_morphology,log10_mc2_mm,Baker,primary,1.56181666431896
Cercocebus agilis,hand_morphology,log10_mc3_mm,Baker,primary,1.56749689110422
Cercocebus agilis,hand_morphology,log10_mc4_mm,Baker,primary,1.54961623951909
Cercocebus agilis,hand_morphology,log10_mc5_mm,Baker,primary,1.55878854373695
Cercocebus agilis,hand_morphology,log10_pp3_mm,Baker,primary,1.44638181222244
Cercocebus aterrimus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,0
Cercocebus aterrimus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,0
Cercocebus aterrimus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Cercocebus aterrimus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Cercocebus aterrimus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Cercocebus aterrimus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Cercocebus aterrimus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Cercocebus aterrimus,research_effort,Zoological_record_article_count,Reader,primary,6
Cercocebus atys,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Cercocebus atys,manipulation,Extractive_foraging,Heldstab,primary,0
Cercocebus atys,locomotion,Locomotor_diversity_index,Granatosky,primary,0.643896378966053
Cercocebus atys,manipulation,Manipulation_complexity,Heldstab,primary,2.24
Cercocebus atys,manipulation,Tool_Manufacture,Baker,primary,0
Cercocebus atys,manipulation,Tool_use,Baker,secondary,1
Cercocebus atys,manipulation,Tool_use,Heldstab,primary,0
Cercocebus atys,manipulation,True_Tool_Use,Baker,primary,1
Cercocebus atys,hand_morphology,log10_ip3_mm,Baker,primary,1.25839780409551
Cercocebus atys,hand_morphology,log10_mc1_mm,Baker,primary,1.32469391386177
Cercocebus atys,hand_morphology,log10_mc5_mm,Baker,primary,1.54629583512144
Cercocebus atys,hand_morphology,log10_pp3_mm,Baker,primary,1.40329214515825
Cercocebus galeritus,behavioural_flexibility,Extractive_foraging_reduced_report_count,Reader,primary,1
Cercocebus galeritus,behavioural_flexibility,Extractive_foraging_report_count,Reader,primary,1
Cercocebus galeritus,behavioural_flexibility,Innovation_reduced_report_count,Reader,primary,0
Cercocebus galeritus,behavioural_flexibility,Innovation_report_count,Reader,primary,0
Cercocebus galeritus,research_effort,Journal_search_article_count,Reader,primary,4
Cercocebus galeritus,behavioural_flexibility,Social_learning_report_count,Reader,primary,0
Cercocebus galeritus,manipulation,Tool_Manufacture,Baker,primary,0
Cercocebus galeritus,manipulation,Tool_use,Baker,secondary,1
Cercocebus galeritus,behavioural_flexibility,Tool_use_reduced_report_count,Reader,primary,0
Cercocebus galeritus,behavioural_flexibility,Tool_use_report_count,Reader,primary,0
Cercocebus galeritus,manipulation,True_Tool_Use,Baker,primary,1
Cercocebus galeritus,research_effort,Zoological_record_article_count,Reader,primary,19
Cercocebus galeritus,hand_morphology,log10_mc2_mm,Baker,primary,1.48201557645071
