Species,Duty_Factor,Foot_Posture,Gait,Phase,Locomotor_diversity_index,Tool_use,log10_dp3_mm,log10_ip3_mm,log10_mc1_mm,log10_mc2_mm,log10_mc3_mm,log10_mc4_mm,log10_mc5_mm,log10_pp3_mm,log10_pp1_mm,Extractive_foraging_reduced_report_count,Extractive_foraging_report_count,Innovation_reduced_report_count,Innovation_report_count,Social_learning_report_count,Tool_use_reduced_report_count,Tool_use_report_count,Zoological_record_article_count,Journal_search_article_count,log10_dp1_mm,log10_ip2_mm,log10_ip4_mm,log10_pp2_mm,log10_pp4_mm,Arboreal_terrestrial,Intermembral_index,VocalRepertoire,Tool_Manufacture,True_Tool_Use,log10_dp2_mm,peak_workspace,real_size,relative_size,Dexterity,Extractive_foraging,Handedness_index_mean,Handedness_strength_mean,Manipulation_complexity,log10_ip5_mm,log10_pp5_mm,log10_dp4_mm,log10_dp5_mm,CM_connection_inference,CST_termination_grade
Allochrocebus lhoesti,NA,NA,NA,NA,NA,0,NA,NA,NA,1.54294984881418,1.55448916000382,1.52348633234323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta belzebul,NA,NA,NA,NA,NA,0,NA,1.3041672717244,1.316319878258,1.4367985102318,1.48201557645071,1.47402190538789,1.44855173920158,1.47769992833213,1.30934622202062,0,0,0,0,0,0,0,15,3,1.09342168516224,1.22865695810894,1.32715451240943,1.41580772763554,1.48948973196227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,NA,NA,NA,NA,1.60859743143501,0,NA,1.30813737863804,1.36172783601759,NA,NA,1.55059520748933,1.48995847942483,1.48826861549546,NA,0,1,0,1,0,0,0,45,7,NA,NA,NA,NA,NA,A,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta coibensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta fusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,37,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliata,NA,NA,NA,NA,1.18941283574095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3,0,0,79,41,NA,NA,NA,NA,NA,A,98,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliatus,NA,NA,NA,NA,NA,0,NA,1.31026836663245,1.32376758329678,1.47129171105894,1.5152113043278,1.49899936358015,1.44754562126701,1.50155218746609,1.35506820634885,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10720996964787,NA,1.36172783601759,NA,1.52762990087134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta pigra,NA,NA,NA,NA,0.230466836328381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,25,8,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta sara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,68.32675986,plantigrade,DSDC,56.89748148,0.600482908245825,1,NA,1.33931891323648,1.33439091464906,1.48127908446486,1.52501662348241,1.50130248034113,1.44983724551267,1.51045564000733,1.30802343170697,0,0,4,4,0,1,1,82,28,1.11991541025799,1.27443077259293,1.3458244569982,1.46601787390354,1.50574672306446,A,97,NA,1,1,1.03941411917614,-1.53760200210104,1.06069784035361,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammotragus lervia,71,unguligrade,LSDC,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antilocapra americana,62.01923077,unguligrade,LSLC,17.94872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus azarae,NA,NA,NA,NA,NA,0,NA,0.992995098431341,1.02407498730743,1.25788616710497,1.29086578494364,1.25981943472062,1.14406801413637,1.18241465243455,0.976349979003273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.974050902792877,1.04453976039241,1.14426277376199,1.18412335423967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus azarai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,22,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus brumbacki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus hershkovitzi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus infulatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus lemurinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus miconax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus nancymaae,59.59001804,plantigrade,DSDC,58.37598712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus nigriceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,NA,NA,NA,NA,NA,0,NA,1.03342375548695,1.07766298919408,1.21276002023605,1.23044892137827,1.22276059369364,1.10226355721697,1.19033169817029,1.0097956280686,0,0,0,0,0,0,0,58,2,NA,0.9571932842523539,1.04342426355766,1.149619634858,1.18740746429153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus vociferans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apodemus agrarius,74.01000000000001,plantigrade,LSDC,35.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apodemus flavicollis,72.51000000000001,plantigrade,LSDC,28.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Archaeolemur edwardsi,NA,NA,NA,NA,NA,0,NA,NA,1.22010808804006,1.53360261067211,1.55347846724629,1.55730665030574,1.55910828936663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Archaeolemur majori,NA,NA,NA,NA,NA,0,NA,NA,NA,1.5854607295085,NA,1.52762990087134,1.54468802230268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctictis binturong,70.64,NA,LSLC,21.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arctocebus calabarensis,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.9063350418050909,NA,0.868203455637116,0.838219221907626,NA,0,0,0,0,0,0,0,1,NA,NA,NA,0.768175445955215,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ardipithecus ramidus,NA,NA,NA,NA,NA,0,NA,1.55266821611219,1.54654266347813,NA,NA,1.77451696572855,1.7427251313047,1.7160033436348,1.40993312333129,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16435285578444,NA,1.54406804435028,NA,1.6730209071289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles ater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles belzebuth,NA,NA,NA,NA,1.80198696987699,0,NA,1.43219937875331,1.35766809304363,1.66679868366617,1.69823107544912,1.70466518545453,1.67096907469322,1.60502476573002,NA,0,0,0,0,0,0,0,12,4,NA,1.34093960203808,1.38444302405878,1.5315427791822,1.57611089412084,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles chamek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles fusciceps,59.80060125,plantigrade,DSDC,71.24029949,NA,0,NA,1.43021331452755,1.29710365014926,NA,NA,1.6937395078653,1.65417654187796,1.59565366046493,NA,0,0,0,0,0,0,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.063,0.798,1.35,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,60.68357468,plantigrade,DSDC,71.8768163,1.29373888903011,0,NA,1.41009882144909,1.37657695705651,1.67669360962487,1.71180722904119,1.70329137811866,1.67117284271508,1.58291742680453,NA,0,0,0,0,2,0,0,58,23,NA,1.32817610736,1.39900685243076,1.50528149120739,1.56130405702091,A,105,NA,0,1,NA,NA,NA,NA,NA,0,0.061,0.829,2.48,NA,NA,NA,NA,NA,NA
Ateles hybridus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.377,0.917,NA,NA,NA,NA,NA,NA,NA
Ateles paniscus,60.59999272,plantigrade,DSDC,63.99376761,1.76983447403569,0,NA,1.45545396877863,1.17983892802319,NA,NA,1.7160033436348,1.69983772586725,1.63346845557959,NA,0,0,0,0,0,0,0,30,5,NA,NA,NA,NA,NA,A,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australopithecus afarensis,NA,NA,NA,NA,NA,0,NA,1.40993312333129,1.59659709562646,1.79028516403324,1.81157500587059,1.73719264270474,1.71180722904119,1.60852603357719,1.41497334797082,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27875360095283,1.34830486304816,NA,1.57287160220048,NA,NA,NA,NA,NA,NA,1.13672056715641,-1.39794000867204,0.380211241711606,-1.09691001300806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australopithecus africanus,NA,NA,NA,NA,NA,0,NA,NA,1.56407397897715,1.81324730089761,1.73439974252057,NA,1.63748972951251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australopithecus sediba,NA,NA,NA,NA,NA,0,NA,1.33445375115093,1.59549622182557,1.69897000433602,1.68394713075151,1.64345267648619,1.61909333062674,1.54032947479087,1.38021124171161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17897694729317,1.22010808804006,1.3096301674259,1.4983105537896,1.52374646681156,NA,NA,NA,NA,NA,1.01703333929878,-1.39794000867204,0.380211241711606,-1.04575749056068,NA,NA,NA,NA,NA,1.22530928172586,1.4345689040342,NA,NA,NA,NA
Avahi laniger,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.34242268082221,NA,1.31829526793591,1.26007138798507,NA,0,0,0,0,0,0,0,10,NA,NA,NA,1.14113609012074,NA,NA,NA,NA,NA,NA,NA,NA,-1.61978875828839,0.869231719730976,-0.958607314841775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi occidentalis,NA,NA,NA,NA,1.14885486473691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,6,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison bison,71,unguligrade,LSLC,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bos taurus,69,unguligrade,LSDC,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachyteles arachnoides,NA,NA,NA,NA,NA,0,NA,1.47769992833213,1.22942584792069,NA,NA,1.74099393158489,1.71474876072506,1.67348169707335,NA,0,0,0,0,0,0,0,57,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradypus variegatus,78.56999999999999,plantigrade,DSDC,52.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bubalus bubalis,63.16964286,unguligrade,LSLC,16.96429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacajao calvus,NA,NA,NA,NA,1.86810866495463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,A,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacajao melanocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cacajao rubicundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus brunneus,NA,NA,NA,NA,0.9954182990798069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,A,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus calligatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus cinerascens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus cupreus,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.85,NA,NA,NA,NA,NA,NA
Callicebus donacophilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus dubius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus hoffmannsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus modestus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus moloch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,18,16,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus oenanthe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus olallae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus personatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus torquatus,NA,NA,NA,NA,1.29137383119401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,4,3,NA,NA,NA,NA,NA,A,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,NA,NA,1.56568356541191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,43,19,NA,NA,NA,NA,NA,A,69,28,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1.43,NA,NA,NA,NA,NA,NA
Callithrix argentata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix aurita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix flaviceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix geoffroyi,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1.32,NA,NA,NA,NA,NA,NA
