"Order_VK2014","Species_VK2014","eye_axial_diameter_mm","ad_estimated_from_RMF","visual_acuity_cdeg","va_cone_density_footnote2","body_mass_kg_VK","Body_mass.g","measurement_type","max_running_speed_kph","activity_pattern","diet","va_this_study","src_VA","src_AD_BM","src_D_AP","src_MRS"
"Artiodactyla","Bos taurus",30.78,"FALSE",10.31,"FALSE",679.05,679050,"A",,"","","TRUE","this study: [1,2]","[2]","[3,4]",""
"Artiodactyla","Camelus bactrianus",40,"FALSE",10,"FALSE",400,400000,"B",60,"D","H","FALSE","[5]","[6,7]","[3,6]","[8]"
"Artiodactyla","Camelus dromedarius",33,"FALSE",10.4,"FALSE",415,415000,"A",,"","","FALSE","[5]","[5,9]","",""
"Artiodactyla","Capra hircus",25.84,"FALSE",8.43,"FALSE",27.66,27660,"A",,"","","TRUE","this study: [10,11]","[2]","",""
"Artiodactyla","Dama dama",34,"FALSE",18.48,"FALSE",80,80000,"A",,"","","TRUE","this study: [6,12]","[6,13]","",""
"Artiodactyla","Giraffa camelopardalis",42.26,"FALSE",25.46,"FALSE",1000,1000000,"A",,"","","FALSE","[14]","[13]","",""
"Artiodactyla","Ovis aries",26.11,"FALSE",5.61,"FALSE",52.1,52100,"B",,"C","H","FALSE","[15]","[2]","[3,4]",""
"Artiodactyla","Sus scrofa",24.8,"FALSE",9.92,"FALSE",86.78,86780,"A",,"","","TRUE","this study: [16,17]","[2,9]","",""
"Carnivora","Acinonyx jubatus",36.7,"FALSE",23.02,"FALSE",45.6,45600,"A",,"","","TRUE","this study: [6,12]","[6,9]","",""
"Carnivora","Canis lupus",22.5,"FALSE",14.57,"FALSE",31.65,31650,"A",,"","","TRUE","this study: [18,19]","[6,9]","",""
"Carnivora","Crocuta crocuta",28.68,"FALSE",8.4,"FALSE",64.23,64230,"A",,"","","FALSE","[20]","[2,9]","",""
"Carnivora","Enhydra lutris",14,"FALSE",4.2,"FALSE",27.05,27050,"A",,"","","FALSE","[21]","[2,9]","",""
"Carnivora","Felis catus",21.94,"FALSE",8.85,"FALSE",3.05,3050,"B",,"C","P","FALSE","[22]","[2]","[23,24]",""
"Carnivora","Lynx lynx",26.82,"FALSE",8,"FALSE",17.8,17800,"",,"","","FALSE","[25]","[2,9]","",""
"Carnivora","Mustela nivalis",5.4,"FALSE",2.2,"FALSE",0.08,80,"",,"","","FALSE","[26]","[2,9]","",""
"Carnivora","Mustela putorius furo",7.5,"FALSE",3.57,"FALSE",0.83,830,"B",,"C","P","FALSE","[27]","[2,9]","[3,28]",""
"Carnivora","Odobenus rosmarus",24.96,"FALSE",3.8,"FALSE",1060,1060000,"A",,"","","FALSE","[29]","[2,9]","",""
"Carnivora","Suricata suricatta",10.5,"FALSE",6.3,"FALSE",0.62,620,"B",,"D","P","FALSE","[30]","[6,9]","[6,31]",""
"Chiroptera","Artibeus cinereus",4.4,"FALSE",1.4,"FALSE",0.07,70,"A",,"","","FALSE","[32]","[9,32]","",""
"Chiroptera","Artibeus jamaicensis",3.9,"FALSE",0.167,"FALSE",0.05,50,"B",,"N","","FALSE","[33]","[9,34]","[35,36]",""
"Chiroptera","Carollia perspicillata",2.62,"FALSE",0.94,"FALSE",0.02,20,"A",,"","","FALSE","[37]","[9,38]","",""
"Chiroptera","Desmodus rotundus",2.5,"FALSE",0.625,"FALSE",0.03,30,"B",,"N","","FALSE","[39]","[9,34]","[36,40]",""
"Chiroptera","Eptesicus fuscus",1.481,"FALSE",0.5,"FALSE",0.03,30,"B",,"N","","FALSE","[41]","[9,42]","[43]",""
"Chiroptera","Macroderma gigas",7,"FALSE",1.9,"FALSE",0.15,150,"A",,"","","FALSE","[32]","[9,32]","",""
"Chiroptera","Megaderma lyra",4.2,"FALSE",1.5,"FALSE",0.05,50,"A",,"","","FALSE","[32]","[9,32]","",""
"Chiroptera","Myotis dabentonii",1.25,"FALSE",0.1,"FALSE",0.007,7,"B",,"N","","FALSE","[34]","[9,34]","[44]",""
"Chiroptera","Myotis mystacinus",0.95,"FALSE",0.1,"FALSE",0.004,4,"B",,"N","","FALSE","[34]","[9,34]","",""
"Chiroptera","Nyctophilus gouldi",1.9,"FALSE",0.6,"FALSE",0.01,10,"A",,"","","FALSE","[32]","[9,32]","",""
"Chiroptera","Phyllostomus hastatus",3.94,"FALSE",0.167,"FALSE",0.11,110,"B",,"N","","FALSE","[33]","[9,38]","[45]",""
"Chiroptera","Plecotus auritus",1.8,"FALSE",1,"FALSE",0.007,7,"B",,"N","","FALSE","[34]","[9,34]","[3]",""
"Chiroptera","Pteropus giganteus",9.65,"FALSE",1.7,"FALSE",0.9,900,"B",,"N","H","FALSE","[46]","[2,9]","[3]",""
"Chiroptera","Pteropus poliocephalus",13.3,"FALSE",5.5,"FALSE",0.68,680,"A",,"","","FALSE","[32]","[2,9]","",""
"Chiroptera","Pteropus scapulatus",11,"FALSE",4,"FALSE",0.36,360,"A",,"","","FALSE","[32]","[2,9]","",""
"Chiroptera","Rhinolophus rouxi",1.8,"FALSE",0.4,"FALSE",0.014,14,"A",,"","","FALSE","[32]","[9,34]","",""
"Chiroptera","Rousettus madagascariensis",5.72,"FALSE",3,"FALSE",0.07,70,"A",,"","","FALSE","[32]","[2,47]","",""
"Chiroptera","Taphozous georgianus",3.7,"FALSE",1.3,"FALSE",0.03,30,"A",,"","","FALSE","[32]","[9,32]","",""
"Dasyuromorphia","Dasyurus hallucatus",10,"FALSE",2.8,"FALSE",0.4,400,"B",,"N","P","FALSE","[48]","[9,48]","[3,49]",""
"Dasyuromorphia","Myrmecobius fasciatus",11.7,"FALSE",5.2,"FALSE",0.46,460,"B",33,"D","","FALSE","[50]","[9,50]","[51,52]","[53]"
"Dasyuromorphia","Sarcrophilus harrisii",14.5,"FALSE",4.75,"FALSE",6.37,6370,"A",,"","","TRUE","this study: [6,54]","[6,9]","",""
"Dasyuromorphia","Sminthopsis crassicaudata",5.088,"FALSE",2.36,"FALSE",0.015,15,"B",10.9,"C","P","FALSE","[55]","[9,55]","[3,55]","[53]"
"Didelphimorphia","Didelphis marsupialis",8.7,"FALSE",1.25,"FALSE",1.48,1480,"A",,"","","FALSE","[56]","[6,9]","",""
"Didelphimorphia","Didelphis virginiana",10,"FALSE",2.49,"FALSE",2.19,2190,"A",,"","","TRUE","this study: [6,57]","[2,9]","",""
"Diprotodontia","Macropus eugenii",16.18,"TRUE",2.7,"FALSE",6.5,6500,"B",40,"C","H","FALSE","[58]","[9,58]","[3]","[53]"
"Diprotodontia","Macropus fulginosus",23.1,"FALSE",11.23,"FALSE",62.63,62630,"A",,"","","TRUE","this study: [6,59]","[6,9]","",""
"Diprotodontia","Phascolarctos cinereus",12.6,"FALSE",2.4,"FALSE",6.96,6960,"A",,"","","FALSE","[60]","[9,61]","",""
"Diprotodontia","Setonyx brachyurus",10.4,"FALSE",4,"FALSE",3.25,3250,"A",,"","","TRUE","this study: [55,62]","[9,62]","",""
"Diprotodontia","Tarsipes rostratus",1.6,"FALSE",0.63,"FALSE",0.009,9,"B",,"C","H","FALSE","[63]","[9,64]","[3,65]",""
"Diprotodontia","Trichosurus vulpecula",13.7,"FALSE",4.8,"FALSE",2.93,2930,"A",,"","","FALSE","[66]","[6,9]","",""
"Lagomorpha","Oryctolagus cuniculus",18.04,"FALSE",3,"FALSE",1.52,1520,"B",56,"C","H","FALSE","[67]","[6,9]","[3,68]","[69]"
"Monotremata","Tachyglossus aculeatus",8,"FALSE",1.69,"FALSE",3.55,3550,"A",,"","","FALSE","[2,70]","[2,9]","",""
"Perissodactyla","Diceros bicornis",27.6,"FALSE",6,"FALSE",985,985000,"A",,"","","FALSE","[71]","[6,9]","",""
"Perissodactyla","Equus caballus",42,"FALSE",23.3,"FALSE",350,350000,"B",70,"C","H","FALSE","[72]","[6,13]","[6,73]","[69]"
"Primates- Haplorhines*","Alouatta caraya",16.2,"FALSE",59.61,"TRUE",5.63,5630,"A",,"","","TRUE","this study: [6,74]","[6,9]","",""
"Primates- Haplorhines*","Aotus azarae",19.9,"FALSE",8.3,"FALSE",1.06,1060,"A",,"","","FALSE","[75]","[6,9]","",""
"Primates- Haplorhines*","Aotus trivirgatus",19.9,"FALSE",10,"FALSE",0.85,850,"B",,"","","FALSE","[76]","[6,9]","",""
"Primates- Haplorhines*","Callithrix jacchus",11.3,"FALSE",30,"FALSE",0.31,310,"A",,"","","FALSE","[77]","[6,9]","",""
"Primates- Haplorhines*","Cebus apella",14.1,"FALSE",54.75,"FALSE",2.77,2770,"A",,"","","FALSE","[78]","[6,9]","",""
"Primates- Haplorhines*","Chlorocebus aethiops",21.5,"FALSE",55.23,"TRUE",4.17,4170,"A",,"","","TRUE","this study: [79,80]","[9,80]","",""
