Order,Species,AD,VA,BM,MT,MRS,AP,D1,src_VA,src_AD_BM,src_D_AP,src_MRS
Artiodactyla,Bos taurus,30.78,10.31,679.05,A,,,,"this study: [1,2]",[2],"[3,4]",
Artiodactyla,Camelus bactrianus,40,10,400,B,60,D,H,[5],"[6,7]","[3,6]",[8]
Artiodactyla,Camelus dromedarius,33,10.4,415,A,,,,[5],"[5,9]",,
Artiodactyla,Capra hircus,25.84,8.43,27.66,A,,,,"this study: [10,11]",[2],,
Artiodactyla,Dama dama,34,18.48,80,A,,,,"this study: [6,12]","[6,13]",,
Artiodactyla,Giraffa camelopardalis,42.26,25.46,1000,A,,,,[14],[13],,
Artiodactyla,Ovis aries,26.11,5.61,52.1,B,,C,H,[15],[2],"[3,4]",
Artiodactyla,Sus scrofa,24.8,9.92,86.78,A,,,,"this study: [16,17]","[2,9]",,
Carnivora,Acinonyx jubatus,36.7,23.02,45.6,A,,,,"this study: [6,12]","[6,9]",,
Carnivora,Canis lupus,22.5,14.57,31.65,A,,,,"this study: [18,19]","[6,9]",,
Carnivora,Crocuta crocuta,28.68,8.4,64.23,A,,,,[20],"[2,9]",,
Carnivora,Enhydra lutris,14,4.2,27.05,A,,,,[21],"[2,9]",,
Carnivora,Felis catus,21.94,8.85,3.05,B,,C,P,[22],[2],"[23,24]",
Carnivora,Lynx lynx,26.82,8,17.8,,,,,[25],"[2,9]",,
Carnivora,Mustela nivalis,5.4,2.2,0.08,,,,,[26],"[2,9]",,
Carnivora,Mustela putorius furo,7.5,3.57,0.83,B,,C,P,[27],"[2,9]","[3,28]",
Carnivora,Odobenus rosmarus,24.96,3.8,1060,A,,,,[29],"[2,9]",,
Carnivora,Suricata suricatta,10.5,6.3,0.62,B,,D,P,[30],"[6,9]","[6,31]",
Chiroptera,Artibeus cinereus,4.4,1.4,0.07,A,,,,[32],"[9,32]",,
Chiroptera,Artibeus jamaicensis,3.9,0.167,0.05,B,,N,,[33],"[9,34]","[35,36]",
Chiroptera,Carollia perspicillata,2.62,0.94,0.02,A,,,,[37],"[9,38]",,
Chiroptera,Desmodus rotundus,2.5,0.625,0.03,B,,N,,[39],"[9,34]","[36,40]",
Chiroptera,Eptesicus fuscus,1.481,0.5,0.03,B,,N,,[41],"[9,42]",[43],
Chiroptera,Macroderma gigas,7,1.9,0.15,A,,,,[32],"[9,32]",,
Chiroptera,Megaderma lyra,4.2,1.5,0.05,A,,,,[32],"[9,32]",,
Chiroptera,Myotis dabentonii,1.25,0.1,0.007,B,,N,,[34],"[9,34]",[44],
Chiroptera,Myotis mystacinus,0.95,0.1,0.004,B,,N,,[34],"[9,34]",,
Chiroptera,Nyctophilus gouldi,1.9,0.6,0.01,A,,,,[32],"[9,32]",,
Chiroptera,Phyllostomus hastatus,3.94,0.167,0.11,B,,N,,[33],"[9,38]",[45],
Chiroptera,Plecotus auritus,1.8,1,0.007,B,,N,,[34],"[9,34]",[3],
Chiroptera,Pteropus giganteus,9.65,1.7,0.90,B,,N,H,[46],"[2,9]",[3],
Chiroptera,Pteropus poliocephalus,13.3,5.5,0.68,A,,,,[32],"[2,9]",,
Chiroptera,Pteropus scapulatus,11,4,0.36,A,,,,[32],"[2,9]",,
Chiroptera,Rhinolophus rouxi,1.8,0.4,0.014,A,,,,[32],"[9,34]",,
Chiroptera,Rousettus madagascariensis,5.72,3,0.07,A,,,,[32],"[2,47]",,
Chiroptera,Taphozous georgianus,3.7,1.3,0.03,A,,,,[32],"[9,32]",,
Dasyuromorphia,Dasyurus hallucatus,10,2.8,0.40,B,,N,P,[48],"[9,48]","[3,49]",
Dasyuromorphia,Myrmecobius fasciatus,11.70,5.2,0.46,B,33,D,,[50],"[9,50]","[51,52]",[53]
Dasyuromorphia,Sarcrophilus harrisii,14.5,4.75,6.37,A,,,,"this study: [6,54]","[6,9]",,
Dasyuromorphia,Sminthopsis crassicaudata,5.088,2.36,0.015,B,10.9,C,P,[55],"[9,55]","[3,55]",[53]
Didelphimorphia,Didelphis marsupialis,8.7,1.25,1.48,A,,,,[56],"[6,9]",,
Didelphimorphia,Didelphis virginiana,10,2.49,2.19,A,,,,"this study: [6,57]","[2,9]",,
Diprotodontia,Macropus eugenii,16.18,2.7,6.50,B,40,C,H,[58],"[9,58]**",[3],[53]
Diprotodontia,Macropus fulginosus,23.1,11.23,62.63,A,,,,"this study: [6,59]","[6,9]",,
Diprotodontia,Phascolarctos cinereus,12.6,2.4,6.96,A,,,,[60],"[9,61]",,
Diprotodontia,Setonyx brachyurus,10.4,4.00,3.25,A,,,,"this study: [55,62]","[9,62]",,
Diprotodontia,Tarsipes rostratus,1.6,0.63,0.009,B,,C,H,[63],"[9,64]","[3,65]",
Diprotodontia,Trichosurus vulpecula,13.7,4.8,2.93,A,,,,[66],"[6,9]",,
Lagomorpha,Oryctolagus cuniculus,18.04,3,1.52,B,56,C,H,[67],"[6,9]","[3,68]",[69]
Monotremata,Tachyglossus aculeatus,8,1.69,3.55,A,,,,"[2,70]","[2,9]",,
Perissodactyla,Diceros bicornis,27.6,6,985,A,,,,[71],"[6,9]",,
Perissodactyla,Equus caballus,42,23.3,350,B,70,C,H,[72],"[6,13]","[6,73]",[69]
Primates- Haplorhines*,Alouatta caraya,16.2,59.61,5.63,A,,,,"this study: [6,74]2","[6,9]",,
Primates- Haplorhines*,Aotus azarae,19.9,8.3,1.06,A,,,,[75],"[6,9]",,
Primates- Haplorhines*,Aotus trivirgatus,19.9,10,0.85,B,,,,[76],"[6,9]",,
Primates- Haplorhines*,Callithrix jacchus,11.3,30,0.31,A,,,,[77],"[6,9]",,
Primates- Haplorhines*,Cebus apella,14.1,54.75,2.77,A,,,,[78],"[6,9]",,
Primates- Haplorhines*,Chlorocebus aethiops,21.5,55.23,4.17,A,,,,"this study: [79,80]2","[9,80]",,
Primates- Haplorhines*,Homo sapiens,24,64,60.21,B,,,,[32],"[38,81]",,
Primates- Haplorhines*,Macaca fascicularis,18.4,46,4.30,B,,,,[82],"[6,9]",,
Primates- Haplorhines*,Macaca mulatta,20,53.6,5.30,B,,,,"[83,84]","[6,9]",,
Primates- Haplorhines*,Macaca nemestrina,19.9,46,7.47,B,,,,[82],"[6,9]",,
Primates- Haplorhines*,Pan troglodytes,20.9,64.28,49.21,B,,,,[85],"[6,9]",,
Primates- Haplorhines*,Saguinus midas,12.2,24.87,0.43,A,,,,"this study: [6,74]2","[6,9]",,
Primates- Haplorhines*,Saimiri sciureus,15,40.5,0.79,B,,,,[83],"[6,9]",,
Primates- Haplorhines*,Tarsius syrichta,17,8.89,0.10,A,,,,[86],"[6,9]",,
Primates- Strepsirrhines,Cheirogaleus medius,10.3,2.84,0.18,A,,,,[86],"[6,9]",,
Primates- Strepsirrhines,Eulemur macaco,15.3,5.14,2.40,B,,C,H,[86],"[6,87]",[87],
Primates- Strepsirrhines,Galago senegalensis,12.9,6.7,0.18,B,,N,P,[88],"[6,9]",[89],
Primates- Strepsirrhines,Lemur catta,15.6,6.7,1.96,B,,D,H,[90],"[6,9]",[87],
Primates- Strepsirrhines,Microcebus murinus,9.2,4.2,0.06,A,,,,[91],"[6,9]",,
Primates- Strepsirrhines,Otolemur crassicaudatus,16.3,4.8,1.27,B,,N,,[92],"[6,9]",[93],
Proboscidea,Loxodonta africana,39.6,13.16,2420,A,,,,[94],"[6,9]",,
Rodentia,Agouti paca,18.46,2.8,8.0,A,,,,[95],"[9,96]",,
Rodentia,Dasyprocta leoporina,15.68,6.21,2.61,A,,,,[95],"[9,96]",,
Rodentia,Ellobius lutescens,2.2,0.4,0.12,A,,,,[97],"[97,98]",,
Rodentia,Ellobius talpinus,2.9,0.9,0.04,A,,,,[97],"[9,97]",,
Rodentia,Heterocephalus glaber,1.6,0.44,0.06,A,,,,[99],"[9,100]",,
Rodentia,Hydrochoerus hydrochaeris,21.04,5.8,39.13,A,,,,[95],"[9,95]",,
Rodentia,Lemmus lemmus,2.40,0.83,0.05,B,,C,H,[101],"[2,9]",[3],
Rodentia,Meriones unguiculatus,6.11,1.8,0.06,B,14.5,C,H,"[102,103]","[9,104]","[3,105]",[106]
Rodentia,Mesocricetus auratus,6.32,0.5,0.10,B,,,,[107],"[9,108]",,
Rodentia,Mus musculus,5.28,0.5,0.02,B,13.1,N,,[109],"[2,9]",[3],[110]
Rodentia,Peromyscus maniculatus,4.9,0.56,0.03,B,15.9,N,,[111],"[6,13]","[6,112]",[113]
Rodentia,Rattus norvegicus,5.58,1.6,0.29,B,9.7,N,,[114],"[2,9]","[3,6]",[69]
Rodentia,Sciurus caroliniensis,11.8,3.9,0.49,B,27,D,,[115],"[6,9]","[6,116]",[69]
Rodentia,Sciurus niger,12,3.9,0.76,B,24,D,,[115],"[6,9]","[6,117]",[13]
Rodentia,Spermophilus beecheyi,9.54,4,0.60,B,,D,,[112],"[9,12]",[3],
Scandentia,Tupaia belangeri,7.60,2.4,0.16,B,,D,,[119],"[6,9]",[120],
Scandentia,Tupaia glis,8.7,4.7,0.13,B,,D,,[121],"[6,9]","[3,120]",
Xenarthra,Choloepus didactylus,10.2,1.54,4.66,A,,,,"this study: [6,122]","[6,9]",,
