Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
level,cervical vertebral level; C1-C6 in Table 1 but C2-C6 only in the calibration (foramen and artery areas are not significantly correlated at the atlas),Cervical vertebra,,,info,Homo sapiens,deJager_etal_2022,C1 coefficients exist in the printed Table 2 but are deliberately excluded from the calibration file,Table 1 and Table 2
side,"body side of the measurement; right | left | both. ""both"" in the calibration means the regression was fitted on the per-individual MEAN of the left and right measurements (Table 2 caption), NOT on left and right stacked as separate observations -- n stays 16, it is not 32",,,,info,Homo sapiens,deJager_etal_2022,the authors found no significant left-right asymmetry (t-test) which is why a combined equation is offered,Table 2 caption
variable,"Table 1 measurement code: RF = right transverse foramen, LF = left transverse foramen, RA = right vertebral artery, LA = left vertebral artery",,,,info,Homo sapiens,deJager_etal_2022,,Table 1
structure,anatomical structure measured; transverse_foramen (bone) or vertebral_artery (lumen),,,,info,Homo sapiens,deJager_etal_2022,the bone-vs-lumen distinction is the whole point of the paper,Table 1
TF_area_mm2,cross-sectional area of the cervical transverse foramen in mm^2,Transverse foramen,area.mm2,,primary,Homo sapiens,deJager_etal_2022,"observed range 13.40-71.25 mm^2; semi-automatic segmentation of the bony opening on a best-fit plane, Avizo v9.0",Table 1
VA_area_mm2,cross-sectional area of the vertebral artery lumen in mm^2 at the corresponding transverse foramen,Vertebral artery,area.mm2,,primary,Homo sapiens,deJager_etal_2022,observed range 4.53-29.40 mm^2; contrast-CT lumen; mean VA area is ~35% of mean TF area across C1-C6,Table 1
mean_mm2,arithmetic mean cross-sectional area across the sample,,area.mm2,mean,primary,Homo sapiens,deJager_etal_2022,as printed; no SD is published,Table 1
min_mm2,minimum of the observed range,,area.mm2,min,primary,Homo sapiens,deJager_etal_2022,,Table 1
max_mm2,maximum of the observed range,,area.mm2,max,primary,Homo sapiens,deJager_etal_2022,,Table 1
transform,transform applied to BOTH response and predictor before fitting; log10 throughout (Shapiro-Wilk rejected normality of the raw areas),,,,method,Homo sapiens,deJager_etal_2022,back-transform predictions with 10^(...); the authors give no smearing correction,Methods 2.4
slope,slope of log10(VA_area_mm2) ~ log10(TF_area_mm2) at a given level and side,Vertebral artery,,coef,method,Homo sapiens,deJager_etal_2022,simple linear regression in RStudio (car / caret),Table 2
intercept,intercept of log10(VA_area_mm2) ~ log10(TF_area_mm2) at a given level and side,Vertebral artery,,coef,method,Homo sapiens,deJager_etal_2022,,Table 2
r,Pearson correlation coefficient between the log10 foramen and log10 artery areas,Vertebral artery,,fit,method,Homo sapiens,deJager_etal_2022,0.54-0.87 across the significant C2-C6 rows; strongest at C6 right,Table 2
r2,"coefficient of determination -- LEFT BLANK ON PURPOSE. Table 2 prints r only; the paper's R2 lives in supplementary Table S1 and is leave-one-out cross-validated, so it is not r^2 and must not be recorded as such",Vertebral artery,,fit,method,Homo sapiens,deJager_etal_2022,square r yourself if you want the in-sample fit,Table 2 / Table S1
p_value,exact significance -- LEFT BLANK ON PURPOSE. Table 2 marks significant rows with a footnote only and does not print p,Vertebral artery,,fit,method,Homo sapiens,deJager_etal_2022,see the `significant` column instead,Table 2
significant,whether the correlation is flagged significant (p < 0.05) by the footnote marker in Table 2,Vertebral artery,,fit,method,Homo sapiens,deJager_etal_2022,every row in the calibration file is significant by construction; the non-significant C1 rows are excluded,Table 2
n,"number of individuals; 16 (5 female, 11 male, 21-75 y, South African). NOT printed per row -- taken from the Methods and cross-checked against the significance pattern, which is consistent with n=16",,,count,info,Homo sapiens,deJager_etal_2022,pilot sample; the authors call it preliminary,Methods 2.1
foramen_area_min_mm2,lower end of the observed transverse-foramen area at this level and side; use to flag extrapolation,Transverse foramen,area.mm2,min,method,Homo sapiens,deJager_etal_2022,"for side=""both"" this is the outer envelope of the right and left ranges, not the range of the per-individual means (unpublished)",Table 1
foramen_area_max_mm2,upper end of the observed transverse-foramen area at this level and side; use to flag extrapolation,Transverse foramen,area.mm2,max,method,Homo sapiens,deJager_etal_2022,as above,Table 1
Method:TF_to_VA,"estimate vertebral-artery cross-sectional area in a fossil from a measured transverse-foramen area using the per-level (C2-C6) log10-log10 regression; the resulting VA area gives a lumen radius directly, so the canal/1.4 lumen approximation used in ../__flow_comparison is NOT needed for the vertebral artery",Vertebral artery,,method,,Homo sapiens,deJager_etal_2022,"calibration only -- needs a fossil transverse-foramen measurement (e.g. Beaudet et al. 2020, StW 573) to yield an estimate; authors recommend applying it to FOSSIL HUMANS ONLY",Discussion
