population,specimen_id,sex,structure_var,structure_label,volume_mm3,pct_of_pure_brain,total_brain_weight_g,total_brain_volume_mm3,rest_tissue_mm3,ventricle_mm3,pure_brain_tissue_mm3
wild cavy (Cavia aperea),19269,M,medulla_oblongata_mm3,Medulla oblongata,451.855,9.5,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,cerebellum_mm3,Cerebellum,678.657,14.27,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,mesencephalon_mm3,Mesencephalon,448.557,9.44,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,diencephalon_mm3,Diencephalon,440.215,9.26,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,telencephalon_mm3,Telencephalon,2735.19,57.53,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,neocortex_total_mm3,Neocortex (total),1624.662,34.17,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,corpus_striatum_mm3,Corpus striatum,192.655,4.05,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,allocortex_total_mm3,Allocortex (total),917.873,19.31,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,neocortex_grey_mm3,Neocortex (grey matter),1335.971,28.1,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,neocortex_white_mm3,Neocortex (white matter),288.691,6.07,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,olfactory_allocortex_mm3,Olfactory allocortex,399.665,8.41,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,bulbus_olfactorius_mm3,Bulbus olfactorius,100.498,2.11,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,regio_retrobulbaris_mm3,Regio retrobulbaris,10.477,0.22,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,38.802,0.82,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,regio_praepiriformis_mm3,Regio praepiriformis,114.468,2.41,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,104.572,2.2,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,basal_nuclei_mm3,Basal nuclei,30.848,0.65,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,518.208,10.9,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,septum_telencephali_mm3,Septum telencephali,52.19,1.1,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,hippocampus_mm3,Hippocampus,338.358,7.12,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,schizocortex_mm3,Schizocortex,127.66,2.68,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,tractus_opticus_mm3,Tractus opticus,23.864,0.5,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,15.327,0.34,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19269,M,nucleus_cochlearis_mm3,Nucleus cochlearis,17.849,0.38,5.08,4903.475,107.483,41.518,4754.474
wild cavy (Cavia aperea),19263,M,medulla_oblongata_mm3,Medulla oblongata,439.797,9.47,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,cerebellum_mm3,Cerebellum,757.298,16.3,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,mesencephalon_mm3,Mesencephalon,431.672,9.29,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,diencephalon_mm3,Diencephalon,403.452,8.68,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,telencephalon_mm3,Telencephalon,2614.195,56.26,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,neocortex_total_mm3,Neocortex (total),1543.886,33.23,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,corpus_striatum_mm3,Corpus striatum,178.314,3.83,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,allocortex_total_mm3,Allocortex (total),891.995,19.21,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,neocortex_grey_mm3,Neocortex (grey matter),1270.216,27.34,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,neocortex_white_mm3,Neocortex (white matter),273.67,5.89,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,olfactory_allocortex_mm3,Olfactory allocortex,382.07,8.22,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,bulbus_olfactorius_mm3,Bulbus olfactorius,107.757,2.32,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,regio_retrobulbaris_mm3,Regio retrobulbaris,13.898,0.3,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,32.927,0.71,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,regio_praepiriformis_mm3,Regio praepiriformis,113.53,2.44,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,86.805,1.87,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,basal_nuclei_mm3,Basal nuclei,27.153,0.58,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,509.925,10.98,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,septum_telencephali_mm3,Septum telencephali,51.528,1.12,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,hippocampus_mm3,Hippocampus,345.295,7.43,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,schizocortex_mm3,Schizocortex,113.102,2.43,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,tractus_opticus_mm3,Tractus opticus,26.085,0.56,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,17.746,0.38,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19263,M,nucleus_cochlearis_mm3,Nucleus cochlearis,18.387,0.4,4.99,4816.602,121.655,48.533,4646.414
wild cavy (Cavia aperea),19267,M,medulla_oblongata_mm3,Medulla oblongata,400.874,8.98,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,cerebellum_mm3,Cerebellum,546.788,12.25,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,mesencephalon_mm3,Mesencephalon,396.245,8.88,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,diencephalon_mm3,Diencephalon,422.822,9.48,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,telencephalon_mm3,Telencephalon,2695.359,60.41,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,neocortex_total_mm3,Neocortex (total),1577.608,35.36,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,corpus_striatum_mm3,Corpus striatum,179.004,4.01,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,allocortex_total_mm3,Allocortex (total),938.747,21.04,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,neocortex_grey_mm3,Neocortex (grey matter),1295.555,29.03,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,neocortex_white_mm3,Neocortex (white matter),282.053,6.33,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,olfactory_allocortex_mm3,Olfactory allocortex,394.189,8.84,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,bulbus_olfactorius_mm3,Bulbus olfactorius,103.562,2.32,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,regio_retrobulbaris_mm3,Regio retrobulbaris,11.83,0.27,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,tuberculum_olfactorium_mm3,Tuberculum olfactorium,36.864,0.83,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,regio_praepiriformis_mm3,Regio praepiriformis,113.68,2.55,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,nucleus_amygaloideus_mm3,Nucleus amygaloideus,100.819,2.26,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,basal_nuclei_mm3,Basal nuclei,27.434,0.61,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,non_olfactory_allocortex_mm3,Non-olfactory allocortex,544.558,12.2,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,septum_telencephali_mm3,Septum telencephali,50.237,1.13,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,hippocampus_mm3,Hippocampus,357.152,8,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,schizocortex_mm3,Schizocortex,137.169,3.07,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,tractus_opticus_mm3,Tractus opticus,23.49,0.53,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale,14.745,0.33,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19267,M,nucleus_cochlearis_mm3,Nucleus cochlearis,16.632,0.37,4.8,4633.205,138.197,32.92,4462.088
wild cavy (Cavia aperea),19256,F,medulla_oblongata_mm3,Medulla oblongata,411.301,8.66,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,cerebellum_mm3,Cerebellum,609.631,12.83,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,mesencephalon_mm3,Mesencephalon,406.549,8.56,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,diencephalon_mm3,Diencephalon,442.676,9.32,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,telencephalon_mm3,Telencephalon,2879.682,60.63,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,neocortex_total_mm3,Neocortex (total),1694.457,35.67,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,corpus_striatum_mm3,Corpus striatum,183.877,3.88,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,allocortex_total_mm3,Allocortex (total),1001.348,21.08,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,neocortex_grey_mm3,Neocortex (grey matter),1352.751,28.48,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,neocortex_white_mm3,Neocortex (white matter),341.706,7.19,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,olfactory_allocortex_mm3,Olfactory allocortex,407.689,8.58,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,bulbus_olfactorius_mm3,Bulbus olfactorius,107.247,2.26,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,regio_retrobulbaris_mm3,Regio retrobulbaris,12.931,0.27,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,tuberculum_olfactorium_mm3,Tuberculum olfactorium,39.933,0.84,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,regio_praepiriformis_mm3,Regio praepiriformis,118.655,2.5,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,nucleus_amygaloideus_mm3,Nucleus amygaloideus,94.696,1.99,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,basal_nuclei_mm3,Basal nuclei,34.227,0.72,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,non_olfactory_allocortex_mm3,Non-olfactory allocortex,593.659,12.5,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,septum_telencephali_mm3,Septum telencephali,60.278,1.27,5.12,4942.085,138.622,53.624,4749.839
wild cavy (Cavia aperea),19256,F,hippocampus_mm3,Hippocampus,398.752,8.4,5.12,4942.085,138.622,53.624,4749.839
