status,row_index,table,specimen,species_file,species_csv,positional_species_agree,value_match_found,value_specimen,positional_eq_value_match,n_measure_mismatch,brain_cmp,cerebellum_cmp,vermis_cmp,hemisphere_cmp,species_key,sig,species_key_csv2,sample,brain_csv_txt,cerebellum_csv_txt,vermis_csv_txt,hemisphere_csv_txt,brain_csv,cerebellum_csv,vermis_csv,hemisphere_csv,sig_csv2,csv_row,value_table,brain_match,cerebellum_match,vermis_match,hemisphere_match
matched_positionally,1,Table2,Homo sapiens (139/95),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (139/95),TRUE,0,1174.7,125.3,10.6,114.6,homo sapiens,1174.7|125.3|10.6|114.6,homo sapiens,Hirnforschung,1174.7,125.3,10.6,114.6,1174.7,125.3,10.6,114.6,1174.7|125.3|10.6|114.6,1,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,2,Table2,Homo sapiens (H9/88),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (H9/88),TRUE,0,1582.6,182.1,15.7,166.3,homo sapiens,1582.6|182.1|15.7|166.3,homo sapiens,Hirnforschung,1582.6,182.1,15.7,166.3,1582.6,182.1,15.7,166.3,1582.6|182.1|15.7|166.3,2,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,3,Table2,Homo sapiens (SN382/81),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (SN382/81),TRUE,0,1102.3,138.2,9.6,128.6,homo sapiens,1102.3|138.2|9.6|128.6,homo sapiens,Hirnforschung,1102.3,138.2,9.6,128.6,1102.3,138.2,9.6,128.6,1102.3|138.2|9.6|128.6,3,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,4,Table2,Homo sapiens (71/84),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (71/84),TRUE,0,1093.6,133.2,12.3,120.9,homo sapiens,1093.6|133.2|12.3|120.9,homo sapiens,Hirnforschung,1093.6,133.2,12.3,120.9,1093.6,133.2,12.3,120.9,1093.6|133.2|12.3|120.9,4,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,5,Table2,Homo sapiens (14/94),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (14/94),TRUE,0,1137.2,136.9,14.7,122.1,homo sapiens,1137.2|136.9|14.7|122.1,homo sapiens,Hirnforschung,1137.2,136.9,14.7,122.1,1137.2,136.9,14.7,122.1,1137.2|136.9|14.7|122.1,5,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,6,Table2,Homo sapiens (146/86),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (146/86),TRUE,0,1387.1,138.6,9.5,129,homo sapiens,1387.1|138.6|9.5|129.0,homo sapiens,Hirnforschung,1387.1,138.6,9.5,129,1387.1,138.6,9.5,129,1387.1|138.6|9.5|129.0,6,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,7,Table2,Homo sapiens (SN201/86),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (SN201/86),TRUE,0,1176.6,132,9.9,122.1,homo sapiens,1176.6|132.0|9.9|122.1,homo sapiens,Hirnforschung,1176.6,132,9.9,122.1,1176.6,132,9.9,122.1,1176.6|132.0|9.9|122.1,7,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,8,Table2,Homo sapiens (503/81),Homo sapiens,Homo sapiens,TRUE,TRUE,Homo sapiens (503/81),TRUE,0,1264.5,139.8,11.2,128.7,homo sapiens,1264.5|139.8|11.2|128.7,homo sapiens,Hirnforschung,1264.5,139.8,11.2,128.7,1264.5,139.8,11.2,128.7,1264.5|139.8|11.2|128.7,8,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,9,Table2,Gorilla gorilla (A375),Gorilla gorilla,Gorilla gorilla,TRUE,TRUE,Gorilla gorilla (A375),TRUE,0,434.4,60.1,7.2,52.9,gorilla gorilla,434.4|60.1|7.2|52.9,gorilla gorilla,Hirnforschung,434.4,60.1,7.2,52.9,434.4,60.1,7.2,52.9,434.4|60.1|7.2|52.9,9,Table2,TRUE,TRUE,TRUE,TRUE
matched_positionally,10,Table2,Gorilla gorilla (1001),Gorilla gorilla,Gorilla gorilla,TRUE,TRUE,Gorilla gorilla (1001),TRUE,0,414.5,51,4.5,46.5,gorilla gorilla,414.5|51.0|4.5|46.5,gorilla gorilla,Hirnforschung,414.5,51,4.5,46.5,414.5,51,4.5,46.5,414.5|51.0|4.5|46.5,10,Table2,TRUE,TRUE,TRUE,TRUE
