"tip_label","species_sci","Genus","Family_tip","Order_tip","terminal_branch_length","root_to_tip_age","in_project"
"Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA","Amblysomus hottentotus","Amblysomus","Chrysochloridae","Afrosoricida",6.866920754,318.7681465845,TRUE
"Amblysomus_marleyi_CHRYSOCHLORIDAE_AFROSORICIDA","Amblysomus marleyi","Amblysomus","Chrysochloridae","Afrosoricida",5.273043726,318.7681454116,FALSE
"Amblysomus_septentrionalis_CHRYSOCHLORIDAE_AFROSORICIDA","Amblysomus septentrionalis","Amblysomus","Chrysochloridae","Afrosoricida",5.273043726,318.7681454116,FALSE
"Calcochloris_obtusirostris_CHRYSOCHLORIDAE_AFROSORICIDA","Calcochloris obtusirostris","Calcochloris","Chrysochloridae","Afrosoricida",6.679426364,318.768148014,FALSE
"Carpitalpa_arendsi_CHRYSOCHLORIDAE_AFROSORICIDA","Carpitalpa arendsi","Carpitalpa","Chrysochloridae","Afrosoricida",4.549355578,318.7681463494,FALSE
"Chlorotalpa_duthieae_CHRYSOCHLORIDAE_AFROSORICIDA","Chlorotalpa duthieae","Chlorotalpa","Chrysochloridae","Afrosoricida",3.385292829,318.76814567,FALSE
"Chlorotalpa_sclateri_CHRYSOCHLORIDAE_AFROSORICIDA","Chlorotalpa sclateri","Chlorotalpa","Chrysochloridae","Afrosoricida",3.385292829,318.76814567,FALSE
"Chrysochloris_asiatica_CHRYSOCHLORIDAE_AFROSORICIDA","Chrysochloris asiatica","Chrysochloris","Chrysochloridae","Afrosoricida",4.513303204,318.768147311,TRUE
"Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA","Chrysochloris stuhlmanni","Chrysochloris","Chrysochloridae","Afrosoricida",5.7769327,318.76814567,TRUE
"Chrysospalax_trevelyani_CHRYSOCHLORIDAE_AFROSORICIDA","Chrysospalax trevelyani","Chrysospalax","Chrysochloridae","Afrosoricida",6.679426364,318.768148014,FALSE
"Cryptochloris_wintoni_CHRYSOCHLORIDAE_AFROSORICIDA","Cryptochloris wintoni","Cryptochloris","Chrysochloridae","Afrosoricida",4.513303204,318.768147311,FALSE
"Eremitalpa_granti_CHRYSOCHLORIDAE_AFROSORICIDA","Eremitalpa granti","Eremitalpa","Chrysochloridae","Afrosoricida",16.27572501,318.768144966,FALSE
"Neamblysomus_gunningi_CHRYSOCHLORIDAE_AFROSORICIDA","Neamblysomus gunningi","Neamblysomus","Chrysochloridae","Afrosoricida",1.136352162,318.7681463494,FALSE
"Neamblysomus_julianae_CHRYSOCHLORIDAE_AFROSORICIDA","Neamblysomus julianae","Neamblysomus","Chrysochloridae","Afrosoricida",1.136352162,318.7681463494,FALSE
