"Species","resolution_status","merge_eligible","in_current_volume_merge"
"Cynomops planirostris","GBIF_frozen_legacy_map",TRUE,FALSE
"Cynopterus brachyotis","NCBI_exact",TRUE,FALSE
"Cynopterus horsfieldii","NCBI_exact",TRUE,FALSE
"Cynopterus sphinx","NCBI_exact",TRUE,FALSE
"Cyttarops alecto","NCBI_exact",TRUE,FALSE
"Desmodus rotundus","NCBI_exact",TRUE,FALSE
"Diphylla ecaudata","NCBI_exact",TRUE,FALSE
"Dobsonia inermis","NCBI_exact",TRUE,FALSE
"Dobsonia moluccensis","NCBI_exact",TRUE,FALSE
"Dobsonia praedatrix","NCBI_exact",TRUE,FALSE
"Eidolon helvum","NCBI_exact",TRUE,FALSE
"Emballonura monticola","NCBI_exact",TRUE,FALSE
"Emballonura raffrayana","NCBI_exact",TRUE,FALSE
"Emballonura semicaudata","NCBI_exact",TRUE,FALSE
"Enchisthenes hartii","GBIF_frozen_legacy_map",TRUE,FALSE
"Eonycteris spelaea","NCBI_exact",TRUE,FALSE
"Epomophorus labiatus","NCBI_exact",TRUE,FALSE
"Epomophorus pusillus","NCBI_exact",TRUE,FALSE
"Epomops franqueti","NCBI_exact",TRUE,FALSE
"Eptesicus brasiliensis","NCBI_exact",TRUE,FALSE
"Eptesicus fuscus","NCBI_exact",TRUE,FALSE
"Eptesicus serotinus","NCBI_exact",TRUE,FALSE
"Eumops auripendulus","NCBI_exact",TRUE,FALSE
"Eumops glaucinus","NCBI_exact",TRUE,FALSE
"Furipterus horrens","NCBI_exact",TRUE,FALSE
"Gardnerycteris crenulatum","NCBI_exact",TRUE,FALSE
"Glauconycteris humeralis","NCBI_exact",TRUE,FALSE
"Glauconycteris poensis","NCBI_exact",TRUE,FALSE
"Glischropus tylopus","NCBI_exact",TRUE,FALSE
"Glossophaga longirostris","NCBI_exact",TRUE,FALSE
"Glossophaga soricina","NCBI_exact",TRUE,FALSE
"Harpiocephalus harpia","NCBI_exact",TRUE,FALSE
"Hesperoptenus blanfordi","NCBI_exact",TRUE,FALSE
"Hipposideros armiger","NCBI_exact",TRUE,FALSE
"Hipposideros ater","NCBI_exact",TRUE,FALSE
"Hipposideros caffer","NCBI_exact",TRUE,FALSE
"Hipposideros calcaratus","NCBI_exact",TRUE,FALSE
"Hipposideros cervinus","NCBI_exact",TRUE,FALSE
"Hipposideros diadema","NCBI_exact",TRUE,FALSE
"Hipposideros fulvus","NCBI_exact",TRUE,FALSE
"Hipposideros halophyllus","NCBI_exact",TRUE,FALSE
"Hipposideros lankadiva","NCBI_exact",TRUE,FALSE
"Hipposideros larvatus","NCBI_exact",TRUE,FALSE
"Hipposideros lekaguli","NCBI_exact",TRUE,FALSE
"Hipposideros maggietaylorae","GBIF_frozen_legacy_map",TRUE,FALSE
"Hipposideros ridleyi","NCBI_exact",TRUE,FALSE
"Hipposideros speoris","NCBI_exact",TRUE,FALSE
"Hipposideros turpis","NCBI_exact",TRUE,FALSE
"Hsunycteris thomasi","NCBI_exact",TRUE,FALSE
"Hypsignathus monstrosus","NCBI_exact",TRUE,FALSE
