"species_row","Species_Baron1996","telencephalon_Table10_mm3","component_sum_Table32_mm3","difference_mm3","source_inconsistency_flag"
1,"Eidolon helvum",2714,2714.4,0.400000000000091,FALSE
2,"Rousettus aegyptiacus",1371,1370.9,-0.099999999999909,FALSE
3,"R. amplexicaud. brachyotis §)",842.7,842.8,0.099999999999909,FALSE
4,"R. ampl. stresemanni §)",1050,1049.6,-0.400000000000091,FALSE
5,"Myonycteris torquata",693.2,693.3,0.099999999999909,FALSE
6,"Pteropus alecto",4492,4491.8,-0.199999999999818,FALSE
7,"Pteropus conspicillatus",5426,5426.4,0.399999999999636,FALSE
8,"Pteropus hypomelanus",3373,3373.7,0.699999999999818,FALSE
9,"Pteropus lylei",3909,3908.1,-0.899999999999636,FALSE
10,"Pteropus mahaganus",3313,3312.2,-0.800000000000182,FALSE
11,"Pteropus neohibernicus",5920,5920.3,0.299999999999272,FALSE
12,"Pteropus poliocephalus",4505,4506,1,FALSE
13,"Pteropus samoensis",3680,3679.3,-0.699999999999818,FALSE
14,"Pteropus scapulatus",3435,3434.5,-0.5,FALSE
15,"Pteropus temmincki",3112,3112,0,FALSE
16,"Pteropus tonganus",3871,3871.2,0.199999999999818,FALSE
17,"Pteropus vampyrus",5964,5964.5,0.5,FALSE
18,"Dobsonia inermis",1714,1714.4,0.400000000000091,FALSE
19,"D. moluccensis magna §)",3339,3339,0,FALSE
20,"D. molucc. anderseni §)",2476,2476,0,FALSE
21,"Dobsonia praedatrix",1901,1900.7,-0.300000000000182,FALSE
22,"Hypsignathus monstrosus",1954,1954,0,FALSE
23,"Epomops franqueti",1254,1254.4,0.400000000000091,FALSE
24,"Epomophorus labiatus",939.2,939.2,0,FALSE
25,"Micropteropus pusillus",491.8,491.8,0,FALSE
26,"Scotonycteris zenkeri",423.8,423.83,0.0300000000000296,FALSE
27,"Casinycteris argynnis",479.3,479.4,0.0999999999999659,FALSE
28,"Cynopterus brachyotis",606.3,606.3,0,FALSE
29,"Cynopterus horsfieldi",843.9,844,0.100000000000023,FALSE
30,"Cynopterus sphinx sphinx",727.1,727.1,0,FALSE
31,"Megaerops ecaudatus",502.3,502.4,0.100000000000023,FALSE
32,"Chironax melanocephalus",375.9,375.93,0.0300000000000296,FALSE
33,"Sphaerias blanfordi",476.2,476.2,0,FALSE
34,"Balionycteris maculata",317.5,317.54,0.0399999999999636,FALSE
35,"Nyctimene albiventer",493,493,0,FALSE
36,"Nyctimene robinsoni",749,749,0,FALSE
