"species_row","common_name","binomial","pathway_group","linear_magnification_mm_per_deg","ganglion_cell_acuity_cyc_per_deg","ratio_cyc_per_mm","data_role"
1,"human","Homo sapiens","retinogeniculate-dominant",15,60,4,"secondary"
2,"marmoset","Callithrix jacchus","retinogeniculate-dominant",2,12,6,"secondary"
3,"aotus",,"retinogeniculate-dominant",1.2,9,7.5,"secondary"
4,"agouti",,"retinogeniculate-dominant",0.8,9,11,"secondary"
5,"cat","Felis catus","retinogeniculate-dominant",1,12,12,"secondary"
6,"Tammar wallaby","Notamacropus eugenii","retinogeniculate-dominant",0.4,6,15,"secondary"
7,"ferret","Mustela putorius furo","retinogeniculate-dominant",0.2,4,20,"secondary"
8,"flying fox",,"retinogeniculate-dominant",0.2,5,25,"secondary"
9,"guinea pig","Cavia porcellus","retinotectal-dominant",0.06,1.8,30,"secondary"
10,"hedgehog",,"retinotectal-dominant",0.03,1,33,"secondary"
11,"mouse","Mus musculus","retinotectal-dominant",0.03,1,33,"secondary"
12,"rabbit","Oryctolagus cuniculus","retinotectal-dominant",0.15,6,40,"secondary"
13,"platypus","Ornithorhynchus anatinus","retinotectal-dominant",0.03,1.8,60,"primary"
