IntegrationLevel,Layer_I_II_junction_um_mean,Layer_I_II_junction_um_SD,Layer_II_III_junction_um_mean,Layer_II_III_junction_um_SD,Sampled_soma_depth_um_mean,Sampled_soma_depth_um_SD,Sampled_soma_size_um2_mean,Sampled_soma_size_um2_SD,Layer_III_IV_junction_um_mean,Layer_III_IV_junction_um_SD,Gray_white_matter_junction_um_mean,Gray_white_matter_junction_um_SD
Low,306,70,569,102,838,173,266,95,1499,254,3517,527
High,314,56,562,95,816,181,290,89,1471,170,3304,504
