Species,species_as_published,specimen_as_published,area_as_published,n_specimens,stratum,GLI_pct,source,source_role,source_location,data_role
Homo sapiens,human,human_B01,area44,1,all_layers,14.5684,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B01,area44,1,supragranular,14.233,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B01,area44,1,granular,15.273,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B01,area44,1,infragranular,15.106,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B06,area44,1,all_layers,14.0964,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B06,area44,1,supragranular,15.817,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B06,area44,1,granular,15.089,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B06,area44,1,infragranular,13.477,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B07,area44,1,all_layers,13.1033,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B07,area44,1,supragranular,14.063,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B07,area44,1,granular,17.148,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B07,area44,1,infragranular,13.21,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B10,area44,1,all_layers,12.8458,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B10,area44,1,supragranular,13.584,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B10,area44,1,granular,14.684,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Homo sapiens,human,human_B10,area44,1,infragranular,12.842,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan paniscus,bonobo,bonobo,area44,1,all_layers,11.6512,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan paniscus,bonobo,bonobo,area44,1,supragranular,11.316,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan paniscus,bonobo,bonobo,area44,1,granular,13.528,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan paniscus,bonobo,bonobo,area44,1,infragranular,12.252,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan troglodytes,chimpanzee,chimpanzee,area44,1,all_layers,13.3518,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan troglodytes,chimpanzee,chimpanzee,area44,1,supragranular,14.379,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan troglodytes,chimpanzee,chimpanzee,area44,1,granular,14.477,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pan troglodytes,chimpanzee,chimpanzee,area44,1,infragranular,13.675,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Gorilla gorilla,gorilla,gorilla,area44,1,all_layers,10.7266,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Gorilla gorilla,gorilla,gorilla,area44,1,supragranular,12.352,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Gorilla gorilla,gorilla,gorilla,area44,1,granular,11.142,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Gorilla gorilla,gorilla,gorilla,area44,1,infragranular,10.171,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pongo pygmaeus,orangutan,orangutan,area44,1,all_layers,11.7599,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pongo pygmaeus,orangutan,orangutan,area44,1,supragranular,13.284,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pongo pygmaeus,orangutan,orangutan,area44,1,granular,12.597,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Pongo pygmaeus,orangutan,orangutan,area44,1,infragranular,12.138,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Hylobates lar,gibbon,gibbon,area44,1,all_layers,9.974,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Hylobates lar,gibbon,gibbon,area44,1,supragranular,10.798,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Hylobates lar,gibbon,gibbon,area44,1,granular,12.461,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Hylobates lar,gibbon,gibbon,area44,1,infragranular,9.801,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Macaca fascicularis,macaque,macaque 1,area44,1,all_layers,10.8221,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Macaca fascicularis,macaque,macaque 1,area44,1,supragranular,12.773,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Macaca fascicularis,macaque,macaque 1,area44,1,granular,11.987,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Macaca fascicularis,macaque,macaque 1,area44,1,infragranular,9.775,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
Macaca fascicularis,macaque,macaque 3,area44,1,all_layers,10.4574,PalomeroGallagher_Zilles_2018_TableS3,founder,"Supplementary Table S3 (mmc1.xlsx, sheet 'Table S3'); values pertain Fig. 12",primary
