Species,area_as_published,stratum,GLI_pct_species_mean,n_specimens_contributing,source
Gorilla gorilla,area10,all_layers,15.87,1,Semendeferi_etal_2001_TABLE3
Gorilla gorilla,area10,granular,17.87,1,Semendeferi_etal_2001_TABLE3
Gorilla gorilla,area10,infragranular,15.05,1,Semendeferi_etal_2001_TABLE3
Gorilla gorilla,area10,supragranular,16.43,1,Semendeferi_etal_2001_TABLE3
Gorilla gorilla,area13,all_layers,14.62,1,Semendeferi_etal_1998_TABLE4
Gorilla gorilla,area13,granular,16.71,1,Semendeferi_etal_1998_TABLE4
Gorilla gorilla,area13,infragranular,15.32,1,Semendeferi_etal_1998_TABLE4
Gorilla gorilla,area13,supragranular,12.89,1,Semendeferi_etal_1998_TABLE4
Gorilla gorilla,area44,all_layers,10.7266,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area44,granular,11.142,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area44,infragranular,10.171,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area44,supragranular,12.352,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area45,all_layers,10.7239,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area45,granular,12.729,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area45,infragranular,9.857,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area45,supragranular,12.886,1,PalomeroGallagher_Zilles_2018_TableS3
Gorilla gorilla,area4_M1,all_layers,8.76,1,Sherwood_etal_2004_I_Table4
Gorilla gorilla,area4_M1,infragranular,8.295,1,Sherwood_etal_2004_I_Table4
Gorilla gorilla,area4_M1,supragranular,9.575,1,Sherwood_etal_2004_I_Table4
Homo sapiens,area10,all_layers,15.17,1,Semendeferi_etal_2001_TABLE3
Homo sapiens,area10,granular,18.04,1,Semendeferi_etal_2001_TABLE3
Homo sapiens,area10,infragranular,16.04,1,Semendeferi_etal_2001_TABLE3
Homo sapiens,area10,supragranular,14.4,1,Semendeferi_etal_2001_TABLE3
Homo sapiens,area13,all_layers,14.18,1,Semendeferi_etal_1998_TABLE4
Homo sapiens,area13,granular,15.09,1,Semendeferi_etal_1998_TABLE4
Homo sapiens,area13,infragranular,14.13,1,Semendeferi_etal_1998_TABLE4
Homo sapiens,area13,supragranular,13.79,1,Semendeferi_etal_1998_TABLE4
Homo sapiens,area44,all_layers,13.653475,4,PalomeroGallagher_Zilles_2018_TableS3
