Species,CorticalExposedSurface_Area.mm2,CorticalSurface_Area.mm2,CorticalThickness.mm,FoldingIndex_MHH,M1_Surface_Area.mm2,n_cortical_areas,FrontalMotor_Surface_Area.mm2,OtherAssociation_Surface_Area.mm2,Prefrontal_Surface_Area.mm2,V1_Surface_Area.mm2,V2_Surface_Area.mm2
Antidorcas marsupialis,4769,9623,1.669,2.018,NA,NA,NA,NA,NA,NA,NA
Aotus nancymaae,NA,2036.5,NA,NA,221.83,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,1633,2214,1.488,1.356,NA,23,NA,NA,NA,NA,NA
Atelerix albiventris,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
Bos taurus,NA,49849,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,1548,1953,1.6001536098310292,1.262,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,1306,1534,1.327,1.175,NA,22,167,993,148,341,NA
Callithrix sp.,NA,1649,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis familiaris,6023,10215.5,2.092,NA,NA,NA,NA,NA,NA,NA,NA
Capra hircus,NA,12005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavia porcellus,514,536.1,1.515388919977616,1.044,NA,NA,NA,NA,NA,NA,NA
Cebus apella,4518,7653,1.761,1.694,NA,NA,1822,8814,1260,1786,NA
Cercopithecus sp.,NA,14641,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheirogaleus sp.,NA,921,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condylura cristata,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
Damaliscus dorcas,8425,16915,2.169,2.008,NA,NA,NA,NA,NA,NA,NA
Dasyprocta prymnolopha,1206,1412.7,1.8459687123947053,1.171,NA,NA,NA,NA,NA,NA,NA
Dasypus sp.,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasyurus hallucatus,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
Dendrohyrax dorsalis,1394,1895.4,1.598,1.36,NA,NA,NA,NA,NA,NA,NA
Dendrolagus goodfellowi,2387,3064.2,1.644,NA,NA,NA,NA,NA,NA,NA,NA
Didelphis marsupialis,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
Didelphis sp.,NA,804,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinops telfairi,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
Elephas sp.,NA,301843,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus caballus,NA,56995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erinaceus europaeus,NA,575,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur macaco,NA,4054,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,2054,3908,1.772,NA,NA,22,NA,NA,NA,NA,NA
Giraffa camelopardalis,16662,40128,2.394,2.408,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,42557,103260.5,2.938,2.21,NA,50,6117,68355,30234,3495,NA
Hyaena hyaena,5182,8702,2.095,NA,NA,NA,NA,NA,NA,NA,NA
Hydrochoerus hydrochoeris,4603,6004.5,2.8139728536930635,1.304,NA,NA,NA,NA,NA,NA,NA
Hylobates lar,NA,NA,NA,NA,NA,NA,1651,10912,1839,1899,NA
Hylobates sp.,NA,16301,NA,NA,NA,NA,NA,NA,NA,NA,NA
