figure_id,functional_interaural_distance_us,high_freq_hearing_limit_kHz
Ef,55.7966226071059,106.342500351946
Ml,41.4823194797482,115.852761847095
Nl,87.7219138979827,111.362091884371
Ra,138.762373264572,64.0281898690842
Rf,55.7926895436888,102.896205131978
1,276.602421898069,68.8410910216144
2,60.4988151862968,78.021856492046
3,116.182936664877,76.4947754933287
4,170.75817377556,59.551774050535
5,136.706018645672,61.1421506948463
6,272.261451822322,43.4052852236769
7,219.587077645362,44.2717938954327
8,221.199698685141,42.2762645550398
9,211.773244133673,65.7381126945387
10,227.94616779502,50.5076494032799
11,304.291073225991,43.1202343540541
12,474.589090209156,34.465933782662
14,421.64519309213,40.9061962571161
15,460.71813005452,34.465933782662
16,400.400593648244,45.1556008587297
17,400.451401767048,47.914299398559
18,421.674916650853,42.2762645550398
19,579.990954387166,40.3706827184182
20,657.129829432734,23.0588920323534
21,870.541583685009,17.7165176586358
22,252.869453971435,49.1938881917886
23,123.204223088872,56.4940472440078
24,108.594502660992,52.5443674661784
25,290.769726250498,27.5485652920428
26,134.448687079661,26.1340652554299
27,121.190338572031,26.1340652554299
28,157.315344365557,48.8708224513624
29,113.100910380024,8.75382101225309
30,62.0651160487937,11.4688332575195
31,88.4733382883108,5.85660655141258
32,90.2153206583042,51.8564956341558
33,61.3846118090306,67.9398745890453
34,66.6102939742458,72.0905365060763
35,116.971837174154,56.4940472440078
36,64.1893210608206,74.0157705962958
37,87.6007976161909,58.3861983172564
38,64.6607197004029,70.6795461318984
39,151.717401522619,72.567098621994
40,151.700290765299,68.8410910216144
41,40.5496301041008,91.9927976001962
42,61.8615718553541,79.0568095236125
43,115.201040620106,46.3615164525225
44,162.053962890438,49.1938881917886
45,227.740585981287,33.1299696579631
46,437.640559272371,43.981052496439
47,258.824374766844,79.5794229240704
48,76.6597961703642,60.3417230707182
49,182.412562406199,42.5557362730475
50,376.8004483717,23.2113252768574
51,397.16784624776,32.6962567021807
52,3378.09356981239,10.4582305764106
53,687.571286813575,33.3489788262352
54,500.058976498786,40.9061962571161
55,1282.02978692425,35.1539843356981
56,682.654894573816,37.3016524745736
57,677.802323460426,42.5557362730475
58,80.8411317153269,105.644128666402
59,76.2340758337778,143.045582654408
60,266.136167295531,34.2395893560218
62,81.3556390910926,64.0281898690842
63,121.515404715624,91.3886631769377
64,80.7454513385086,60.740618412859
