status,join_key,category,species_file,species_v1lgn,n_measure_mismatch,V1_vv_mm3,LGN_vv_mm3,brain_vv_mm3,V1_ref,LGN_ref,brain_ref,V1_match,LGN_match,brain_match
V1LGN_only_not_in_comparison,avahi occidentalis,NA,NA,Avahi_occidentalis,2,NA,NA,NA,450.0,29.3,NA,FALSE,FALSE,TRUE
V1LGN_only_not_in_comparison,colobus angolensis,NA,NA,Colobus_angolensis,1,NA,NA,NA,NA,103.0,NA,TRUE,FALSE,TRUE
V1LGN_only_not_in_comparison,erythrocebus patas,NA,NA,Erythrocebus_patas,1,NA,NA,NA,NA,267.0,NA,TRUE,FALSE,TRUE
V1LGN_only_not_in_comparison,hylobates muelleri,NA,NA,Hylobates_muelleri,1,NA,NA,NA,NA,162.0,NA,TRUE,FALSE,TRUE
V1LGN_only_not_in_comparison,nasalis larvatus,NA,NA,Nasalis_larvatus,1,NA,NA,NA,NA,157.0,NA,TRUE,FALSE,TRUE
V1LGN_only_not_in_comparison,pygathrix nemaeus,NA,NA,Pygathrix_nemaeus,1,NA,NA,NA,NA,115.0,NA,TRUE,FALSE,TRUE
matched_by_species,alouatta seniculus,Simians,Alouatta seniculus,Alouatta_seniculus,0,1918,87.4,50193.05019305019,1918.0,87.4,50193.05,TRUE,TRUE,TRUE
matched_by_species,aotus trivirgatus,Simians,Aotus trivirgatus,Aotus_trivirgatus,0,996,32.9,16505.791505791505,996.0,32.9,16505.79,TRUE,TRUE,TRUE
matched_by_species,ateles geoffroyi,Simians,Ateles geoffroyi,Ateles_geoffroyi,0,3753,151,104247.10424710425,3753.0,151.0,104247.1,TRUE,TRUE,TRUE
matched_by_species,avahi laniger,Prosimians,Avahi laniger,Avahi_laniger,2,458.3333333333333,28.733333333333324,9597.812097812097,475.0,27.6,NA,FALSE,FALSE,NA
matched_by_species,callithrix jacchus,Simians,Callithrix jacchus,Callithrix_jacchus,0,566,25.1,7335.907335907334,566.0,25.1,7335.91,TRUE,TRUE,TRUE
matched_by_species,callithrix pygmaea,Simians,Cebuella pygmaea,Callithrix_pygmaea,0,363,16.9,4343.6293436293445,363.0,16.9,4343.63,TRUE,TRUE,TRUE
matched_by_species,cebus albifrons,Simians,Cebus albifrons,Cebus_albifrons,0,3764,137,68532.8185328185,3764.0,137.0,68532.82,TRUE,TRUE,TRUE
matched_by_species,cercopithecus ascanius,Simians,Cercopithecus ascanius,Cercopithecus_ascanius,0,4272,147,64671.81467181468,4272.0,147.0,64671.81,TRUE,TRUE,TRUE
matched_by_species,cercopithecus mitis,Simians,Cercopithecus mitus,Cercopithecus_mitis,0,4232,150,72393.82239382238,4232.0,150.0,72393.82,TRUE,TRUE,TRUE
