status,join_key,category,species_file,species_sup,n_measure_mismatch,n_expected_correction,brain_vv,neo_vv,V1_vv,LGN_vv,species_as_published,neocortex_was_corrected,brain_sup,neo_sup,V1_sup,LGN_sup,brain_match,neo_match,V1_match,LGN_match,neo_expected_correction
matched_by_species,alouatta seniculus,Simians,Alouatta seniculus,Alouatta seniculus,0,0,50.1930501930502,31.66,1.9179999999999995,0.08739999999999999,Alouatta seniculus,FALSE,50.2,31.7,1.9,0.087,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,aotus trivirgatus,Simians,Aotus trivirgatus,Aotus trivirgatus,0,0,16.505791505791503,9.950000000000001,0.996,0.0329,Aotus trivirgatus,FALSE,16.5,10,1,0.033,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,ateles geoffroyi,Simians,Ateles geoffroyi,Ateles geoffroyi,0,0,104.24710424710428,70.85599999999998,3.753,0.15100000000000002,Ateles geoffroyi,FALSE,104.2,70.9,3.8,0.151,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,avahi laniger,Prosimians,Avahi laniger,Avahi laniger,0,1,9.597812097812097,15,0.45833333333333326,0.028733333333333336,Avahi laniger,TRUE,9.6,4.813,0.5,0.029,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,callithrix jacchus,Simians,Callithrix jacchus,Callithrix jacchus,0,0,7.335907335907336,4.371,0.566,0.025099999999999997,Callithrix jacchus,FALSE,7.3,4.4,0.6,0.025,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,callithrix pygmaea,Simians,Cebuella pygmaea,Cebuella pygmaea,0,0,4.3436293436293445,2.5349999999999997,0.36300000000000004,0.0169,Cebuella pygmaea,FALSE,4.3,2.5,0.4,0.017,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,cebus albifrons,Simians,Cebus albifrons,Cebus albifrons,0,0,68.5328185328185,46.429,3.7640000000000002,0.137,Cebus albifrons,FALSE,68.5,46.4,3.8,0.137,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,cercopithecus ascanius,Simians,Cercopithecus ascanius,Cercopithecus ascanius,0,0,64.67181467181467,45.16600000000001,4.272,0.14700000000000002,Cercopithecus ascanius,FALSE,64.7,45.2,4.3,0.147,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,cercopithecus mitis,Simians,Cercopithecus mitus,Cercopithecus mitis,0,0,72.39382239382238,49.933,4.232,0.15000000000000002,Cercopithecus mitus,FALSE,72.4,49.9,4.2,0.15,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,cheirogaleus major,Prosimians,Cheirogaleus major,Cheirogaleus major,0,1,6.563706563706562,16.3,0.43300000000000005,0.0215,Cheirogaleus major,TRUE,6.6,2.938,0.4,0.022,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,cheirogaleus medius,Prosimians,Cheirogaleus medius,Cheirogaleus medius,0,1,3.0308880308880304,12.6,0.199,0.0108,Cheirogaleus medius,TRUE,3,1.221,0.2,0.011,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,daubentonia madagascariensis,Prosimians,Daubentonia madagascariensis,Daubentonia madagascariensis,0,1,43.58108108108107,36,1.113,0.058499999999999996,Daubentonia madagascariensis,TRUE,43.6,22.127,1.1,0.059,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,eulemur fulvus,Prosimians,Eulemur fulvus,Eulemur fulvus,0,1,22.49034749034749,31.6,1.2529999999999997,0.0518,Eulemur fulvus,TRUE,22.5,12.207,1.3,0.052,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,galago senegalensis,Prosimians,Galago senegalensis,Galago senegalensis,0,1,4.633204633204634,21.4,0.30100000000000005,0.016,Galago senegalensis,TRUE,4.6,2.139,0.3,0.016,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,galagoides demidoff,Prosimians,Galagoides demidoff,Galagoides demidoff,0,1,3.2625482625482625,27.4,0.21400000000000002,0.010900000000000002,Galagoides demidoff,TRUE,3.3,1.568,0.2,0.011,TRUE,NA,TRUE,TRUE,TRUE
matched_by_species,gorilla gorilla,Simians,Gorilla gorilla,Gorilla gorilla,0,0,398.6486486486487,283.7,9.129021317332858,0.30852476846310395,Gorilla gorilla,FALSE,398.6,283.7,9.1,0.309,TRUE,TRUE,TRUE,TRUE,FALSE
matched_by_species,homo sapiens,Simians,Homo sapiens,Homo sapiens,0,0,1258.3976833976835,991,15.247501158301157,0.335021920202671,Homo sapiens,FALSE,1258.4,991,15.2,0.335,TRUE,TRUE,TRUE,TRUE,FALSE
