check,key,detail
internal_units_Sheet1_vs_Sheet2,Tupaia glis,row 45; 2 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Tupaia minor,row 46; 2 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Urogale everetti,row 47; 2 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Tenrec ecaudatus,row 48; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Setifer setosus,row 49; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Hemicentetes semispin.,row 50; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Echinops telfairi,row 51; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Erinaceus algirus,row 52; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Erinaceus europaeus,row 53; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Sorex araneus,row 55; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Sorex minutus,row 56; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Crocidura flavescens,row 58; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Crocidura russula,row 60; 1 unit/alignment problem(s)
internal_units_Sheet1_vs_Sheet2,Suncus murinus,row 62; 1 unit/alignment problem(s)
vs_V1LGN,avahi occidentalis,V1LGN_only_not_in_comparison; 0 value mismatch(es)
vs_V1LGN,colobus angolensis,V1LGN_only_not_in_comparison; 0 value mismatch(es)
vs_V1LGN,erythrocebus patas,V1LGN_only_not_in_comparison; 0 value mismatch(es)
vs_V1LGN,hylobates muelleri,V1LGN_only_not_in_comparison; 0 value mismatch(es)
vs_V1LGN,nasalis larvatus,V1LGN_only_not_in_comparison; 0 value mismatch(es)
vs_V1LGN,pygathrix nemaeus,V1LGN_only_not_in_comparison; 0 value mismatch(es)
vs_V1LGN,avahi laniger,matched_by_species; 2 value mismatch(es)
vs_V1LGN,microcebus murinus,matched_by_species; 1 value mismatch(es)
