row_id,category,species_file,species_s2,species_rows_aligned,n_internal_problem,brain_cm3,brain_mm3,brain_s2,brain_mm3_eq_cm3x1000,brain_sheet1_eq_sheet2,neo_cm3,neo_mm3,neo_s2,neo_mm3_eq_cm3x1000,neo_sheet1_eq_sheet2,V1_cm3,V1_mm3,V1_s2,V1_mm3_eq_cm3x1000,V1_sheet1_eq_sheet2,LGN_cm3,LGN_mm3,LGN_s2,LGN_mm3_eq_cm3x1000,LGN_sheet1_eq_sheet2
28,Prosimians,Tarsius syrichta,Tarsius syrichta,TRUE,0,3.47490347490348,3474.90347490347,3474.90347490347,TRUE,TRUE,23.1,23100,23100,TRUE,TRUE,0.349,349,349,TRUE,TRUE,0.0208,20.8,20.8,TRUE,TRUE
29,Prosimians,Microcebus murinus,Microcebus murinus,TRUE,0,1.71814671814672,1718.14671814672,1718.14671814672,TRUE,TRUE,17,17000,17000,TRUE,TRUE,0.139,139,139,TRUE,TRUE,0.0071,7.1,7.1,TRUE,TRUE
30,Prosimians,Cheirogaleus major,Cheirogaleus major,TRUE,0,6.56370656370656,6563.70656370656,6563.70656370656,TRUE,TRUE,16.3,16300,16300,TRUE,TRUE,0.433,433,433,TRUE,TRUE,0.0215,21.5,21.5,TRUE,TRUE
31,Prosimians,Cheirogaleus medius,Cheirogaleus medius,TRUE,0,3.03088803088803,3030.88803088803,3030.88803088803,TRUE,TRUE,12.6,12600,12600,TRUE,TRUE,0.199,199,199,TRUE,TRUE,0.0108,10.8,10.8,TRUE,TRUE
32,Prosimians,Eulemur fulvus,Eulemur fulvus,TRUE,0,22.4903474903475,22490.3474903475,22490.3474903475,TRUE,TRUE,31.6,31600,31600,TRUE,TRUE,1.253,1253,1253,TRUE,TRUE,0.0518,51.8,51.8,TRUE,TRUE
33,Prosimians,Varecia variegata,Varecia variegata,TRUE,0,30.4054054054054,30405.4054054054,30405.4054054054,TRUE,TRUE,23.8,23800,23800,TRUE,TRUE,1.745,1745,1745,TRUE,TRUE,0.0689,68.9,68.9,TRUE,TRUE
34,Prosimians,Lepilemur ruficaudatus,Lepilemur ruficaudatus,TRUE,0,7.33590733590734,7335.90733590734,7335.90733590734,TRUE,TRUE,11.3,11300,11300,TRUE,TRUE,0.326,326,326,TRUE,TRUE,0.0156,15.6,15.6,TRUE,TRUE
35,Prosimians,Avahi laniger,Avahi laniger,TRUE,0,9.5978120978121,9597.8120978121,9597.8120978121,TRUE,TRUE,15,15000,15000,TRUE,TRUE,0.458333333333333,458.333333333333,458.333333333333,TRUE,TRUE,0.0287333333333333,28.7333333333333,28.7333333333333,TRUE,TRUE
36,Prosimians,Propithecus verreauxi,Propithecus verreauxi,TRUE,0,25.7722007722008,25772.2007722008,25772.2007722008,TRUE,TRUE,18.5,18500,18500,TRUE,TRUE,1.106,1106,1106,TRUE,TRUE,0.0645,64.5,64.5,TRUE,TRUE
37,Prosimians,Indri indri,Indri indri,TRUE,0,36.969111969112,36969.111969112,36969.111969112,TRUE,TRUE,19.1,19100,19100,TRUE,TRUE,1.648,1648,1648,TRUE,TRUE,0.0945,94.5,94.5,TRUE,TRUE
38,Prosimians,Daubentonia madagascariensis,Daubentonia madagascariensis,TRUE,0,43.5810810810811,43581.0810810811,43581.0810810811,TRUE,TRUE,36,36000,36000,TRUE,TRUE,1.113,1113,1113,TRUE,TRUE,0.0585,58.5,58.5,TRUE,TRUE
39,Prosimians,Loris tardigradius,Loris tardigradius,TRUE,0,6.37065637065637,6370.65637065637,6370.65637065637,TRUE,TRUE,24.4,24400,24400,TRUE,TRUE,0.529,529,529,TRUE,TRUE,0.0246,24.6,24.6,TRUE,TRUE
40,Prosimians,Nycticebus coucang,Nycticebus coucang,TRUE,0,12.0656370656371,12065.6370656371,12065.6370656371,TRUE,TRUE,23.3,23300,23300,TRUE,TRUE,0.696,696,696,TRUE,TRUE,0.0359,35.9,35.9,TRUE,TRUE
41,Prosimians,Perodicticus potto,Perodicticus potto,TRUE,0,13.5135135135135,13513.5135135135,13513.5135135135,TRUE,TRUE,19.7,19700,19700,TRUE,TRUE,0.495,495,495,TRUE,TRUE,0.0243,24.3,24.3,TRUE,TRUE
42,Prosimians,Galago senegalensis,Galago senegalensis,TRUE,0,4.63320463320463,4633.20463320463,4633.20463320463,TRUE,TRUE,21.4,21400,21400,TRUE,TRUE,0.301,301,301,TRUE,TRUE,0.016,16,16,TRUE,TRUE
43,Prosimians,Otolemur crassicaudatus,Otolemur crassicaudatus,TRUE,0,9.94208494208494,9942.08494208494,9942.08494208494,TRUE,TRUE,17.1,17100,17100,TRUE,TRUE,0.479,479,479,TRUE,TRUE,0.0232,23.2,23.2,TRUE,TRUE
44,Prosimians,Galagoides demidoff,Galagoides demidoff,TRUE,0,3.26254826254826,3262.54826254826,3262.54826254826,TRUE,TRUE,27.4,27400,27400,TRUE,TRUE,0.214,214,214,TRUE,TRUE,0.0109,10.9,10.9,TRUE,TRUE
