"source_row","Species_Schleifenbaum1973","Species","domestication_status","individual","individual_printed","sectioned_for_Table2","sex_printed","sex","age_printed","body_mass_g","brain_mass_mg","source_value_parenthesized","medulla_oblongata_mm3","cerebellum_mm3","mesencephalon_mm3","diencephalon_mm3","telencephalon_mm3","neocortex_mm3","striatum_mm3","allocortex_mm3","periventricular_matrix_mm3","olfactory_bulb_mm3","olfactory_allocortex_nucleus_amygdalae_mm3","nonolfactory_allocortex_mm3","septum_mm3","hippocampus_mm3","schizocortex_mm3","total_brain_volume_mm3"
15,"Großpudel","Canis lupus familiaris","domestic","19","19",FALSE,"♀","female","1 Monat",995,37330,FALSE,,,,,,,,,,,,,,,,
16,"Großpudel","Canis lupus familiaris","domestic","20","20",FALSE,"♀","female","2 Monate",3995,59650,FALSE,,,,,,,,,,,,,,,,
17,"Großpudel","Canis lupus familiaris","domestic","21","21",FALSE,"♀","female","3 Monate",7140,74690,FALSE,,,,,,,,,,,,,,,,
18,"Großpudel","Canis lupus familiaris","domestic","22","22",FALSE,"♂","male","8 Monate",11445,90250,FALSE,,,,,,,,,,,,,,,,
19,"Wölfe","Canis lupus","wild","10","10*",TRUE,"?","unknown","neonat",224,13000,TRUE,,,,,,,,,,,,,,,,
20,"Wölfe","Canis lupus","wild","11","11*",TRUE,"♂","male","1 Monat",1735,75200,FALSE,1744,6292,1830,3346,59356,52655,1599,5101,,1242,2852,2249,336,1372,542,72570
21,"Wölfe","Canis lupus","wild","12","12*",TRUE,"♂","male","3 Monate",7732,121200,FALSE,4336,11721,2751,6106,91907,81125,2733,8049,,2774,3935,4114,413,3211,490,117000
22,"Wölfe","Canis lupus","wild","13","13*",TRUE,"♂","male","6 Monate",13150,135000,FALSE,4303,13589,3097,5951,103470,92616,2893,7961,,3440,3987,3974,237,3137,600,125400
23,"Wölfe","Canis lupus","wild","23","23",FALSE,"♀","female","3 Wochen",448,49200,FALSE,,,,,,,,,,,,,,,,
24,"Wölfe","Canis lupus","wild","24","24",FALSE,"♀","female","3 Monate",5825,102000,FALSE,,,,,,,,,,,,,,,,
25,"Wölfe","Canis lupus","wild","25","25",FALSE,"♂","male","4 Monate",8975,152400,FALSE,,,,,,,,,,,,,,,,
26,"Wölfe","Canis lupus","wild","26","26",FALSE,"♂","male","4 Monate",8500,115700,FALSE,,,,,,,,,,,,,,,,
27,"Wölfe","Canis lupus","wild","27","27",FALSE,"♂","male","5 Monate",6345,119000,FALSE,,,,,,,,,,,,,,,,
28,"Wölfe","Canis lupus","wild","28","28",FALSE,"♂","male","5 Monate",10810,125000,FALSE,,,,,,,,,,,,,,,,
29,"Wölfe","Canis lupus","wild","29","29",FALSE,"♂","male","7 Monate",14055,117400,FALSE,,,,,,,,,,,,,,,,
30,"Wölfe","Canis lupus","wild","30","30",FALSE,"♀","female","7 Monate",18100,121000,FALSE,,,,,,,,,,,,,,,,
31,"Wölfe","Canis lupus","wild","31","31",FALSE,"♂","male","7 Monate",12250,132600,FALSE,,,,,,,,,,,,,,,,
32,"Wölfe","Canis lupus","wild","32","32",FALSE,"♀","female","9 Monate",17570,131800,FALSE,,,,,,,,,,,,,,,,
33,"Wölfe","Canis lupus","wild","33","33",FALSE,"♂","male","10 Monate",19257,162400,FALSE,,,,,,,,,,,,,,,,
