Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Ateles;fusciceps;Doué la Fontaine;Maya;f;adult;44;NA;10;0.273;0.27;1.809068067;ambipreferent;this study;;Platyrrhini
Ateles;fusciceps;Doué la Fontaine;Cosette;f;adult;40;NA;9;1;1;6.32455532;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Bonny;f;adult;44;NA;7;1;1;6.633249581;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Pepe;m;adult;34;NA;15;0.706;0.71;4.115966043;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Sally;f;adult;47;NA;17;-0.915;0.91;-6.272194634;left;this study;;Platyrrhini
Ateles;fusciceps;Landau;Conchita;f;adult;33;NA;11;-0.455;0.45;-2.611164839;left;this study;;Platyrrhini
Ateles;fusciceps;Landau;Tina;f;adult;34;NA;11;1;1;5.830951895;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Ellie;f;adult;31;NA;15;0.29;0.29;1.616447718;ambipreferent;this study;;Platyrrhini
Ateles;fusciceps;Landau;Ella;f;adult;61;NA;32;0.508;0.51;3.969143278;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Luca;m;adult;39;NA;15;1;1;6.244997998;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Matilda;f;juvenile;36;NA;18;0.889;0.89;5.333333333;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Matheo;m;adult;39;NA;19;0.487;0.49;3.042434922;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Hexe;f;adult;50;NA;26;0.96;0.96;6.788225099;right;this study;;Platyrrhini
Ateles;fusciceps;Landau;Tuja;f;adult;75;NA;28;0.307;0.31;2.655811238;right;this study;;Platyrrhini
Ateles;fusciceps;Osnabrück;Nevile;m ;adult;44;NA;16;0.727;0.73;4.824181513;right;this study;;Platyrrhini
Ateles;fusciceps;Osnabrück;Ronja;f ;adult;40;NA;18;1;1;6.32455532;right;this study;;Platyrrhini
Ateles;fusciceps;Osnabrück;Isabell;f;adult;39;NA;11;-0.949;0.95;-5.924741691;left;this study;;Platyrrhini
Ateles;fusciceps;Osnabrück;female_1;f;juvenile;37;NA;7;1;1;6.08276253;left;this study;;Platyrrhini
Ateles;fusciceps;Wuppertal;Steffi;f;adult;41;NA;14;-1;1;-6.403124237;left;this study;;Platyrrhini
