Genus;Species;Location;Subject;Sex;Age;#insertions;Notes on insertions;#bouts;HI;AbsHI;z-score;Category;References;General notes;Clade
Leontopithecus;chrysomelas;Mulhouse;female_4;f;adult;74;NA;30;0.892;0.89;7.672344157;right;this study;;Platyrrhini
Leontopithecus;chrysomelas;Mulhouse;male_6;m;adult;35;NA;14;0.2;0.2;1.183215957;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysomelas;Karlsruhe;male_7;m;adult;33;NA;7;-0.515;0.52;-2.959320151;left;this study;;Platyrrhini
Leontopithecus;chrysomelas;Karlsruhe;male_8;m;adult;37;NA;19;0.243;0.24;1.479590886;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysomelas;Karlsruhe;male_9;m;adult;55;NA;22;0.491;0.49;3.640679257;right;this study;;Platyrrhini
Leontopithecus;chrysomelas;Karlsruhe;female_5;f;adult;39;NA;14;0.333;0.33;2.081665999;right;this study;;Platyrrhini
Leontopithecus;chrysomelas;Stuttgart;male_10;m;adult;51;NA;20;-0.765;0.76;-5.461092328;left;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Benjamin;m;adult;62;NA;26;0.032;0.03;0.254000254;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Breno;m;adult;66;NA;18;0.455;0.45;3.692744729;right;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Bruna;f;adult;51;NA;20;0.765;0.76;5.461092328;right;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;male_1;m;adult;34;NA;17;-0.059;0.06;-0.34299717;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;male_2;m;adult;32;NA;15;-0.25;0.25;-1.414213562;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Bombom;f;adult;55;NA;12;-1;1;-7.416198487;left;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Kinha;f;adult;59;NA;25;0.186;0.19;1.432078021;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Junior;m;adult;49;NA;8;-0.469;0.47;-3.285714286;left;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Camila;f;adult;55;NA;30;0.236;0.24;1.752919642;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Yanna;f;adult;33;NA;15;-0.03;0.03;-0.174077656;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Matheus;m;adult;63;NA;15;-0.365;0.37;-2.897727626;left;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Leonidas;m;adult;81;NA;27;-0.16;0.16;-1.444444444;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Caué;m;adult;30;NA;14;0.333;0.33;1.825741858;ambipreferent;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Omerinho;m;adult;43;NA;11;0.535;0.53;3.507467118;right;this study;;Platyrrhini
Leontopithecus;chrysopygus;Sao Paulo;Sandy;f;adult;51;NA;25;0.373;0.37;2.66053216;right;this study;;Platyrrhini
Leontopithecus;rosalia;Sao Paulo;Paula;f;adult;44;NA;12;-0.318;0.32;-2.110579412;left;this study;;Platyrrhini
Leontopithecus;rosalia;Sao Paulo;male_1;m;adult;51;NA;20;0.255;0.25;1.820364109;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Sao Paulo;male_2;m;adult;39;NA;17;-0.231;0.23;-1.441153384;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Sao Paulo;Carmen;f;adult;44;NA;7;-0.409;0.41;-2.713602101;left;this study;;Platyrrhini
Leontopithecus;rosalia;Apeldoorn;male_3;m;juvenile;106;NA;41;0.415;0.42;4.273657794;right;this study;;Platyrrhini
Leontopithecus;rosalia;Apeldoorn;male_4;m;adult;44;NA;13;0.636;0.64;4.221158824;right;this study;;Platyrrhini
Leontopithecus;rosalia;Apeldoorn;Munay;m;adult;56;NA;17;-1;1;-7.483314774;left;this study;;Platyrrhini
Leontopithecus;rosalia;Apeldoorn;male_5;m;juvenile;42;NA;18;0.19;0.19;1.2344268;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Apeldoorn;male_6;m;infant;42;NA;14;1;1;6.480740698;right;this study;;Platyrrhini
Leontopithecus;rosalia;Apeldoorn;male_7;m;infant;43;NA;21;-0.767;0.77;-5.032452821;left;this study;;Platyrrhini
Leontopithecus;rosalia;Basel;male_8;m;adult;49;NA;11;-0.673;0.67;-4.714285714;left;this study;;Platyrrhini
Leontopithecus;rosalia;Basel;male_9;m;adult;34;NA;12;-0.412;0.41;-2.400980192;left;this study;;Platyrrhini
Leontopithecus;rosalia;Basel;Lilian;f;adult;36;NA;12;-0.667;0.67;-4;left;this study;;Platyrrhini
Leontopithecus;rosalia;Doué la Fontaine;Medo;m;adult;56;NA;9;-0.036;0.04;-0.267261242;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Frankfurt;Andreas;m;adult;56;NA;19;-0.393;0.39;-2.939873661;left;this study;;Platyrrhini
Leontopithecus;rosalia;Frankfurt;male_10;m;adult;46;NA;24;-0.783;0.78;-5.307910422;left;this study;;Platyrrhini
Leontopithecus;rosalia;Frankfurt;male_11;m;adult;41;NA;25;-0.854;0.85;-5.466081666;left;this study;;Platyrrhini
Leontopithecus;rosalia;Landau;LD385;f;adult;66;NA;12;0.545;0.55;4.431293675;right;this study;;Platyrrhini
Leontopithecus;rosalia;Magdeburg;male_12;m;adult;40;NA;14;0.2;0.2;1.264911064;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Magdeburg;male_13;m;juvenile;33;NA;17;0.152;0.15;0.87038828;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Münster;Eva;f;adult;30;NA;8;1;1;5.477225575;right;this study;;Platyrrhini
Leontopithecus;rosalia;Münster;Meira;f;adult;31;NA;22;0.161;0.16;0.89802651;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Münster;Benizio;m;adult;38;NA;16;0.895;0.89;5.515528318;right;this study;;Platyrrhini
Leontopithecus;rosalia;Münster;Lutz;m;adult;47;NA;24;-0.149;0.15;-1.02105494;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Duisburg;Mala;f;adult;55;NA;12;0.127;0.13;0.943879807;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Duisburg;male_14;m;adult;44;NA;17;0.955;0.95;6.331738236;right;this study;;Platyrrhini
Leontopithecus;rosalia;Heidelberg;Alfredo;m;adult;39;NA;22;-0.026;0.03;-0.160128154;ambipreferent;this study;;Platyrrhini
Leontopithecus;rosalia;Heidelberg;4070;m;adult;30;NA;19;0.8;0.8;4.38178046;right;this study;;Platyrrhini
Macaca;fascicularis;University of Fribourg;Mk-AN;f;adult;NA;# insertions > 30;NA;1;1;NA;right;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-AT;f;adult;NA;# insertions > 30;NA;-0.6;0.6;NA;left;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-CA;f;adult;NA;# insertions > 30;NA;0.1;0.1;NA;ambipreferent;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-DI;f;adult;NA;# insertions > 30;NA;0.7;0.7;NA;right;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-LO;f;adult;NA;# insertions > 30;NA;-0.9;0.9;NA;left;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-MA;f;adult;NA;# insertions > 30;NA;-1;1;NA;left;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-MI ;f;adult;NA;# insertions > 30;NA;-1;1;NA;left;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;University of Fribourg;Mk-TH;f;adult;NA;# insertions > 30;NA;0.7;0.7;NA;right;Chatagny et al. 2013;HI approximated to 0.1  from diagram representation;Cercopithecoidea
Macaca;fascicularis;Basel;Manasuka;m;adult;40;NA;26;-0.9;0.9;-5.692099788;left;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Kera;m;adult;44;NA;24;0.864;0.86;5.728715547;right;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Jari;f;adult;42;NA;29;0.429;0.43;2.777460299;right;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Emas;f;adult;32;NA;21;0.625;0.63;3.535533906;right;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Palau;f;adult;64;NA;29;-0.031;0.03;-0.25;ambipreferent;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Minggu;m;adult;33;NA;18;0.394;0.39;2.263009527;right;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Dadu;m;adult;46;NA;27;-1;1;-6.782329983;left;this study;;Cercopithecoidea
Macaca;fascicularis;Basel;Bujuk;m;adult;43;NA;10;0.349;0.35;2.287478555;right;this study;;Cercopithecoidea
Macaca;fascicularis;Hamm;Angela;f;adult;61;NA;27;-0.902;0.9;-7.042028396;left;this study;;Cercopithecoidea
Macaca;fascicularis;Hamm;Maite;f;adult;30;NA;22;0.667;0.67;3.651483717;right;this study;;Cercopithecoidea
Macaca;fascicularis;Mönchengladbach;male_1;m;adult;45;NA;29;-0.867;0.87;-5.813776741;left;this study;;Cercopithecoidea
Macaca;fascicularis;Hamm;male_2;m;adult;64;NA;50;0.656;0.66;5.25;right;this study;;Cercopithecoidea
Macaca;nemestrina;Tabanan;Wukong;m;adult;50;NA;16;0.16;0.16;1.13137085;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Tabanan;Garen;m;adult;43;NA;15;-0.581;0.58;-3.812464258;left;this study;;Cercopithecoidea
Macaca;nemestrina;Tabanan;Leona;f;adult;35;NA;15;0.886;0.89;5.239956379;right;this study;;Cercopithecoidea
Macaca;nemestrina;Tabanan;Vayne;f;adult;82;NA;17;-0.122;0.12;-1.104315261;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;Nakie;m;adult;34;NA;18;0.882;0.88;5.144957554;right;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;Cloé;f;adult;56;NA;23;0;0;0;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;Nikki;f;adult;39;NA;16;0.795;0.79;4.963972768;right;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;male_1;m;adult;31;NA;7;-1;1;-5.567764363;left;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;Pela;f;adult;54;NA;39;-0.111;0.11;-0.816496581;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;Jopie;m;juvenile;41;NA;17;-0.415;0.41;-2.654953952;left;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;female_1;f;adult;33;NA;20;-0.879;0.88;-5.048252023;left;this study;;Cercopithecoidea
Macaca;nemestrina;Arnhem;Lobbe;m;adult;51;NA;16;-1;1;-7.141428429;left;this study;;Cercopithecoidea
Macaca;nemestrina;Osnabrück;male_2;m;adult;54;NA;28;0.704;0.7;5.171145013;right;this study;;Cercopithecoidea
Macaca;nemestrina;Osnabrück;male_3;m;adult;31;NA;13;-0.613;0.61;-3.412500739;left;this study;;Cercopithecoidea
Macaca;nemestrina;Osnabrück;male_4;m;adult;44;NA;23;-0.773;0.77;-5.125692858;left;this study;;Cercopithecoidea
Macaca;nemestrina;Osnabrück;female_2;f;adult;31;NA;17;0.935;0.94;5.208553759;right;this study;;Cercopithecoidea
Macaca;nemestrina;Osnabrück;female_3;f;adult;57;NA;27;0.579;0.58;4.370956778;right;this study;;Cercopithecoidea
Macaca;nemestrina;Osnabrück;female_4;f;adult;64;NA;42;0.531;0.53;4.25;right;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;male_5;m;adult;31;NA;25;-0.032;0.03;-0.179605302;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;male_6;m;adult;37;NA;20;0.946;0.95;5.753964556;right;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;female_5;f;adult;31;NA;22;-0.677;0.68;-3.771711343;left;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;juvenile_1;NA;juvenile;30;NA;21;0;0;0;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;male_7;m;adult;50;NA;31;0.08;0.08;0.565685425;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;male_8;m;adult;30;NA;21;-0.2;0.2;-1.095445115;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;female_6;f;adult;33;NA;24;0.091;0.09;0.522232968;ambipreferent;this study;;Cercopithecoidea
Macaca;nemestrina;Gelsenkirchen;female_7;f;adult;30;NA;15;0.467;0.47;2.556038602;right;this study;;Cercopithecoidea
Macaca;nemestrina;Berlin (Tierpark);Horst;m;adult;64;NA;57;0.375;0.38;3;right;this study;;Cercopithecoidea
Macaca;nemestrina;Berlin (Tierpark);Kaspar;m;adult;36;NA;25;0.722;0.72;4.333333333;right;this study;;Cercopithecoidea
Macaca;nemestrina;Berlin (Tierpark);Philipp;m;adult;30;NA;12;-0.733;0.73;-4.016632088;left;this study;;Cercopithecoidea
Macaca;silenus;Apeldoorn;Salena;f;adult;41;NA;31;-0.171;0.17;-1.093216333;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Apeldoorn;Sysoe;f;adult;31;NA;13;0.871;0.87;4.849343155;right;this study;;Cercopithecoidea
Macaca;silenus;Apeldoorn;Rajaja;f;adult;37;NA;23;-0.297;0.3;-1.80838886;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Apeldoorn;Heather;f;adult;37;NA;22;-0.351;0.35;-2.137186835;left;this study;;Cercopithecoidea
Macaca;silenus;Hodenhagen;male_1;m;adult;43;NA;26;0.302;0.3;1.982481414;right;this study;;Cercopithecoidea
Macaca;silenus;Hodenhagen;male_2;m;adult;48;NA;19;-0.5;0.5;-3.464101615;left;this study;;Cercopithecoidea
Macaca;silenus;Hodenhagen;male_3;m;adult;50;NA;18;0.2;0.2;1.414213562;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Hodenhagen;Daniel;m;adult;61;NA;22;-0.541;0.54;-4.225217038;left;this study;;Cercopithecoidea
Macaca;silenus;Hodenhagen;male_4;m;adult;39;NA;16;0.641;0.64;4.003203845;right;this study;;Cercopithecoidea
Macaca;silenus;Hodenhagen;male_5;m;adult;60;NA;21;0.967;0.97;7.487767803;right;this study;;Cercopithecoidea
Macaca;silenus;Bekesbourne;Spock;m;adult;32;NA;13;-0.5;0.5;-2.828427125;left;this study;;Cercopithecoidea
Macaca;silenus;Bekesbourne;Brother A;m;adult;33;NA;15;0.636;0.64;3.655630775;right;this study;;Cercopithecoidea
Macaca;silenus;Bekesbourne;Kundali;m;adult;34;NA;14;-0.941;0.94;-5.487954725;left;this study;;Cercopithecoidea
Macaca;silenus;Duisburg;male_6;m;adult;54;NA;47;0.148;0.15;1.088662108;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Duisburg;male_7;m;adult;90;NA;53;-0.578;0.58;-5.481281278;left;this study;;Cercopithecoidea
Macaca;silenus;Duisburg;female_1;f;adult;72;NA;52;0.139;0.14;1.178511302;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Hassan;m;adult;69;NA;49;-0.217;0.22;-1.805787796;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Nashik;m;adult;41;NA;28;0.024;0.02;0.156173762;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Aimée;f;adult;39;NA;15;-1;1;-6.244997998;left;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Malur;m;juvenile;37;NA;23;-0.514;0.51;-3.123580759;left;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Manthani;m;adult;119;NA;70;0.664;0.66;7.241918127;right;this study;;Cercopithecoidea
Macaca;silenus;Rheine;female_2;f;adult;50;NA;28;0.08;0.08;0.565685425;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Nicole;f;juvenile;42;NA;29;0.095;0.1;0.6172134;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Rheine;female_3;f;adult;42;NA;38;0.143;0.14;0.9258201;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Rheine;Nala;f;adult;66;NA;38;0.333;0.33;2.708012802;right;this study;;Cercopithecoidea
Macaca;silenus;Dresden;Brian;m;adult;50;NA;23;-0.68;0.68;-4.808326112;left;this study;;Cercopithecoidea
Macaca;silenus;Dresden;female_4;f;adult;48;NA;10;0.958;0.96;6.639528096;right;this study;;Cercopithecoidea
Macaca;silenus;Dresden;female_5;f;adult;81;NA;26;-0.259;0.26;-2.333333333;left;this study;;Cercopithecoidea
Macaca;silenus;Dresden;female_6;f;adult;66;NA;15;-0.152;0.15;-1.23091491;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Cologne;Obi;m;adult;39;NA;20;1;1;6.244997998;right;this study;;Cercopithecoidea
Macaca;silenus;Cologne;Annette;f;adult;55;NA;13;-0.564;0.56;-4.180039147;left;this study;;Cercopithecoidea
Macaca;silenus;Berlin (Zoo);male_8;m;adult;39;NA;29;-0.538;0.54;-3.36269123;left;this study;;Cercopithecoidea
Macaca;silenus;Berlin (Zoo);female_7;f;adult;33;NA;24;0.091;0.09;0.522232968;ambipreferent;this study;;Cercopithecoidea
Macaca;silenus;Berlin (Zoo);female_8;f;adult;44;NA;33;-0.727;0.73;-4.824181513;left;this study;;Cercopithecoidea
Macaca;silenus;Berlin (Zoo);female_9;f;adult;30;NA;18;-0.533;0.53;-2.921186973;left;this study;;Cercopithecoidea
Macaca;sylvanus;Parco Natura Viva, Verona;Belle;f;adult;53;NA;NA;-0.96;0.96;-6.87;left;Regaiolli et al., 2018;;Cercopithecoidea
Macaca;sylvanus;Parco Natura Viva, Verona;Emma;f;adult;31;NA;NA;0.81;0.81;4.31;right;Regaiolli et al., 2018;;Cercopithecoidea
Macaca;sylvanus;La Forêt des Singes, Rocamadour;W P224;f;adult;NA;# insertions > 30;32;-1;1;NA;left;Schmitt et al., 2008;;Cercopithecoidea
Macaca;sylvanus;Parco Natura Viva, Verona;Avis;m;adult;44;NA;NA;0.91;0.91;5.88;right;Regaiolli et al., 2018;;Cercopithecoidea
Macaca;sylvanus;Parco Natura Viva, Verona;Fulvio;m;adult;40;NA;NA;0.95;0.95;5.85;right;Regaiolli et al., 2018;;Cercopithecoidea
Macaca;sylvanus;Parco Natura Viva, Verona;Lime;m;adult;39;NA;NA;0.85;0.85;5.12;right;Regaiolli et al., 2018;;Cercopithecoidea
Macaca;sylvanus;Parco Natura Viva, Verona;Lucky;m;adult;40;NA;NA;-0.05;0.05;-0.16;ambipreferent;Regaiolli et al., 2018;;Cercopithecoidea
Macaca;sylvanus;La Forêt des Singes, Rocamadour;M E381;m;adult;NA;# insertions > 30;33;-0.576;0.576;NA;left;Schmitt et al., 2008;;Cercopithecoidea
Macaca;sylvanus;La Forêt des Singes, Rocamadour;M R247;m;adult;NA;# insertions > 30;44;0.591;0.591;NA;right;Schmitt et al., 2008;;Cercopithecoidea
Macaca;sylvanus;Aachen;male_1;m;adult;43;NA;17;-0.163;0.16;-1.067489992;ambipreferent;this study;;Cercopithecoidea
Macaca;sylvanus;Aachen;male_2;m;adult;61;NA;10;-0.869;0.87;-6.785954636;left;this study;;Cercopithecoidea
Macaca;sylvanus;Aachen;female_1;f;adult;47;NA;18;-0.106;0.11;-0.729324957;left;this study;;Cercopithecoidea
Macaca;sylvanus;Aachen;female_2;f;adult;32;NA;13;-0.813;0.81;-4.596194078;left;this study;;Cercopithecoidea
Macaca;sylvanus;Aachen;female_3;f;adult;35;NA;24;0.886;0.89;5.239956379;right;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;male_3;m;adult;42;NA;7;-1;1;-6.480740698;left;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;female_4;f;adult;72;NA;42;0.417;0.42;3.535533906;right;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;female_5;f;adult;70;NA;15;-0.4;0.4;-3.346640106;left;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;Farih;f;adult;43;NA;9;-0.535;0.53;-3.507467118;left;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;female_6;f;adult;54;NA;16;0.667;0.67;4.898979486;right;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;Faizah;f;adult;44;NA;14;-0.909;0.91;-6.030226892;left;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;male_4;m;adult;48;NA;13;0.833;0.83;5.773502692;right;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;male_5;m;adult;40;NA;11;-0.6;0.6;-3.794733192;left;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;male_6;m;adult;49;NA;13;0.837;0.84;5.857142857;right;this study;;Cercopithecoidea
Macaca;sylvanus;Rheine;male_7;m;juvenile;50;NA;9;-0.36;0.36;-2.545584412;left;this study;;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Lady;f;NA;NA;# insertions > 100;NA;0.2;0.2;0.89;ambipreferent;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Vega;f;NA;NA;# insertions > 100;NA;-0.1;0.1;-0.45;ambipreferent;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Uruk;f;NA;NA;# insertions > 100;NA;-0.8;0.8;-3.58;left;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Patsy;f;NA;NA;# insertions > 100;NA;0;0;0;ambipreferent;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Olga;f;NA;NA;# insertions > 100;NA;-0.5;0.5;-2.24;left;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Neréis;f;NA;NA;# insertions > 100;NA;1;1;4.47;right;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Jeanne;f;NA;NA;# insertions > 100;NA;1;1;4.47;right;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Wallace;m;NA;NA;# insertions > 100;NA;0.8;0.8;3.58;right;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Wotan;m;NA;NA;# insertions > 100;NA;-0.5;0.5;-2.24;left;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Vishnu;m;NA;NA;# insertions > 100;NA;-0.8;0.8;-3.58;left;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Ulysse;m;NA;NA;# insertions > 100;NA;-0.4;0.4;-1.79;ambipreferent;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Ulrich;m;NA;NA;# insertions > 100;NA;-0.1;0.1;-0.45;ambipreferent;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Gaetan;m;NA;NA;# insertions > 100;NA;0.4;0.4;1.79;ambipreferent;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Macaca;tonkeana;Université de Strasbourg Primate Center;Shan;NA;NA;NA;# insertions > 100;NA;-1;1;-4.47;left;Canteloup et al., 2013;Data refer to metal tube task;Cercopithecoidea
Mandrillus;sphinx;Amsterdam;Kasamo;m;adult;33;NA;15;-1;1;-5.744562647;left;this study;;Cercopithecoidea
Mandrillus;sphinx;Amsterdam;Bélabo;f;adult;40;NA;15;0.75;0.75;4.74341649;right;this study;;Cercopithecoidea
Mandrillus;sphinx;Amsterdam;Dalila;f;adult;30;NA;22;1;1;5.477225575;right;this study;;Cercopithecoidea
Mandrillus;sphinx;Amsterdam;Chipo;f;adult;39;NA;23;0.436;0.44;2.722178615;right;this study;;Cercopithecoidea
Mandrillus;sphinx;Amsterdam;Denzell;m;juvenile;38;NA;23;-0.211;0.21;-1.297771369;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Amsterdam;Mosa;f;infant;30;NA;18;-0.267;0.27;-1.460593487;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Hamm;female_1;f;adult;35;NA;22;-0.657;0.66;-3.887709572;left;this study;;Cercopithecoidea
Mandrillus;sphinx;Hamm;female_2;f ;adult;35;NA;26;-0.314;0.31;-1.85933936;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Hamm;female_3;f ;adult;45;NA;30;-0.111;0.11;-0.745355992;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Hodenhagen;Rafiki;m;adult;47;NA;14;-0.191;0.19;-1.312784923;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Hodenhagen;female_4;f ;adult;44;NA;24;-0.136;0.14;-0.904534034;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Hodenhagen;male_1;m;juvenile;32;NA;25;-0.188;0.19;-1.060660172;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Hodenhagen;male_2;m;juvenile;68;NA;42;0.382;0.38;3.152963125;right;this study;;Cercopithecoidea
Mandrillus;sphinx;Hodenhagen;male_3;m;juvenile;34;NA;14;-0.647;0.65;-3.772968873;left;this study;;Cercopithecoidea
Mandrillus;sphinx;Hodenhagen;female_5;f;adult;64;NA;38;-0.406;0.41;-3.25;left;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Ebevu;m;adult;31;NA;16;0.226;0.23;1.257237114;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Nema;f;adult;31;NA;19;0.226;0.23;1.257237114;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Numbi;f;adult;51;NA;28;0.137;0.14;0.980196059;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Nedjenema;f;adult;41;NA;27;0.512;0.51;3.279649;right;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Lea;f;infant;45;NA;29;-0.244;0.24;-1.639783183;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Michel;m;juvenile;73;NA;32;-0.26;0.26;-2.223781797;left;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Ida;f;juvenile;68;NA;33;0.294;0.29;2.42535625;right;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Alma;f;juvenile;80;NA;32;0.025;0.03;0.223606798;ambipreferent;this study;;Cercopithecoidea
Mandrillus;sphinx;Magdeburg;Nyala;f;adult;34;NA;14;0.059;0.06;0.34299717;ambipreferent;this study;;Cercopithecoidea
