figure_label,clade,upstream_source,upstream_species,caption_ratio,audit_note
Homo sapiens,Anthropoids,Stephan_etal_1981,Homo sapiens sapiens,55.3,Source subspecies label shortened in figure.
Pan troglodytes,Anthropoids,Stephan_etal_1981,Pan troglodytes,,
Gorilla gorilla,Anthropoids,Stephan_etal_1981,Gorilla gorilla,,
Hylobates lar,Anthropoids,Stephan_etal_1981,Hylobates lar,,
Nasalis larvatus,Anthropoids,Stephan_etal_1981,Nasalis larvatus,,
Procolobus badius,Anthropoids,Stephan_etal_1981,Colobus badius,,Taxonomic relabeling in figure.
Papio hamadryas,Anthropoids,Stephan_etal_1981,Papio anubis,,Figure label differs from source species label.
Lophocebus albigena,Anthropoids,Stephan_etal_1981,Cercocebus albigena,,Taxonomic relabeling in figure.
Cercopithecus ascanius,Anthropoids,Stephan_etal_1981,Cercopithecus ascanius,,Figure tree truncates label to Cercopithecus ascan.
Saimiri sciureus,Anthropoids,Stephan_etal_1981,Saimiri sciureus,21.3,
Sapajus apella,Anthropoids,Stephan_etal_1981,Cebus sp.,,Taxonomic relabeling in figure.
Saguinus oedipus,Anthropoids,Stephan_etal_1981,Saguinus oedipus,,
Callithrix pygmaea,Anthropoids,Stephan_etal_1981,Cebuella pygmaea,13.3,"Figure tree and values identify the pygmy marmoset; caption instead says Callithrix jacchus and calls its thalamus estimated."
Lagothrix lagotricha,Anthropoids,Stephan_etal_1981,Lagothrix lagotricha,,
Ateles geoffroyi,Anthropoids,Stephan_etal_1981,Ateles geoffroyi,,
Tarsius bancanus,Tarsiers,Stephan_etal_1981,Tarsius sp.,,Figure supplies a species epithet absent from the upstream row.
Galagoides demidoff,Lorises and galagos,Stephan_etal_1981,Galago demidovii,,Taxonomic and spelling relabeling in figure.
Otolemur crassicaudatus,Lorises and galagos,Stephan_etal_1981,Galago crassicaudatus,,Taxonomic relabeling in figure.
Loris tardigradus,Lorises and galagos,Stephan_etal_1981,Loris tardigradus,,
Perodicticus potto,Lorises and galagos,Stephan_etal_1981,Perodicticus potto,,
Lepilemur ruficaudatus,Lemurs,Stephan_etal_1981,Lepilemur ruficaudatus,,
Eulemur fulvus,Lemurs,Stephan_etal_1981,Lemur fulvus,,Taxonomic relabeling in figure.
Propithecus verreauxi,Lemurs,Stephan_etal_1981,Propithecus verreauxi,,
Avahi laniger,Lemurs,Stephan_etal_1981,Avahi laniger occidentalis,,Source subspecies label shortened in figure.
Cheirogaleus major,Lemurs,Stephan_etal_1981,Cheirogaleus major,,
Microcebus murinus,Lemurs,Stephan_etal_1981,Microcebus murinus,9.4,
Tupaia glis,Scandentia,Stephan_etal_1981,Tupaia glis,6.8,
Cavia porcellus,Rodents,Campos_Welker_1976,Cavia porcellus,,Measurement source omitted from Figure 1 caption but cited as Ref. 31 in the text.
Hydrochoerus hydrochoerus,Rodents,Campos_Welker_1976,Hydrochoerus hydrochoerus,9.2,Figure tree truncates the label and uses Hydrochaeris; measurement source omitted from caption.
Erinaceus europaeus,Eulipotyphla,Stephan_etal_1981,Erinaceus europaeus,4.5,
Crocidura russula,Eulipotyphla,Stephan_etal_1981,Crocidura russula,,
Crocidura olivieri,Eulipotyphla,Stephan_etal_1981,Crocidura occidentalis,,Taxonomic relabeling in figure.
Suncus murinus,Eulipotyphla,Stephan_etal_1981,Suncus murinus,,
Sorex minutus,Eulipotyphla,Stephan_etal_1981,Sorex minutus,,
Sorex araneus,Eulipotyphla,Stephan_etal_1981,Sorex araneus,,
Hemicentetes semispinosus,Afrotheria,Stephan_etal_1981,Hemicentetes semispinosus,,Figure tree truncates label to Hemicentetes semisp.
Tenrec ecaudatus,Afrotheria,Stephan_etal_1981,Tenrec ecaudatus,,
Echinops telfairi,Afrotheria,Stephan_etal_1981,Echinops telfairi,,
Setifer setosus,Afrotheria,Stephan_etal_1981,Setifer setosus,,
