Species,measure_class,Measure,Units,Value,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,sex_scope,value_min,value_max
Callicebus caligatus,endocranial_volume,Endocranial_volume,mL,17.25,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,17.175,17.25
Callicebus cupreus,endocranial_volume,Endocranial_volume,mL,17.63,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,17.44,17.63
Callicebus discolor,endocranial_volume,Endocranial_volume,mL,17.53,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,17.0,17.53
Callicebus lugens,endocranial_volume,Endocranial_volume,mL,18.97,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,18.97,19.132
Callicebus medemi,endocranial_volume,Endocranial_volume,mL,19.44,1,1,1,True,Isler,primary,unknown,19.44,19.44
Callicebus moloch,endocranial_volume,Endocranial_volume,mL,15.4,1,1,0,False,Powell,secondary,both,15.4,15.4
Callicebus oenanthe,endocranial_volume,Endocranial_volume,mL,13.9,1,1,0,False,Powell,secondary,both,13.9,13.9
Callicebus personatus,endocranial_volume,Endocranial_volume,mL,20.2,1,1,0,False,Powell,secondary,both,20.2,20.2
Callicebus torquatus,endocranial_volume,Endocranial_volume,mL,19.774,1,1,0,False,Powell,secondary,both,19.774,19.774
Callimico goeldii,endocranial_volume,Endocranial_volume,mL,11.43,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,11.243,11.43
Callithrix argentata,endocranial_volume,Endocranial_volume,mL,7.95,1,1,1,True,Isler,primary,unknown,7.95,7.95
Callithrix aurita,endocranial_volume,Endocranial_volume,mL,8.425,1,1,0,False,Powell,secondary,both,8.425,8.425
Callithrix geoffroyi,endocranial_volume,Endocranial_volume,mL,9.775,1,1,0,False,Powell,secondary,both,9.775,9.775
Callithrix jacchus,endocranial_volume,Endocranial_volume,mL,7.24,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,6.6,7.487
Callithrix kuhlii,endocranial_volume,Endocranial_volume,mL,7.973,1,1,0,False,Powell,secondary,both,7.973,7.973
Callithrix penicillata,endocranial_volume,Endocranial_volume,mL,7.32,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,7.167,7.32
Callithrix pygmaea,endocranial_volume,Endocranial_volume,mL,4.17,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,4.17,7.0
Cebus albifrons,endocranial_volume,Endocranial_volume,mL,67.457,3,1,1,True,Isler,primary,unknown,60.92,76.0
Cebus albifrons,endocranial_volume,Endocranial_volume_female,mL,66.004,1,1,0,False,Powell,secondary,female,66.004,66.004
Cebus capucinus,endocranial_volume,Endocranial_volume,mL,72.93,1,1,1,True,Isler,primary,unknown,72.93,72.93
Cebus capucinus,endocranial_volume,Endocranial_volume_female,mL,69.22,1,1,0,False,Powell,secondary,female,69.22,69.22
Cebus libidinosus,endocranial_volume,Endocranial_volume,mL,64.69,1,1,1,True,Isler,primary,unknown,64.69,64.69
Cebus nigritus,endocranial_volume,Endocranial_volume,mL,66.977,3,1,1,True,Isler,primary,unknown,65.63,68.23
Cebus olivaceus,endocranial_volume,Endocranial_volume,mL,69.84,1,1,1,True,Isler,primary,unknown,69.84,69.84
Cebus olivaceus,endocranial_volume,Endocranial_volume_female,mL,70.086,1,1,0,False,Powell,secondary,female,70.086,70.086
Cebus xanthosternos,endocranial_volume,Endocranial_volume,mL,66.09,1,1,1,True,Isler,primary,unknown,66.09,66.09
Cercartetus concinnus,endocranial_volume,Endocranial_volume,mL,0.28,1,1,0,False,Seymour,secondary,unknown,0.28,0.28
Cercartetus nanus,endocranial_volume,Endocranial_volume,mL,0.55,1,1,0,False,Seymour,secondary,unknown,0.55,0.55
Cercocebus agilis,endocranial_volume,Endocranial_volume,mL,116.43,1,1,1,True,Isler,primary,unknown,116.43,116.43
Cercocebus agilis,endocranial_volume,Endocranial_volume_female,mL,100.969,1,1,0,False,Powell,secondary,female,100.969,100.969
Cercocebus atys,endocranial_volume,Endocranial_volume,mL,94.68,1,1,1,True,Isler,primary,unknown,94.68,94.68
Cercocebus galeritus,endocranial_volume,Endocranial_volume,mL,99.07,1,1,1,True,Isler,primary,unknown,99.07,99.07
Cercocebus galeritus,endocranial_volume,Endocranial_volume_female,mL,95.337,1,1,0,False,Powell,secondary,female,95.337,95.337
Cercocebus torquatus,endocranial_volume,Endocranial_volume,mL,105.99,1,1,1,True,Isler,primary,unknown,105.99,105.99
Cercocebus torquatus,endocranial_volume,Endocranial_volume_female,mL,93.482,1,1,0,False,Powell,secondary,female,93.482,93.482
Cercopithecus albogularis,endocranial_volume,Endocranial_volume,mL,70.237,4,1,1,True,Isler,primary,unknown,64.17,75.25
Cercopithecus ascanius,endocranial_volume,Endocranial_volume,mL,59.58,1,1,1,True,Isler,primary,unknown,59.58,59.58
Cercopithecus ascanius,endocranial_volume,Endocranial_volume_female,mL,56.684,1,1,0,False,Powell,secondary,female,56.684,56.684
Cercopithecus campbelli,endocranial_volume,Endocranial_volume,mL,57.39,1,1,1,True,Isler,primary,unknown,57.39,57.39
Cercopithecus campbelli,endocranial_volume,Endocranial_volume_female,mL,54.064,1,1,0,False,Powell,secondary,female,54.064,54.064
Cercopithecus campbelli lowei,endocranial_volume,Endocranial_volume_female,mL,51.186,1,1,0,False,Powell,secondary,female,51.186,51.186
Cercopithecus cephus,endocranial_volume,Endocranial_volume,mL,65.26,1,1,1,True,Isler,primary,unknown,65.26,65.26
Cercopithecus cephus,endocranial_volume,Endocranial_volume_female,mL,60.578,1,1,0,False,Powell,secondary,female,60.578,60.578
Cercopithecus diana,endocranial_volume,Endocranial_volume,mL,62.61,1,1,1,True,Isler,primary,unknown,62.61,62.61
Cercopithecus diana,endocranial_volume,Endocranial_volume_female,mL,57.293,1,1,0,False,Powell,secondary,female,57.293,57.293
Cercopithecus doggetti,endocranial_volume,Endocranial_volume,mL,65.36,1,1,1,True,Isler,primary,unknown,65.36,65.36
Cercopithecus erythrotis,endocranial_volume,Endocranial_volume,mL,65.4,1,1,1,True,Isler,primary,unknown,65.4,65.4
Cercopithecus hamlyni,endocranial_volume,Endocranial_volume,mL,65.9,1,1,1,True,Isler,primary,unknown,65.9,65.9
Cercopithecus hamlyni,endocranial_volume,Endocranial_volume_female,mL,61.867,1,1,0,False,Powell,secondary,female,61.867,61.867
Cercopithecus lhoesti,endocranial_volume,Endocranial_volume,mL,74.2,1,1,1,True,Isler,primary,unknown,74.2,74.2
Cercopithecus lhoesti,endocranial_volume,Endocranial_volume_female,mL,66.127,1,1,0,False,Powell,secondary,female,66.127,66.127
Cercopithecus lowei,endocranial_volume,Endocranial_volume,mL,55.64,1,1,1,True,Isler,primary,unknown,55.64,55.64
Cercopithecus mitis,endocranial_volume,Endocranial_volume,mL,71.33,2,2,1,True,Isler; Seymour,primary; secondary,unknown,71.0,71.33
Cercopithecus mitis,endocranial_volume,Endocranial_volume_female,mL,65.623,1,1,0,False,Powell,secondary,female,65.623,65.623
Cercopithecus mona,endocranial_volume,Endocranial_volume,mL,61.84,1,1,1,True,Isler,primary,unknown,61.84,61.84
Cercopithecus mona,endocranial_volume,Endocranial_volume_female,mL,56.5,1,1,0,False,Powell,secondary,female,56.5,56.5
Cercopithecus neglectus,endocranial_volume,Endocranial_volume,mL,65.97,2,2,1,True,Isler; Seymour,primary; secondary,unknown,65.0,65.97
Cercopithecus nictitans,endocranial_volume,Endocranial_volume,mL,71.13,1,1,1,True,Isler,primary,unknown,71.13,71.13
Cercopithecus nictitans,endocranial_volume,Endocranial_volume_female,mL,67.83,1,1,0,False,Powell,secondary,female,67.83,67.83
Cercopithecus petaurista,endocranial_volume,Endocranial_volume,mL,54.85,3,1,1,True,Isler,primary,unknown,53.93,55.54
