Species,measure_class,Measure,Units,Value,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,sex_scope,value_min,value_max
Macaca assamensis,endocranial_volume,Endocranial_volume_female,mL,89.1,1,1,0,False,Powell,secondary,female,89.1,89.1
Macaca cyclopis,endocranial_volume,Endocranial_volume,mL,82.0,1,1,1,True,Isler,primary,unknown,82.0,82.0
Macaca cyclopis,endocranial_volume,Endocranial_volume_female,mL,76.1,1,1,0,False,Powell,secondary,female,76.1,76.1
Macaca fascicularis,endocranial_volume,Endocranial_volume,mL,66.968,6,2,1,True,Isler; Seymour,primary; secondary,unknown,53.8,73.5
Macaca fascicularis,endocranial_volume,Endocranial_volume_female,mL,60.934,1,1,0,False,Powell,secondary,female,60.934,60.934
Macaca fuscata,endocranial_volume,Endocranial_volume,mL,102.92,1,1,1,True,Isler,primary,unknown,102.92,102.92
Macaca hecki,endocranial_volume,Endocranial_volume_female,mL,94.58,1,1,0,False,Powell,secondary,female,94.58,94.58
Macaca leonina,endocranial_volume,Endocranial_volume,mL,85.6,1,1,1,True,Isler,primary,unknown,85.6,85.6
Macaca maura,endocranial_volume,Endocranial_volume,mL,105.0,1,1,0,False,Seymour,secondary,unknown,105.0,105.0
Macaca maura,endocranial_volume,Endocranial_volume_female,mL,87.367,1,1,0,False,Powell,secondary,female,87.367,87.367
Macaca mulatta,endocranial_volume,Endocranial_volume,mL,88.553,4,2,1,True,Isler; Seymour,primary; secondary,unknown,78.2,93.5
Macaca nemestrina,endocranial_volume,Endocranial_volume,mL,105.59,2,2,1,True,Isler; Seymour,primary; secondary,unknown,105.59,111.5
Macaca nemestrina,endocranial_volume,Endocranial_volume_female,mL,97.854,1,1,0,False,Powell,secondary,female,97.854,97.854
Macaca nigra,endocranial_volume,Endocranial_volume,mL,94.9,2,2,1,True,Isler; Seymour,primary; secondary,unknown,94.9,150.0
Macaca nigra,endocranial_volume,Endocranial_volume_female,mL,80.975,1,1,0,False,Powell,secondary,female,80.975,80.975
Macaca ochreata,endocranial_volume,Endocranial_volume,mL,98.0,1,1,0,False,Seymour,secondary,unknown,98.0,98.0
Macaca radiata,endocranial_volume,Endocranial_volume,mL,74.87,2,2,1,True,Isler; Seymour,primary; secondary,unknown,67.0,74.87
Macaca radiata,endocranial_volume,Endocranial_volume_female,mL,70.507,1,1,0,False,Powell,secondary,female,70.507,70.507
Macaca silenus,endocranial_volume,Endocranial_volume,mL,85.0,2,2,1,True,Isler; Seymour,primary; secondary,unknown,85.0,88.7
Macaca silenus,endocranial_volume,Endocranial_volume_female,mL,78.0,1,1,0,False,Powell,secondary,female,78.0,78.0
Macaca sinica,endocranial_volume,Endocranial_volume,mL,69.7,1,1,1,True,Isler,primary,unknown,69.7,69.7
Macaca sinica,endocranial_volume,Endocranial_volume_female,mL,60.4,1,1,0,False,Powell,secondary,female,60.4,60.4
Macaca sylvanus,endocranial_volume,Endocranial_volume,mL,93.2,1,1,1,True,Isler,primary,unknown,93.2,93.2
Macaca sylvanus,endocranial_volume,Endocranial_volume_female,mL,92.913,1,1,0,False,Powell,secondary,female,92.913,92.913
Macaca thibetana,endocranial_volume,Endocranial_volume_female,mL,108.9,1,1,0,False,Powell,secondary,female,108.9,108.9
Macaca tonkeana,endocranial_volume,Endocranial_volume_female,mL,93.791,1,1,0,False,Powell,secondary,female,93.791,93.791
Macropus dorsalis,endocranial_volume,Endocranial_volume,mL,26.6,1,1,0,False,Seymour,secondary,unknown,26.6,26.6
Macropus fuliginosus,endocranial_volume,Endocranial_volume,mL,66.75,1,1,0,False,Seymour,secondary,unknown,66.75,66.75
Macropus robustus,endocranial_volume,Endocranial_volume,mL,58.24,1,1,0,False,Seymour,secondary,unknown,58.24,58.24
Mandrillus leucophaeus,endocranial_volume,Endocranial_volume,mL,148.0,2,2,1,True,Isler; Seymour,primary; secondary,unknown,148.0,160.0
Mandrillus leucophaeus,endocranial_volume,Endocranial_volume_female,mL,133.176,1,1,0,False,Powell,secondary,female,133.176,133.176
Mandrillus sphinx,endocranial_volume,Endocranial_volume,mL,153.88,2,2,1,True,Isler; Seymour,primary; secondary,unknown,153.88,161.2
Mandrillus sphinx,endocranial_volume,Endocranial_volume_female,mL,136.422,1,1,0,False,Powell,secondary,female,136.422,136.422
Mico argentatus,endocranial_volume,Endocranial_volume,mL,7.755,1,1,0,False,Powell,secondary,both,7.755,7.755
Mico humeralifer,endocranial_volume,Endocranial_volume,mL,8.376,1,1,0,False,Powell,secondary,both,8.376,8.376
Microcebus murinus,endocranial_volume,Endocranial_volume,mL,1.63,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,1.605,1.63
Microcebus rufus,endocranial_volume,Endocranial_volume,mL,1.72,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,1.625,1.72
Miopithecus ogouensis,endocranial_volume,Endocranial_volume,mL,37.35,1,1,1,True,Isler,primary,unknown,37.35,37.35
Mirza coquereli,endocranial_volume,Endocranial_volume,mL,5.8,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,5.787,5.8
Nasalis larvatus,endocranial_volume,Endocranial_volume,mL,92.3,2,2,1,True,Isler; Seymour,primary; secondary,unknown,78.5,92.3
Nasalis larvatus,endocranial_volume,Endocranial_volume_female,mL,84.847,1,1,0,False,Powell,secondary,female,84.847,84.847
Nomascus concolor,endocranial_volume,Endocranial_volume,mL,125.671,1,1,0,False,Powell,secondary,both,125.671,125.671
Nomascus gabriellae,endocranial_volume,Endocranial_volume,mL,119.38,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,117.044,119.38
Nomascus leucogenys,endocranial_volume,Endocranial_volume,mL,121.967,1,1,0,False,Powell,secondary,both,121.967,121.967
Nycticebus bengalensis,endocranial_volume,Endocranial_volume,mL,13.49,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,12.872,13.49
Nycticebus coucang,endocranial_volume,Endocranial_volume,mL,10.06,5,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,8.8,10.38
Nycticebus javanicus,endocranial_volume,Endocranial_volume,mL,10.38,1,1,0,False,Powell,secondary,both,10.38,10.38
Nycticebus pygmaeus,endocranial_volume,Endocranial_volume,mL,7.23,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,7.229,7.23
Osphranter rufus,endocranial_volume,Endocranial_volume,mL,51.575,1,1,0,False,Seymour,secondary,unknown,51.575,51.575
Otolemur crassicaudatus,endocranial_volume,Endocranial_volume,mL,11.78,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,11.752,11.78
Otolemur garnettii,endocranial_volume,Endocranial_volume,mL,11.077,5,2,1,True,Isler; Powell,primary; secondary,both; unknown,9.83,12.58
Otolemur monteiri,endocranial_volume,Endocranial_volume,mL,11.4,1,1,1,True,Isler,primary,unknown,11.4,11.4
Pan paniscus,endocranial_volume,Endocranial_volume,mL,341.29,1,1,1,True,Isler,primary,unknown,341.29,341.29
Pan troglodytes,endocranial_volume,Endocranial_volume,mL,373.368,5,2,1,True,Isler; Seymour,primary; secondary,unknown,363.05,475.0
Pan troglodytes,endocranial_volume,Endocranial_volume_female,mL,357.713,1,1,0,False,Powell,secondary,female,357.713,357.713
Papio anubis,endocranial_volume,Endocranial_volume,mL,167.42,1,1,1,True,Isler,primary,unknown,167.42,167.42
Papio anubis,endocranial_volume,Endocranial_volume_female,mL,156.056,1,1,0,False,Powell,secondary,female,156.056,156.056
Papio cynocephalus,endocranial_volume,Endocranial_volume,mL,163.19,1,1,1,True,Isler,primary,unknown,163.19,163.19
Papio cynocephalus,endocranial_volume,Endocranial_volume_female,mL,149.539,1,1,0,False,Powell,secondary,female,149.539,149.539
Papio hamadryas,endocranial_volume,Endocranial_volume,mL,146.17,2,2,1,True,Isler; Seymour,primary; secondary,unknown,146.17,156.5
Papio hamadryas,endocranial_volume,Endocranial_volume_female,mL,137.0,1,1,0,False,Powell,secondary,female,137.0,137.0
Papio papio,endocranial_volume,Endocranial_volume,mL,142.5,1,1,1,True,Isler,primary,unknown,142.5,142.5
Papio ursinus,endocranial_volume,Endocranial_volume,mL,178.0,1,1,1,True,Isler,primary,unknown,178.0,178.0
Perodicticus potto,endocranial_volume,Endocranial_volume,mL,12.85,5,2,1,True,Isler; Powell,primary; secondary,both; unknown,11.93,13.62
Petaurus breviceps,endocranial_volume,Endocranial_volume,mL,2.33,1,1,0,False,Seymour,secondary,unknown,2.33,2.33
Phalanger maculatus,endocranial_volume,Endocranial_volume,mL,13.55,1,1,0,False,Seymour,secondary,unknown,13.55,13.55
Phaner electromontis,endocranial_volume,Endocranial_volume,mL,7.2,1,1,1,True,Isler,primary,unknown,7.2,7.2
Phaner pallescens,endocranial_volume,Endocranial_volume,mL,6.68,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,6.68,6.681
Phascolarctos cinereus,endocranial_volume,Endocranial_volume,mL,29.75,1,1,0,False,Seymour,secondary,unknown,29.75,29.75
Piliocolobus badius,endocranial_volume,Endocranial_volume,mL,64.04,2,1,1,True,Isler,primary,unknown,63.59,64.49
Piliocolobus badius,endocranial_volume,Endocranial_volume_female,mL,61.52,1,1,0,False,Powell,secondary,female,61.52,61.52
Piliocolobus kirkii,endocranial_volume,Endocranial_volume,mL,57.25,1,1,1,True,Isler,primary,unknown,57.25,57.25
Piliocolobus tephrosceles,endocranial_volume,Endocranial_volume,mL,70.95,1,1,1,True,Isler,primary,unknown,70.95,70.95
Piliocolobus tholloni and foai,endocranial_volume,Endocranial_volume,mL,76.35,1,1,1,True,Isler,primary,unknown,76.35,76.35
Pithecia irrorata,endocranial_volume,Endocranial_volume,mL,37.1,1,1,0,False,Powell,secondary,both,37.1,37.1
Pithecia monachus,endocranial_volume,Endocranial_volume,mL,36.45,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,36.138,36.45
Pithecia pithecia,endocranial_volume,Endocranial_volume,mL,32.26,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,31.474,32.26
Pongo pygmaeus,endocranial_volume,Endocranial_volume,mL,378.278,5,2,1,True,Isler; Seymour,primary; secondary,unknown,357.11,400.1
Pongo pygmaeus,endocranial_volume,Endocranial_volume_female,mL,339.564,1,1,0,False,Powell,secondary,female,339.564,339.564
Pongo pygmaeus morio,endocranial_volume,Endocranial_volume_female,mL,330.135,1,1,0,False,Powell,secondary,female,330.135,330.135
Pongo pygmaeus wurmbii,endocranial_volume,Endocranial_volume_female,mL,336.631,1,1,0,False,Powell,secondary,female,336.631,336.631
Pongo sp.,endocranial_volume,Endocranial_volume,mL,389.5,1,1,1,True,Isler,primary,unknown,389.5,389.5
Pongo sp.,endocranial_volume,Endocranial_volume_female,mL,346.058,1,1,0,False,Powell,secondary,female,346.058,346.058
Presbytis chrysomelas,endocranial_volume,Endocranial_volume,mL,72.11,1,1,1,True,Isler,primary,unknown,72.11,72.11
Presbytis comata,endocranial_volume,Endocranial_volume,mL,80.3,1,1,1,True,Isler,primary,unknown,80.3,80.3
Presbytis comata,endocranial_volume,Endocranial_volume_female,mL,68.0,1,1,0,False,Powell,secondary,female,68.0,68.0
Presbytis femoralis,endocranial_volume,Endocranial_volume,mL,73.41,2,1,1,True,Isler,primary,unknown,73.08,73.74
Presbytis frontata,endocranial_volume,Endocranial_volume,mL,81.02,1,1,1,True,Isler,primary,unknown,81.02,81.02
Presbytis frontata,endocranial_volume,Endocranial_volume_female,mL,73.126,1,1,0,False,Powell,secondary,female,73.126,73.126
Presbytis hosei,endocranial_volume,Endocranial_volume_female,mL,60.022,1,1,0,False,Powell,secondary,female,60.022,60.022
Presbytis melalophos,endocranial_volume,Endocranial_volume,mL,64.857,4,2,1,True,Isler; Seymour,primary; secondary,unknown,63.26,70.5
Presbytis melalophos,endocranial_volume,Endocranial_volume_female,mL,61.272,1,1,0,False,Powell,secondary,female,61.272,61.272
Presbytis potenziani,endocranial_volume,Endocranial_volume_female,mL,56.975,1,1,0,False,Powell,secondary,female,56.975,56.975
Presbytis rubicunda,endocranial_volume,Endocranial_volume,mL,70.885,2,1,1,True,Isler,primary,unknown,70.75,71.02
Presbytis rubicunda,endocranial_volume,Endocranial_volume_female,mL,68.775,1,1,0,False,Powell,secondary,female,68.775,68.775
Presbytis siamensis,endocranial_volume,Endocranial_volume,mL,60.457,3,1,1,True,Isler,primary,unknown,57.38,63.05
Presbytis thomasi,endocranial_volume,Endocranial_volume,mL,72.93,1,1,1,True,Isler,primary,unknown,72.93,72.93
Presbytis thomasi,endocranial_volume,Endocranial_volume_female,mL,65.461,1,1,0,False,Powell,secondary,female,65.461,65.461
Procolobus pennantii,endocranial_volume,Endocranial_volume_female,mL,71.655,1,1,0,False,Powell,secondary,female,71.655,71.655
Procolobus rufomitratus,endocranial_volume,Endocranial_volume_female,mL,70.565,1,1,0,False,Powell,secondary,female,70.565,70.565
Procolobus rufomitratus tephrosceles,endocranial_volume,Endocranial_volume_female,mL,72.454,1,1,0,False,Powell,secondary,female,72.454,72.454
Procolobus verus,endocranial_volume,Endocranial_volume,mL,52.6,1,1,1,True,Isler,primary,unknown,52.6,52.6
Prolemur simus,endocranial_volume,Endocranial_volume,mL,27.14,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,26.227,27.14
Propithecus candidus,endocranial_volume,Endocranial_volume_female,mL,37.2,1,1,0,False,Powell,secondary,female,37.2,37.2
Propithecus coquereli,endocranial_volume,Endocranial_volume,mL,30.19,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,28.862,30.19
Propithecus deckenii,endocranial_volume,Endocranial_volume,mL,30.15,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,28.008,30.15
Propithecus diadema,endocranial_volume,Endocranial_volume,mL,39.8,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,36.861,41.0
Propithecus edwardsi,endocranial_volume,Endocranial_volume,mL,39.49,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,37.945,39.49
Propithecus verreauxi,endocranial_volume,Endocranial_volume,mL,26.21,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,25.998,26.21
Pseudocheirus peregrinus notialis,endocranial_volume,Endocranial_volume,mL,4.73,1,1,0,False,Seymour,secondary,unknown,4.73,4.73
Pygathrix nemaeus,endocranial_volume,Endocranial_volume,mL,91.41,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,91.41,94.85
Pygathrix nigripes,endocranial_volume,Endocranial_volume,mL,82.75,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,82.75,83.703
Pygathrix sp.,endocranial_volume,Endocranial_volume,mL,85.86,1,1,1,True,Isler,primary,unknown,85.86,85.86
Rhinopithecus bieti,endocranial_volume,Endocranial_volume,mL,114.714,1,1,0,False,Powell,secondary,both,114.714,114.714
Rhinopithecus brelichi,endocranial_volume,Endocranial_volume_female,mL,111.5,1,1,0,False,Powell,secondary,female,111.5,111.5
Rhinopithecus roxellana,endocranial_volume,Endocranial_volume,mL,117.76,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,115.535,117.76
Saguinus bicolor,endocranial_volume,Endocranial_volume,mL,9.2,1,1,0,False,Powell,secondary,both,9.2,9.2
Saguinus fuscicollis,endocranial_volume,Endocranial_volume,mL,7.993,4,2,1,True,Isler; Powell,primary; secondary,both; unknown,7.94,8.162
Saguinus geoffroyi,endocranial_volume,Endocranial_volume,mL,10.14,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,10.087,10.14
Saguinus imperator,endocranial_volume,Endocranial_volume,mL,10.7,1,1,0,False,Powell,secondary,both,10.7,10.7
Saguinus labiatus,endocranial_volume,Endocranial_volume,mL,10.01,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,10.01,10.012
Saguinus leucopus,endocranial_volume,Endocranial_volume,mL,9.7,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,9.7,9.752
Saguinus midas,endocranial_volume,Endocranial_volume,mL,9.78,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,9.78,9.811
Saguinus mystax,endocranial_volume,Endocranial_volume,mL,11.09,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,10.417,11.09
Saguinus mystax pileatus,endocranial_volume,Endocranial_volume,mL,9.666,1,1,0,False,Powell,secondary,both,9.666,9.666
Saguinus niger,endocranial_volume,Endocranial_volume,mL,9.48,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,9.133,9.48
Saguinus nigricollis,endocranial_volume,Endocranial_volume,mL,8.9,1,1,1,True,Isler,primary,unknown,8.9,8.9
Saguinus oedipus,endocranial_volume,Endocranial_volume,mL,9.76,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,9.698,9.76
Saguinus pileatus,endocranial_volume,Endocranial_volume,mL,9.56,1,1,1,True,Isler,primary,unknown,9.56,9.56
Saguinus tripartitus,endocranial_volume,Endocranial_volume,mL,8.5,1,1,0,False,Powell,secondary,both,8.5,8.5
Saimiri boliviensis,endocranial_volume,Endocranial_volume_female,mL,21.522,1,1,0,False,Powell,secondary,female,21.522,21.522
Saimiri oerstedii,endocranial_volume,Endocranial_volume,mL,25.07,1,1,1,True,Isler,primary,unknown,25.07,25.07
Saimiri oerstedii,endocranial_volume,Endocranial_volume_female,mL,24.236,1,1,0,False,Powell,secondary,female,24.236,24.236
Saimiri sciureus,endocranial_volume,Endocranial_volume,mL,24.04,5,2,1,True,Isler; Seymour,primary; secondary,unknown,20.0,24.48
Saimiri sciureus,endocranial_volume,Endocranial_volume_female,mL,23.523,1,1,0,False,Powell,secondary,female,23.523,23.523
Sapajus apella,endocranial_volume,Endocranial_volume,mL,66.63,1,1,1,True,Isler,primary,unknown,66.63,66.63
Sapajus apella,endocranial_volume,Endocranial_volume_female,mL,64.136,1,1,0,False,Powell,secondary,female,64.136,64.136
Sciurocheirus alleni cameronensis,endocranial_volume,Endocranial_volume,mL,5.68,1,1,0,False,Powell,secondary,both,5.68,5.68
Semnopithecus ajax,endocranial_volume,Endocranial_volume,mL,132.06,1,1,1,True,Isler,primary,unknown,132.06,132.06
Semnopithecus dussumieri,endocranial_volume,Endocranial_volume,mL,90.09,1,1,1,True,Isler,primary,unknown,90.09,90.09
Semnopithecus dussumieri,endocranial_volume,Endocranial_volume_female,mL,88.296,1,1,0,False,Powell,secondary,female,88.296,88.296
Semnopithecus entellus,endocranial_volume,Endocranial_volume,mL,110.93,2,2,1,True,Isler; Seymour,primary; secondary,unknown,101.6,110.93
Semnopithecus entellus,endocranial_volume,Endocranial_volume_female,mL,95.237,1,1,0,False,Powell,secondary,female,95.237,95.237
Semnopithecus priam,endocranial_volume,Endocranial_volume,mL,83.07,1,1,1,True,Isler,primary,unknown,83.07,83.07
Semnopithecus priam,endocranial_volume,Endocranial_volume_female,mL,75.292,1,1,0,False,Powell,secondary,female,75.292,75.292
Semnopithecus schistaceus,endocranial_volume,Endocranial_volume,mL,129.25,1,1,1,True,Isler,primary,unknown,129.25,129.25
Semnopithecus schistaceus,endocranial_volume,Endocranial_volume_female,mL,126.126,1,1,0,False,Powell,secondary,female,126.126,126.126
Simias concolor,endocranial_volume,Endocranial_volume,mL,58.42,1,1,1,True,Isler,primary,unknown,58.42,58.42
Simias concolor,endocranial_volume,Endocranial_volume_female,mL,52.452,1,1,0,False,Powell,secondary,female,52.452,52.452
Symphalangus syndactylus,endocranial_volume,Endocranial_volume,mL,123.5,1,1,1,True,Isler,primary,unknown,123.5,123.5
Tarsius bancanus,endocranial_volume,Endocranial_volume,mL,3.16,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,3.148,3.16
Tarsius dentatus,endocranial_volume,Endocranial_volume,mL,3.0,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,2.995,3.0
Tarsius syrichta,endocranial_volume,Endocranial_volume,mL,3.36,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,3.36,3.383
Tarsius tarsier,endocranial_volume,Endocranial_volume,mL,3.06,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,3.06,3.255
Theropithecus gelada,endocranial_volume,Endocranial_volume,mL,133.33,1,1,1,True,Isler,primary,unknown,133.33,133.33
Theropithecus gelada,endocranial_volume,Endocranial_volume_female,mL,123.223,1,1,0,False,Powell,secondary,female,123.223,123.223
Trachypithecus auratus,endocranial_volume,Endocranial_volume_female,mL,62.594,1,1,0,False,Powell,secondary,female,62.594,62.594
Trachypithecus cristatus,endocranial_volume,Endocranial_volume,mL,57.86,1,1,1,True,Isler,primary,unknown,57.86,57.86
Trachypithecus cristatus,endocranial_volume,Endocranial_volume_female,mL,58.402,1,1,0,False,Powell,secondary,female,58.402,58.402
Trachypithecus francoisi,endocranial_volume,Endocranial_volume_female,mL,81.0,1,1,0,False,Powell,secondary,female,81.0,81.0
Trachypithecus geei,endocranial_volume,Endocranial_volume,mL,81.3,1,1,1,True,Isler,primary,unknown,81.3,81.3
Trachypithecus johnii,endocranial_volume,Endocranial_volume,mL,84.6,1,1,1,True,Isler,primary,unknown,84.6,84.6
Trachypithecus johnii,endocranial_volume,Endocranial_volume_female,mL,78.0,1,1,0,False,Powell,secondary,female,78.0,78.0
Trachypithecus obscurus,endocranial_volume,Endocranial_volume,mL,62.12,2,2,1,True,Isler; Seymour,primary; secondary,unknown,62.12,105.0
Trachypithecus obscurus,endocranial_volume,Endocranial_volume_female,mL,59.303,1,1,0,False,Powell,secondary,female,59.303,59.303
Trachypithecus phayrei,endocranial_volume,Endocranial_volume,mL,72.84,1,1,1,True,Isler,primary,unknown,72.84,72.84
Trachypithecus phayrei,endocranial_volume,Endocranial_volume_female,mL,70.202,1,1,0,False,Powell,secondary,female,70.202,70.202
Trachypithecus pileatus,endocranial_volume,Endocranial_volume,mL,103.64,1,1,1,True,Isler,primary,unknown,103.64,103.64
Trachypithecus pileatus,endocranial_volume,Endocranial_volume_female,mL,97.356,1,1,0,False,Powell,secondary,female,97.356,97.356
Trachypithecus vetulus,endocranial_volume,Endocranial_volume,mL,61.29,2,2,1,True,Isler; Seymour,primary; secondary,unknown,58.0,61.29
Trachypithecus vetulus,endocranial_volume,Endocranial_volume_female,mL,59.913,1,1,0,False,Powell,secondary,female,59.913,59.913
Trichosurus vulpecula,endocranial_volume,Endocranial_volume,mL,9.8,1,1,0,False,Seymour,secondary,unknown,9.8,9.8
Varecia rubra,endocranial_volume,Endocranial_volume,mL,31.08,2,2,1,True,Isler; Powell,primary; secondary,both; unknown,29.815,31.08
Varecia variegata,endocranial_volume,Endocranial_volume,mL,32.12,3,3,1,True,Isler; Powell; Seymour,primary; secondary,both; unknown,26.0,32.12
Vombatus ursinus,endocranial_volume,Endocranial_volume,mL,60.0,1,1,0,False,Seymour,secondary,unknown,60.0,60.0
