Species,Measure,n_teams,per_team,pooled,ratio_max_over_min,flag
Trachypithecus obscurus,Endocranial_volume,2,Isler=62.12 | Seymour=105.0,62.12,1.69,DISAGREEMENT>1.5x
Callithrix pygmaea,Endocranial_volume,3,Isler=4.17 | Powell=4.19 | Seymour=7.0,4.17,1.679,DISAGREEMENT>1.5x
Macaca nigra,Endocranial_volume,2,Isler=94.9 | Seymour=150.0,94.9,1.581,DISAGREEMENT>1.5x
Loris tardigradus,Endocranial_volume,3,Isler=5.87 | Powell=5.38 | Seymour=4.0,5.87,1.468,
Cacajao calvus,Endocranial_volume,2,Isler=76.0 | Seymour=100.0,76.0,1.316,
Pan troglodytes,Endocranial_volume,2,Isler=373.37 | Seymour=475.0,373.368,1.272,
Galago senegalensis,Endocranial_volume,3,Isler=3.96 | Powell=3.95 | Seymour=5.0,3.96,1.265,
Hylobates agilis,Endocranial_volume,3,Isler=91.16 | Powell=95.94 | Seymour=115.0,91.16,1.262,
Macaca fascicularis,Endocranial_volume,2,Isler=66.97 | Seymour=53.8,66.968,1.245,
Varecia variegata,Endocranial_volume,3,Isler=32.12 | Powell=30.48 | Seymour=26.0,32.12,1.235,
Lepilemur mustelinus,Endocranial_volume,2,Isler=9.56 | Powell=7.91,9.56,1.209,
Saimiri sciureus,Endocranial_volume,2,Isler=24.04 | Seymour=20.0,24.04,1.202,
Nasalis larvatus,Endocranial_volume,2,Isler=92.3 | Seymour=78.5,92.3,1.176,
Nycticebus coucang,Endocranial_volume,3,Isler=10.06 | Powell=9.97 | Seymour=8.8,10.06,1.143,
Lagothrix lagothricha,Endocranial_volume,2,Isler=96.5 | Seymour=110.0,96.5,1.14,
Callithrix jacchus,Endocranial_volume,3,Isler=7.24 | Powell=7.49 | Seymour=6.6,7.24,1.134,
Macaca mulatta,Endocranial_volume,2,Isler=88.55 | Seymour=78.2,88.553,1.132,
Eulemur rufus,Endocranial_volume,2,Isler=25.4 | Powell=22.54,25.4,1.127,
Hylobates muelleri,Endocranial_volume,2,Isler=85.13 | Powell=95.36,85.13,1.12,
Macaca radiata,Endocranial_volume,2,Isler=74.87 | Seymour=67.0,74.87,1.117,
