Species,Species_printed,Measure,Units,Value,Source,first_author,Year,Team,role,source_of_value,upstream_team,reprint_of,sex_scope
Acrobates pygmaeus,Acrobates pygmaeus,Endocranial_volume,mL,0.25,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Aepyprymnus rufescens,Aepyprymnus rufescens,Endocranial_volume,mL,13.32,10.1242%2Fjeb.124826_TableS1.tsv,Seymour,2015,Seymour,secondary,,,,unknown
Allenopithecus nigroviridis,Allenopithecus nigroviridis,Endocranial_volume,mL,58.02,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,Pooled (this study and Verheyen 1962),,,unknown
Allenopithecus nigroviridis,Allenopithecus_nigroviridis,Endocranial_volume,mL,53.6970457142857,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,Isler et al. 2008,Isler,,female
Alouatta belzebul,Alouatta belzebul,Endocranial_volume,mL,52.84,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta belzebul,Alouatta_belzebul,Endocranial_volume,mL,50.9428571428571,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta caraya,Alouatta caraya,Endocranial_volume,mL,52.63,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta caraya,Alouatta_caraya,Endocranial_volume,mL,49.2293219911002,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta guariba,Alouatta guariba,Endocranial_volume,mL,51.7,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta guariba,Alouatta_guariba,Endocranial_volume,mL,48.5043926261223,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta macconnelli,Alouatta macconnelli,Endocranial_volume,mL,61.33,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta macconnelli,Alouatta_macconnelli,Endocranial_volume,mL,53.6615681473474,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta palliata,Alouatta palliata,Endocranial_volume,mL,49.88,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta palliata,Alouatta_palliata,Endocranial_volume,mL,48.915738,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta pigra,Alouatta pigra,Endocranial_volume,mL,51.13,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta pigra,Alouatta_pigra,Endocranial_volume,mL,49.175,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta sara,Alouatta sara,Endocranial_volume,mL,59.08,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta sara,Alouatta_sara,Endocranial_volume,mL,56.75,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Alouatta seniculus,Alouatta seniculus,Endocranial_volume,mL,55.22,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Alouatta seniculus,Alouatta_seniculus,Endocranial_volume,mL,55.2887579101683,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,female
Aotus azarae,Aotus azarae,Endocranial_volume,mL,20.67,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Aotus azarae,Aotus_azarae,Endocranial_volume,mL,20.1389375,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Aotus lemurinus,Aotus lemurinus,Endocranial_volume,mL,16.3,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Aotus miconax,Aotus_miconax,Endocranial_volume,mL,16.6571428571429,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Aotus nancymaae,Aotus_nancymaae,Endocranial_volume,mL,17.8875,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Aotus nigriceps,Aotus_nigriceps,Endocranial_volume,mL,17.5909090909091,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Aotus trivirgatus,Aotus trivirgatus,Endocranial_volume,mL,16.85,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Aotus trivirgatus,Aotus_trivirgatus,Endocranial_volume,mL,16.0656034187608,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Aotus vociferans,Aotus_vociferans,Endocranial_volume,mL,17.7,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Arctocebus aureus,Arctocebus aureus,Endocranial_volume,mL,5.88,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
Arctocebus aureus,Arctocebus_aureus,Endocranial_volume,mL,5.88136255456102,10.1098%2Frspb.2017.1765_Dataset1.tsv,Powell,2017,Powell,secondary,van Woerden compilation,,,both
Arctocebus calabarensis,Arctocebus calabarensis,Endocranial_volume,mL,6.92,10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv,Isler,2008,Isler,primary,This study,,,unknown
