Species,Team,upstream_team,source_of_value,Value,reason
Macaca tonkeana,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",93.791,value attributed by its own source column to Isler
Macaca tonkeana,Heldstab,Powell,,93.7,source's definitions attribute its ECV to an upstream compilation that Powell already carries for this species
Mandrillus sphinx,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",136.422,value attributed by its own source column to Isler
Mandrillus sphinx,Heldstab,Isler,,137.3,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Miopithecus ogouensis,Powell,Isler,Isler et al. 2008,34.7595142424242,value attributed by its own source column to Isler
Nomascus gabriellae,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",117.044,value attributed by its own source column to Isler
Nomascus leucogenys /siki,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",121.967,value attributed by its own source column to Isler
Pan paniscus,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",326.5,value attributed by its own source column to Isler
Pan paniscus,Powell,Isler,Isler et al. 2008,326.25,value attributed by its own source column to Isler
Pan troglodytes,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",357.713,value attributed by its own source column to Isler
Pan troglodytes,Heldstab,Isler,,391.6,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Papio anubis,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",156.056,value attributed by its own source column to Isler
Papio hamadryas,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",137.0,value attributed by its own source column to Isler
Papio ursinus,Powell,Isler,Isler et al. 2008,165.0,value attributed by its own source column to Isler
Pithecia pithecia,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",31.474,value attributed by its own source column to Isler
Pithecia pithecia,Heldstab,Isler,,31.6,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Pongo sp.,Caspar,Isler,"Powell, L. E., Isler, K., & Barton, R. A. (2017). Re-evaluating the link between brain size and behavioural ecology in primates. Proceedings of the Royal Society B: Biological Sciences, 284(1865), 20171765.",342.811,value attributed by its own source column to Isler
Pongo sp.,Heldstab,Isler,,349.7,source's definitions attribute its ECV to an upstream compilation that Isler already carries for this species
Presbytis femoralis,Powell,Isler,Isler et al. 2008,70.2326611520957,value attributed by its own source column to Isler
