Species,Brain_Mass_excl_olfactory_bulb.g,Brain_Mass_mass_or_volume.g,Brain_Mass_measured.g,Brain_size_sum_of_structures.g
Dendrolagus goodfellowi,,28.4,,
Dendrolagus inustus,,31.1836,,
Dendrolagus lumholtzi,,26.2,,
Dendrolagus matschiei,,27.5,,
Dendrolagus scottae,,29.2,,
Dendrolagus spadix,,28.5,,
Dendrolagus ursinus,,26.3,,
Desmana moschata,,4.0,4.0,
Desmodus rotundus,,0.898,1.0063,
Diaemus youngi,,0.97,,
Diaemus youngi (DES),,,1.09,
Diceros bicornis,,655.0,,
Dicrostonyx groenlandicus,,0.72,,
Dicrostonyx richardsoni,,0.8983,,
Dicrostonyx torquatus,,0.84,,
Didelphis azarae,,,5.1,
Didelphis m. aurita,,,6.033,
Didelphis m. marsupialis,,,6.885,
Didelphis marsupialis,,6.05,5.736,
Didelphis sp.,,,5.3,
Didelphis virginiana,,6.9619,6.11,
Dinomys branickii,,26.95,36.3,
Diphylla ecaudata,,0.8015,0.7688,
Dipodillus campestris,,0.9,,
Dipodillus dasyurus,,1.32,,
Dipodomys agilis,,1.34,,
Dipodomys deserti,,1.7402,,
Dipodomys heermanni,,1.4361,,
Dipodomys merriami,,1.1,,
Dipodomys microps,,1.2162,,
Dipodomys ordii,,1.4463,,
Dipodomys panamintinus,,1.5954,,
Dipodomys spectabilis,,1.9274,,
Distoechurus pennatus,,0.9738,,
Dobsonia inermis,,2.7,2.714,
Dobsonia moluccensis,,4.43,5.3425,
Dobsonia praedatrix,,2.9749,2.89,
Dobsonia spec?,,,3.891,
Dolichotis patagonum,,30.5,,
Dolichotis salinicola,,15.31,,
Dorcopsis atrata,,16.7,,
Dorcopsis hageni,,22.5,,
Dorcopsis luctuosa,,21.3416,,
Dorcopsis muelleri,,20.4,,
Dorcopsulus macleayi,,13.5,,
Dorcopsulus vanheurni,,11.8,,
Dremomys rufigenis,,5.41,,
Dromaius novaehollandiae,,,21.8109,
Dromiciops gliroides,,0.81,,
Dugong dugon,,264.67,,
Echimys chrysurus,,5.02,,
Echinops telfairi,,0.62,1.2593,
Echinosorex gymnura,,5.5,,
Echinosorex gymnurus,,,5.66,
Echymipera clara,,4.6413,,
Echymipera kalubu,,3.67,,
Echymipera rufescens,,3.8643,,
Ectophylla macconnelli,,,0.34,
Eidolon helvum,,4.4325,4.2917,
Eira barbara,,47.05,,
Elephant,,,4990.0,
Elephantulus fuscipes,,1.33,1.33,
Elephantulus intufi,,1.14,,
Elephantulus myurus,1.04,1.37,1.37,
Elephas maximus,,5211.25,,
Elephas sp.,,,4925.0,
Emballonura beccarii,,,0.1698,
Emballonura monticola,,0.163,0.1617,
Emballonura nigrescens,,,0.1303,
Emballonura raffrayana,,0.174,,
Emballonura semicaudata,,0.184,0.187,
Enchisthenes harti,,,0.5188,
Enhydra lutris,,119.0,,
Eonycteris spelaea,,1.18,1.2567,
Epomophorus gambianus,,4.3285,,
Epomophorus labiatus,,1.5887,1.5563,
Epomophorus wahlbergi,,1.9613,,
Epomops franqueti,,2.213,2.169,
Eptesicus brasil. melanopterus,,,0.1863,
Eptesicus brasiliensis,,0.1983,0.2,
Eptesicus dimissus,,0.231,,
Eptesicus flavescens,,,0.1895,
Eptesicus furinalis,,0.1895,,
Eptesicus fuscus,,0.2143,0.238,
Eptesicus pachyotis,,0.158,,
Eptesicus pumilus,,,0.13,
Eptesicus serotinus,,0.327,,
Eptesicus serotinus andersoni,,,0.3407,
Equus asinus,,434.0,,
Equus burchelli,,612.0,520.5,
Equus caballus,,693.0,587.5,
Equus zebra,,548.0,,
Erethizon dorsata,,24.6,,
Erethizon dorsatum,,24.6,,
Erignathus barbatus,,460.0,,
Erinaceus europaeus,,3.4477,3.28,
Erythrocebus patas,,100.2,108.0,
Eschrichtius robustus,,4316.67,4316.67,
Eudorcas thomsonii,,91.8,,
Eulemur albifrons,,21.8737,,
Eulemur albocollaris,,22.1,,
Eulemur coronatus,,20.651,,
Eulemur fulvus,,21.1,23.3,
Eulemur macaco,,22.6,28.3,
Eulemur mongoz,,24.0333,20.75,
Eulemur rubriventer,,24.9,,
Eulemur rufus,,25.396,,
Eulemur sp.,,27.0096,,
Eumetopias jubatus,,661.25,,
Eumops auripendulus,,0.612,0.596,
Eumops glaucinus,,0.6565,0.665,
Eumops perotis,,0.802,,
Euoticus elegantulus,,5.5347,,
Euoticus pallidus,,5.1857,,
Euphractus sexcinctus,,33.5,,
Eupleres goudotii,,17.0,,
Felis catus,,25.6,27.1143,
Felis chaus,,37.0,,
Felis manul,,34.47,,
Felis nigripes,,20.1,,
Felis silvestris,,35.5,,
Felis silvestris f.d.,,,29.57,
Forpus passerinus,,,1.1464,
Fossa fossana,,19.69,,
Fukomys anselli,,,,1.25
Fukomys damarensis,,,,1.39
Fukomys darlingi,,,,1.23
Fukomys mechowii,,,,2.15
Funambulus pennantii,,2.1,,
Funisciurus anerythrus,,4.14,,
Funisciurus carruthersi,,4.48,,
Funisciurus pyrropus,,4.38,,
Furipterus horrens,,0.127,0.1278,
Galago alleni,,5.85,,
Galago cameronensis,,5.5809,,
Galago gabonensis,,5.3574,,
Galago granti,,4.0738,,
Galago matschiei,,4.6219,,
Galago moholi,,3.7052,,
Galago senegalensis,,5.9,3.9233,
Galago sp.,,5.1,4.8,
Galago thomasi,,3.1175,,
Galago zanzibaricus,,3.5,,
Galagoides demidoff,,3.38,3.335,
Galea musteloides,,2.72,,
Galemys pyrenaicus,,1.33,1.33,
Galerella pulverulenta,,11.02,,
Galerella sanguinea,,8.8,,
Galictis cuja,,18.8,,
Galictis vittatus,,17.97,,
Galidia elegans,,10.7,,
Gallus gallus,,,2.8195,
Garrulus glandarius,,,4.5968,
Gazella dorcas,,70.8,,
Gazella thomsonii,,91.8,,
Genetta angolensis,,15.49,,
Genetta genetta,,14.0,,
Genetta pardina,,15.4,,
Genetta servalina,,16.0,,
Genetta tigrina,,15.35,,
Geocapromys ingrahami,,4.46,,
Geomys breviceps,,2.29,,
Geomys bursarius,,1.8281,,
Geomys pinetis,,2.5071,,
Georychus capensis,,,,1.65
Gerbilliscus afra,,1.56,,
Gerbilliscus brantsii,,1.56,,
Gerbillurus paeba,,0.84,,
Gerbillus campestris,,0.9,,
Gerbillus dasyurus,,1.32,,
Gerbillus gleadowi,,0.69,,
Gerbillus nanus,,0.6,,
Gerbillus pyramidum,,0.88,,
Giraffa camelopardalis,534.92,618.5,607.0,
Glaucomys sabrinus,,3.01,,
Glaucomys volans,,1.71,,
Glauconycteris beatrix,,0.144,,
Glauconycteris humeralis,,,0.1437,
Glauconycteris poensis,,0.205,0.205,
Glischropus tylopus,,0.099,0.095,
