"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Dasypus novemcinctus",2,"","","8.5","7.54","",1.127,""
"Dasyurus hallucatus",2,"","","3.4408","4.666","",1.356,""
"Daubentonia madagascariensis",2,"","","45.15","45.15","",1,""
"Delphinapterus leucas",2,"","","1921","2083","",1.084,""
"Delphinus delphis",2,"","","797.2604","873","",1.095,""
"Dendrohyrax arboreus",2,"","","12.3","18.42","",1.498,""
"Desmana moschata",2,"","","4","4","",1,""
"Desmodus rotundus",2,"","","0.907","1.0063","",1.109,""
"Didelphis marsupialis",2,"","","6.2","5.736","",1.081,""
"Didelphis virginiana",2,"","","6.841","6.11","",1.12,""
"Dinomys branickii",2,"","","26.95","36.3","",1.347,""
"Diphylla ecaudata",2,"","","0.8015","0.7688","",1.043,""
"Dobsonia inermis",2,"","","2.7","2.714","",1.005,""
"Dobsonia moluccensis",2,"","","4.43","5.3425","",1.206,""
"Dobsonia praedatrix",2,"","","2.9749","2.89","",1.029,""
"Echinops telfairi",2,"","","0.62","1.2593","",2.031,"DISAGREEMENT>2x"
"Eidolon helvum",2,"","","4.4325","4.2917","",1.033,""
"Elephantulus fuscipes",2,"","","1.33","1.33","",1,""
"Elephantulus myurus",3,"1.04","","1.37","1.37","",1.317,""
"Emballonura monticola",2,"","","0.163","0.1617","",1.008,""
"Emballonura semicaudata",2,"","","0.184","0.187","",1.016,""
"Eonycteris spelaea",2,"","","1.22","1.2567","",1.03,""
"Epomophorus labiatus",2,"","","1.5887","1.5563","",1.021,""
"Epomops franqueti",2,"","","2.213","2.169","",1.02,""
"Eptesicus brasiliensis",2,"","","0.1983","0.2","",1.009,""
"Eptesicus fuscus",2,"","","0.2143","0.238","",1.111,""
"Equus burchelli",2,"","","599.5","520.5","",1.152,""
"Equus caballus",2,"","","693","590","",1.175,""
"Erinaceus europaeus",2,"","","3.23","3.225","",1.002,""
"Erythrocebus patas",2,"","","99.9389","108","",1.081,""
"Eschrichtius robustus",2,"","","4316.67","4316.67","",1,""
"Eulemur fulvus",2,"","","21.1","23.3","",1.104,""
"Eulemur macaco",2,"","","22.92","28.3","",1.235,""
"Eulemur mongoz",2,"","","24.0322","20.75","",1.158,""
"Eumops auripendulus",2,"","","0.612","0.596","",1.027,""
"Eumops glaucinus",2,"","","0.6565","0.665","",1.013,""
"Felis catus",2,"","","25.6","26.7929","",1.047,""
"Furipterus horrens",2,"","","0.127","0.1278","",1.006,""
"Galago senegalensis",2,"","","5.5933","3.9233","",1.426,""
"Galago sp.",2,"","","5.1","4.8","",1.063,""
"Galagoides demidoff",2,"","","3.38","3.335","",1.013,""
"Galemys pyrenaicus",2,"","","1.33","1.33","",1,""
"Giraffa camelopardalis",3,"534.92","","537","675","",1.262,""
"Glauconycteris poensis",2,"","","0.205","0.205","",1,""
"Glischropus tylopus",2,"","","0.099","0.095","",1.042,""
"Globicephala macrorhynchus",2,"","","2466","2886.296","",1.17,""
"Globicephala melas",2,"","","2673","2673","",1,""
"Glossophaga longirostris",2,"","","0.435","0.4","",1.088,""
"Glossophaga soricina",2,"","","0.4013","0.3916","",1.025,""
"Gorilla gorilla",3,"","313.14","452.4012","450.3515","",1.445,""
"Grampus griseus",2,"","","2551","2194.3893","",1.163,""
"Hapalemur griseus",2,"","","14.1","14.7","",1.043,""
"Harpiocephalus harpia",2,"","","0.442","0.442","",1,""
"Heliophobius argenteocinereus",2,"","","1.43","","1.65",1.154,""
"Hemicentetes semispinosus",2,"","","0.83","0.83","",1,""
"Hemiechinus auritus",2,"","","1.9","1.4325","",1.326,""
"Hesperoptenus blanfordi",2,"","","0.158","0.1603","",1.015,""
"Heterocephalus glaber",3,"0.392","","0.52","","0.44",1.327,""
"Hippopotamus amphibius",2,"","","720","590","",1.22,""
"Hipposideros armiger",2,"","","0.8","0.8083","",1.01,""
"Hipposideros ater",2,"","","0.198","0.215","",1.086,""
"Hipposideros caffer",2,"","","0.3165","0.3017","",1.049,""
"Hipposideros calcaratus",2,"","","0.369","0.4487","",1.216,""
"Hipposideros diadema",2,"","","0.715","0.7268","",1.017,""
"Hipposideros fulvus",2,"","","0.236","0.2405","",1.019,""
"Hipposideros halophyllus",2,"","","0.152","0.1515","",1.003,""
"Hipposideros lankadiva",2,"","","0.733","0.7327","",1,""
"Hipposideros larvatus",2,"","","0.4165","0.43","",1.032,""
"Hipposideros lekaguli",2,"","","0.584","0.5853","",1.002,""
"Hipposideros maggietaylorae",2,"","","0.5425","0.634","",1.169,""
"Hipposideros ridleyi",2,"","","0.269","0.2683","",1.003,""
"Hipposideros speoris",2,"","","0.284","0.284","",1,""
"Hipposideros turpis",2,"","","0.599","0.604","",1.008,""
"Homo sapiens",3,"1508.91","","1509","1347.2544","",1.12,""
"Hydrochoerus hydrochaeris",2,"74.734","","","63.5","",1.177,""
"Hydromys chrysogaster",2,"","","4.33","4.034","",1.073,""
"Hylobates lar",2,"","","93.9927","101.325","",1.078,""
"Hylobates muelleri",2,"","","97.4742","101.8","",1.044,""
"Hylobates sp.",2,"","","101.6667","118","",1.161,""
"Hypsignathus monstrosus",2,"","","3.4074","3.767","",1.106,""
"Indri indri",2,"","","38.3","36.7583","",1.042,""
"Inia geoffrensis",2,"","","633.645","610","",1.039,""
"Isoodon obesulus",2,"","","4.03","5.24","",1.3,""
"Kerivoula papillosa",2,"","","0.31","0.31","",1,""
"Kerivoula pellucida",2,"","","0.203","0.203","",1,""
"Kerivoula phalaena",2,"","","0.116","0.116","",1,""
"Kogia breviceps",2,"","","1019","1012","",1.007,""
"Lagenorhynchus acutus",2,"","","1103.17","1200","",1.088,""
"Lagenorhynchus albirostris",2,"","","1126","1126","",1,""
"Lagenorhynchus obliquidens",2,"","","1136.75","1140","",1.003,""
"Lagothrix lagothricha",2,"","","92.6557","101","",1.09,""
"Lama glama",2,"","","264.2","216.77","",1.219,""
"Lasiurus borealis",2,"","","0.17","0.17","",1,""
"Lavia frons",2,"","","0.644","0.644","",1,""
"Lemur catta",2,"","","21.7578","22.3","",1.025,""
"Leontopithecus rosalia",2,"","","13.1133","12.7","",1.033,""
"Lepilemur ruficaudatus",2,"","","7.9416","7.6","",1.045,""
"Leptonycteris curasoae",2,"","","0.5688","0.61","",1.072,""
"Leptonycteris nivalis",2,"","","0.5855","0.5863","",1.001,""
